,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2933,Corey Brewer,2018-19,32,TOT,NBA,1,31,3,492,53,123,39,79,14,44,31,43,26,50,76,39,32,7,19,63,151,0.431,0.494,0.318,0.488,0.721,0.532
2934,Derrick Brown,2010-11,23,TOT,NBA,1,49,1,576,74,131,69,121,5,10,32,60,41,58,99,33,20,10,35,59,185,0.565,0.57,0.5,0.584,0.533,0.588
2935,Reggie Bullock,2016-17,25,DET,NBA,1,31,5,467,54,128,26,55,28,73,5,7,13,51,64,29,18,3,10,22,141,0.422,0.473,0.384,0.531,0.714,0.538
2936,Alec Burks,2012-13,21,UTA,NBA,1,64,0,1137,163,388,130,296,33,92,92,129,37,108,145,92,35,13,74,114,451,0.42,0.439,0.359,0.463,0.713,0.507
2937,Will Bynum,2013-14,31,DET,NBA,1,56,3,1054,184,430,164,368,20,62,97,121,24,75,99,216,39,7,103,121,485,0.428,0.446,0.323,0.451,0.802,0.502
2938,Vince Carter,2014-15,38,MEM,NBA,1,66,1,1091,135,406,66,174,69,232,45,57,27,106,133,79,43,14,43,102,384,0.333,0.379,0.297,0.417,0.789,0.445
2939,Alex Caruso,2018-19,24,LAL,NBA,1,25,4,531,77,173,53,123,24,50,51,64,20,47,67,77,24,9,42,54,229,0.445,0.431,0.48,0.514,0.797,0.569
2940,Gary Clark,2018-19,24,HOU,NBA,1,51,2,641,50,151,9,13,41,138,7,7,24,92,116,18,20,26,7,47,148,0.331,0.692,0.297,0.467,1,0.48
2941,Chris Copeland,2013-14,29,IND,NBA,1,41,0,265,55,117,22,38,33,79,10,14,7,25,32,18,3,7,14,38,153,0.47,0.579,0.418,0.611,0.714,0.621
2942,Nando De Colo,2013-14,26,TOT,NBA,1,47,3,494,64,153,46,100,18,53,31,35,14,59,73,65,22,6,35,48,177,0.418,0.46,0.34,0.477,0.886,0.526
2943,Sam Dekker,2018-19,24,TOT,NBA,1,47,5,788,120,256,101,194,19,62,28,46,53,95,148,46,38,7,24,47,287,0.469,0.521,0.306,0.506,0.609,0.519
2944,Malcolm Delaney,2017-18,28,ATL,NBA,1,54,3,1014,109,285,63,161,46,124,74,92,9,91,100,163,35,6,66,82,338,0.382,0.391,0.371,0.463,0.804,0.519
2945,Ike Diogu,2010-11,27,LAC,NBA,1,36,0,470,83,148,83,148,0,0,41,62,41,74,115,2,3,3,22,72,207,0.561,0.561,,0.561,0.661,0.59
2946,Goran Dragi_,2010-11,24,TOT,NBA,1,70,5,1234,192,441,136,286,56,155,83,133,36,106,142,204,50,10,117,125,523,0.435,0.476,0.361,0.499,0.624,0.524
2947,Chris Duhon,2012-13,30,LAL,NBA,1,46,9,820,47,123,14,32,33,91,6,13,11,57,68,133,20,1,40,56,133,0.382,0.438,0.363,0.516,0.462,0.517
2948,Dante Exum,2018-19,23,UTA,NBA,1,42,1,664,101,241,83,179,18,62,68,86,16,52,68,110,14,5,52,69,288,0.419,0.464,0.29,0.456,0.791,0.516
2949,Michael Finley,2009-10,36,TOT,NBA,1,46,7,709,81,184,49,102,32,82,8,15,6,65,71,43,10,6,21,33,202,0.44,0.48,0.39,0.527,0.533,0.53
2950,Evan Fournier,2012-13,20,DEN,NBA,1,38,4,428,75,152,53,98,22,54,30,39,6,29,35,44,19,1,32,65,202,0.493,0.541,0.407,0.566,0.769,0.597
2951,Randy Foye,2014-15,31,DEN,NBA,1,50,21,1087,148,402,54,139,94,263,45,55,9,76,85,119,34,11,60,97,435,0.368,0.388,0.357,0.485,0.818,0.51
2952,Tim Frazier,2015-16,25,TOT,NBA,1,51,2,741,96,229,80,181,16,48,53,74,26,84,110,162,33,2,65,73,261,0.419,0.442,0.333,0.454,0.716,0.499
2953,Sundiata Gaines,2011-12,25,NJN,NBA,1,57,12,793,102,271,74,189,28,82,59,96,27,81,108,126,55,2,52,58,291,0.376,0.392,0.341,0.428,0.615,0.465
2954,Francisco García,2009-10,28,SAC,NBA,1,25,4,575,82,176,59,117,23,59,15,17,11,55,66,45,10,19,21,49,202,0.466,0.504,0.39,0.531,0.882,0.55
2955,Alonzo Gee,2010-11,23,TOT,NBA,1,56,34,1118,121,264,104,213,17,51,72,92,62,120,182,38,40,18,55,94,331,0.458,0.488,0.333,0.491,0.783,0.544
2956,Harry Giles,2018-19,20,SAC,NBA,1,58,0,820,175,348,175,342,0,6,58,91,66,156,222,85,31,22,73,150,408,0.503,0.512,0,0.503,0.637,0.526
2957,Aaron Gordon,2014-15,19,ORL,NBA,1,47,8,797,93,208,80,160,13,48,44,61,46,123,169,33,21,22,38,83,243,0.447,0.5,0.271,0.478,0.721,0.517
2958,Tyler Hansbrough,2015-16,30,CHO,NBA,1,44,0,343,32,71,30,68,2,3,38,65,40,49,89,8,12,7,12,55,104,0.451,0.441,0.667,0.465,0.585,0.522
2959,Gerald Henderson,2011-12,24,CHA,NBA,1,55,55,1831,332,723,321,676,11,47,155,204,64,161,225,126,49,20,100,128,830,0.459,0.475,0.234,0.467,0.76,0.511
2960,Kirk Hinrich,2014-15,34,CHI,NBA,1,66,22,1610,142,381,84,213,58,168,35,50,20,101,121,148,46,14,73,144,377,0.373,0.394,0.345,0.449,0.7,0.468
2961,Ryan Hollins,2014-15,30,SAC,NBA,1,46,9,441,53,82,53,82,0,0,31,54,36,67,103,14,6,19,25,65,137,0.646,0.646,,0.646,0.574,0.648
2962,Ryan Hollins,2015-16,31,TOT,NBA,1,37,12,460,49,79,49,79,0,0,26,42,47,51,98,10,6,21,24,62,124,0.62,0.62,,0.62,0.619,0.636
2963,Josh Howard,2009-10,29,TOT,NBA,1,35,12,918,157,388,134,302,23,86,109,139,30,95,125,48,26,11,46,91,446,0.405,0.444,0.267,0.434,0.784,0.496
2964,Royal Ivey,2012-13,31,PHI,NBA,1,53,5,698,62,144,25,56,37,88,9,16,16,41,57,32,23,3,20,73,170,0.431,0.446,0.42,0.559,0.563,0.563
