,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1901,Devin Harris,2017-18,34,TOT,NBA,2.5,71,1,1340,187,454,108,227,79,227,142,170,12,115,127,152,47,12,76,158,595,0.412,0.476,0.348,0.499,0.835,0.563
1902,Devin Harris,2015-16,32,DAL,NBA,2.5,64,0,1280,167,374,115,216,52,158,101,140,18,120,138,118,60,13,66,124,487,0.447,0.532,0.329,0.516,0.721,0.559
1903,Justin Holiday,2016-17,27,NYK,NBA,2.5,82,4,1639,233,538,136,265,97,273,66,80,27,198,225,102,65,31,66,109,629,0.433,0.513,0.355,0.523,0.825,0.549
1904,Zydrunas Ilgauskas,2009-10,34,CLE,NBA,2.5,64,6,1339,194,438,183,415,11,23,75,101,114,231,345,48,14,50,63,183,474,0.443,0.441,0.478,0.455,0.743,0.491
1905,Reggie Jackson,2012-13,22,OKC,NBA,2.5,70,0,993,149,325,125,221,24,104,52,62,21,145,166,122,29,13,53,84,374,0.458,0.566,0.231,0.495,0.839,0.531
1906,Luke Kennard,2018-19,22,DET,NBA,2.5,63,10,1437,228,520,122,251,106,269,51,61,12,171,183,114,26,10,57,92,613,0.438,0.486,0.394,0.54,0.836,0.56
1907,Michael Kidd-Gilchrist,2018-19,25,CHO,NBA,2.5,64,3,1179,158,332,142,285,16,47,95,123,88,158,246,61,32,39,43,156,427,0.476,0.498,0.34,0.5,0.772,0.553
1908,Ben McLemore,2014-15,21,SAC,NBA,2.5,82,82,2670,363,831,223,440,140,391,130,160,31,210,241,140,77,19,138,219,996,0.437,0.507,0.358,0.521,0.813,0.552
1909,C.J. Miles,2010-11,23,UTA,NBA,2.5,78,19,1969,366,899,257,560,109,339,159,196,54,201,255,135,74,38,93,221,1000,0.407,0.459,0.322,0.468,0.811,0.507
1910,C.J. Miles,2013-14,26,CLE,NBA,2.5,51,34,984,178,409,95,198,83,211,64,75,18,85,103,52,46,15,44,103,503,0.435,0.48,0.393,0.537,0.853,0.569
1911,Paul Millsap,2017-18,32,DEN,NBA,2.5,38,37,1143,202,435,163,322,39,113,112,161,65,180,245,105,39,44,73,99,555,0.464,0.506,0.345,0.509,0.696,0.549
1912,Mike Muscala,2018-19,27,TOT,NBA,2.5,64,10,1306,145,361,56,105,89,256,70,85,57,187,244,76,22,38,48,130,449,0.402,0.533,0.348,0.525,0.824,0.564
1913,Gary Neal,2011-12,27,SAS,NBA,2.5,56,7,1206,212,486,129,288,83,198,50,64,12,106,118,117,27,2,60,75,557,0.436,0.448,0.419,0.522,0.781,0.542
1914,Dirk Nowitzki,2016-17,38,DAL,NBA,2.5,54,54,1424,296,678,217,469,79,209,98,112,23,330,353,82,30,38,51,113,769,0.437,0.463,0.378,0.495,0.875,0.529
1915,Kyle O'Quinn,2013-14,23,ORL,NBA,2.5,69,19,1188,186,371,186,368,0,3,57,83,100,264,364,78,39,88,78,165,429,0.501,0.505,0,0.501,0.687,0.526
1916,Kendrick Perkins,2012-13,28,OKC,NBA,2.5,78,78,1954,143,313,143,312,0,1,44,72,110,356,466,111,43,83,109,227,330,0.457,0.458,0,0.457,0.611,0.479
1917,Tayshaun Prince,2014-15,34,TOT,NBA,2.5,58,16,1397,177,402,146,335,31,67,49,65,52,158,210,93,29,16,35,55,434,0.44,0.436,0.463,0.479,0.754,0.504
1918,Josh Richardson,2015-16,22,MIA,NBA,2.5,52,2,1107,123,272,70,157,53,115,42,63,21,86,107,73,36,25,35,107,341,0.452,0.446,0.461,0.55,0.667,0.569
1919,Austin Rivers,2016-17,24,LAC,NBA,2.5,74,29,2054,323,731,212,432,111,299,132,191,20,141,161,204,48,10,115,187,889,0.442,0.491,0.371,0.518,0.691,0.545
1920,Glenn Robinson,2016-17,23,IND,NBA,2.5,69,27,1427,158,338,109,213,49,125,54,76,57,189,246,47,41,20,37,63,419,0.467,0.512,0.392,0.54,0.711,0.564
1921,Brandon Rush,2009-10,24,IND,NBA,2.5,82,64,2491,297,702,173,400,124,302,56,89,41,305,346,112,56,65,93,159,774,0.423,0.433,0.411,0.511,0.629,0.522
1922,Dennis Schröder,2014-15,21,ATL,NBA,2.5,77,10,1516,284,665,232,517,52,148,148,179,29,135,164,317,49,4,150,127,768,0.427,0.449,0.351,0.466,0.827,0.516
1923,Luis Scola,2013-14,33,IND,NBA,2.5,82,2,1399,263,560,262,553,1,7,99,136,86,305,391,81,26,16,108,164,626,0.47,0.474,0.143,0.471,0.728,0.505
1924,Mike Scott,2017-18,29,WAS,NBA,2.5,76,1,1406,276,524,210,361,66,163,50,76,50,197,247,80,23,10,79,148,668,0.527,0.582,0.405,0.59,0.658,0.599
1925,Thabo Sefolosha,2014-15,30,ATL,NBA,2.5,52,7,976,104,249,79,171,25,78,45,58,53,170,223,75,53,21,38,67,278,0.418,0.462,0.321,0.468,0.776,0.506
1926,J.R. Smith,2011-12,26,NYK,NBA,2.5,35,1,967,165,405,98,212,67,193,39,55,29,107,136,84,54,6,46,87,436,0.407,0.462,0.347,0.49,0.709,0.508
1927,Rodney Stuckey,2012-13,26,DET,NBA,2.5,76,24,2171,304,748,249,566,55,182,213,272,43,169,212,270,51,17,134,127,876,0.406,0.44,0.302,0.443,0.783,0.505
1928,Tristan Thompson,2017-18,26,CLE,NBA,2.5,53,22,1072,132,235,132,235,0,0,43,79,126,226,352,33,16,17,36,102,307,0.562,0.562,,0.562,0.544,0.569
1929,Anthony Tolliver,2009-10,24,TOT,NBA,2.5,46,29,1427,193,449,143,297,50,152,103,134,84,236,320,87,32,33,46,128,539,0.43,0.481,0.329,0.486,0.769,0.531
1930,Evan Turner,2014-15,26,BOS,NBA,2.5,82,57,2260,320,746,287,627,33,119,106,141,40,377,417,449,83,19,198,180,779,0.429,0.458,0.277,0.451,0.752,0.482
1931,Denzel Valentine,2017-18,24,CHI,NBA,2.5,77,37,2095,301,721,158,351,143,370,38,51,48,345,393,244,65,11,99,185,783,0.417,0.45,0.386,0.517,0.745,0.527
1932,Shawne Williams,2010-11,24,NYK,NBA,2.5,64,11,1323,164,385,79,173,85,212,41,49,60,179,239,47,39,51,46,164,454,0.426,0.457,0.401,0.536,0.837,0.558
1933,Justise Winslow,2015-16,19,MIA,NBA,2.5,78,8,2232,195,462,163,346,32,116,80,117,81,322,403,117,68,26,95,184,502,0.422,0.471,0.276,0.457,0.684,0.489
1934,Nick Young,2013-14,28,LAL,NBA,2.5,64,9,1810,387,889,252,539,135,350,235,285,29,137,166,95,46,12,95,156,1144,0.435,0.468,0.386,0.511,0.825,0.564
1935,Tony Allen,2015-16,34,MEM,NBA,2.4,64,57,1620,215,469,200,427,15,42,90,138,104,192,296,70,110,18,78,175,535,0.458,0.468,0.357,0.474,0.652,0.505
1936,Ömer A_ık,2013-14,27,HOU,NBA,2.4,48,19,968,101,190,101,190,0,0,78,126,101,277,378,25,14,37,59,92,280,0.532,0.532,,0.532,0.619,0.57
1937,Jeff Ayres,2013-14,26,SAS,NBA,2.4,73,10,952,101,174,101,174,0,0,38,55,89,169,258,60,13,25,63,146,240,0.58,0.58,,0.58,0.691,0.605
1938,Shane Battier,2013-14,35,MIA,NBA,2.4,73,56,1468,105,275,32,65,73,210,15,23,34,104,138,63,50,39,21,124,298,0.382,0.492,0.348,0.515,0.652,0.523
1939,Jerryd Bayless,2014-15,26,MIL,NBA,2.4,77,4,1717,220,516,183,396,37,120,121,137,22,189,211,233,59,12,133,163,598,0.426,0.462,0.308,0.462,0.883,0.519
1940,Jerryd Bayless,2015-16,27,MIL,NBA,2.4,52,18,1505,185,437,84,206,101,231,70,90,21,120,141,163,47,11,73,111,541,0.423,0.408,0.437,0.539,0.778,0.568
1941,Jerryd Bayless,2013-14,25,TOT,NBA,2.4,72,19,1686,248,617,172,405,76,212,94,118,22,123,145,194,60,9,82,161,666,0.402,0.425,0.358,0.464,0.797,0.498
1942,Aron Baynes,2018-19,32,BOS,NBA,2.4,51,18,821,105,223,84,162,21,61,53,62,88,152,240,57,12,34,40,125,284,0.471,0.519,0.344,0.518,0.855,0.567
1943,Michael Beasley,2017-18,29,NYK,NBA,2.4,74,30,1653,409,807,375,721,34,86,124,159,97,317,414,123,36,43,143,145,976,0.507,0.52,0.395,0.528,0.78,0.556
1944,Tarik Black,2016-17,25,LAL,NBA,2.4,67,16,1091,150,294,149,292,1,2,82,109,144,199,343,39,29,44,58,173,383,0.51,0.51,0.5,0.512,0.752,0.56
1945,Steve Blake,2012-13,32,LAL,NBA,2.4,45,13,1175,114,270,42,99,72,171,27,35,21,111,132,173,34,6,62,83,327,0.422,0.424,0.421,0.556,0.771,0.573
1946,Andray Blatche,2010-11,24,WAS,NBA,2.4,64,63,2172,426,957,422,939,4,18,220,283,183,343,526,144,98,51,172,182,1076,0.445,0.449,0.222,0.447,0.777,0.497
1947,Bojan Bogdanovi_,2014-15,25,BRK,NBA,2.4,78,28,1854,261,576,170,320,91,256,87,106,50,163,213,68,34,9,78,104,700,0.453,0.531,0.355,0.532,0.821,0.562
1948,Devin Booker,2017-18,21,PHO,NBA,2.4,54,54,1865,455,1054,308,670,147,384,289,329,26,218,244,253,47,14,194,168,1346,0.432,0.46,0.383,0.501,0.878,0.561
1949,Avery Bradley,2011-12,21,BOS,NBA,2.4,64,28,1368,200,402,178,348,22,54,62,78,34,81,115,87,43,12,75,109,484,0.498,0.511,0.407,0.525,0.795,0.555
1950,Trey Burke,2017-18,25,NYK,NBA,2.4,36,9,785,193,384,155,279,38,105,37,57,13,58,71,170,24,4,43,43,461,0.503,0.556,0.362,0.552,0.649,0.563
1951,Trey Burke,2014-15,22,UTA,NBA,2.4,76,43,2288,370,1005,246,615,124,390,109,145,31,173,204,328,65,15,124,119,973,0.368,0.4,0.318,0.43,0.752,0.455
