,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,LeBron James,2012-13,28,MIA,NBA,19.3,76,76,2877,765,1354,662,1100,103,254,403,535,97,513,610,551,129,67,226,110,2036,0.565,0.602,0.406,0.603,0.753,0.64
2,Kevin Durant,2013-14,25,OKC,NBA,19.2,81,81,3122,849,1688,657,1197,192,491,703,805,58,540,598,445,103,59,285,174,2593,0.503,0.549,0.391,0.56,0.873,0.635
3,Kevin Durant,2012-13,24,OKC,NBA,18.9,81,81,3119,731,1433,592,1099,139,334,679,750,46,594,640,374,116,105,280,143,2280,0.51,0.539,0.416,0.559,0.905,0.647
4,LeBron James,2009-10,25,CLE,NBA,18.5,76,76,2966,768,1528,639,1141,129,387,593,773,71,483,554,651,125,77,261,119,2258,0.503,0.56,0.333,0.545,0.767,0.604
5,Stephen Curry,2015-16,27,GSW,NBA,17.9,79,79,2700,805,1598,403,712,402,886,363,400,68,362,430,527,169,15,262,161,2375,0.504,0.566,0.454,0.63,0.908,0.669
6,James Harden,2014-15,25,HOU,NBA,16.4,81,81,2981,647,1470,439,915,208,555,715,824,75,384,459,565,154,60,321,208,2217,0.44,0.48,0.375,0.511,0.868,0.605
7,Kevin Durant,2009-10,21,OKC,NBA,16.1,82,82,3239,794,1668,666,1317,128,351,756,840,105,518,623,231,112,84,271,171,2472,0.476,0.506,0.365,0.514,0.9,0.607
8,Chris Paul,2014-15,29,LAC,NBA,16.1,82,82,2857,568,1170,429,821,139,349,289,321,52,324,376,838,156,15,190,203,1564,0.485,0.523,0.398,0.545,0.9,0.596
9,LeBron James,2013-14,29,MIA,NBA,15.9,77,77,2902,767,1353,651,1047,116,306,439,585,81,452,533,488,121,26,270,126,2089,0.567,0.622,0.379,0.61,0.75,0.649
10,Stephen Curry,2014-15,26,GSW,NBA,15.7,80,80,2613,653,1341,367,695,286,646,308,337,56,285,341,619,163,16,249,158,1900,0.487,0.528,0.443,0.594,0.914,0.638
11,LeBron James,2010-11,26,MIA,NBA,15.6,79,79,3063,758,1485,666,1206,92,279,503,663,80,510,590,554,124,50,284,163,2111,0.51,0.552,0.33,0.541,0.759,0.594
12,James Harden,2017-18,28,HOU,NBA,15.4,72,72,2551,651,1449,386,727,265,722,624,727,41,348,389,630,126,50,315,169,2191,0.449,0.531,0.367,0.541,0.858,0.619
13,James Harden,2018-19,29,HOU,NBA,15.2,78,78,2867,843,1909,465,881,378,1028,754,858,66,452,518,586,158,58,387,244,2818,0.442,0.528,0.368,0.541,0.879,0.616
14,James Harden,2016-17,27,HOU,NBA,15,81,81,2947,674,1533,412,777,262,756,746,881,95,564,659,907,121,38,464,215,2356,0.44,0.53,0.347,0.525,0.847,0.613
15,Pau Gasol,2010-11,30,LAL,NBA,14.7,82,82,3037,593,1120,592,1117,1,3,354,430,268,568,836,273,48,130,142,203,1541,0.529,0.53,0.333,0.53,0.823,0.589
16,Kevin Durant,2015-16,27,OKC,NBA,14.5,72,72,2578,698,1381,512,900,186,481,447,498,45,544,589,361,69,85,250,137,2029,0.505,0.569,0.387,0.573,0.898,0.634
17,LeBron James,2011-12,27,MIA,NBA,14.5,62,62,2326,621,1169,567,1020,54,149,387,502,94,398,492,387,115,50,213,96,1683,0.531,0.556,0.362,0.554,0.771,0.605
18,Giannis Antetokounmpo,2018-19,24,MIL,NBA,14.4,72,72,2358,721,1247,669,1044,52,203,500,686,159,739,898,424,92,110,268,232,1994,0.578,0.641,0.256,0.599,0.729,0.644
19,Rudy Gobert,2018-19,26,UTA,NBA,14.4,81,80,2577,476,712,476,712,0,0,332,522,309,732,1041,161,66,187,130,231,1284,0.669,0.669,,0.669,0.636,0.682
20,Dwight Howard,2010-11,25,ORL,NBA,14.4,78,78,2935,619,1044,619,1037,0,7,546,916,309,789,1098,107,107,186,279,258,1784,0.593,0.597,0,0.593,0.596,0.616
21,Rudy Gobert,2016-17,24,UTA,NBA,14.3,81,81,2744,413,625,413,624,0,1,311,476,314,721,1035,97,49,214,147,246,1137,0.661,0.662,0,0.661,0.653,0.681
22,Kevin Love,2013-14,25,MIN,NBA,14.3,77,77,2797,650,1421,460,916,190,505,520,633,224,739,963,341,59,35,196,136,2010,0.457,0.502,0.376,0.524,0.821,0.591
23,Anthony Davis,2014-15,21,NOP,NBA,14,68,68,2455,642,1199,641,1187,1,12,371,461,173,523,696,149,100,200,95,141,1656,0.535,0.54,0.083,0.536,0.805,0.591
24,LeBron James,2017-18,33,CLE,NBA,14,82,82,3026,857,1580,708,1174,149,406,388,531,97,612,709,747,116,71,347,136,2251,0.542,0.603,0.367,0.59,0.731,0.621
25,Karl-Anthony Towns,2017-18,22,MIN,NBA,14,82,82,2918,639,1172,519,887,120,285,345,402,238,774,1012,199,64,115,159,285,1743,0.545,0.585,0.421,0.596,0.858,0.646
26,Russell Westbrook,2015-16,27,OKC,NBA,14,80,80,2750,656,1444,555,1103,101,341,465,573,145,481,626,834,163,20,342,200,1878,0.454,0.503,0.296,0.489,0.812,0.554
27,Chris Paul,2012-13,27,LAC,NBA,13.9,70,70,2335,412,856,336,624,76,232,286,323,53,209,262,678,169,10,159,143,1186,0.481,0.538,0.328,0.526,0.885,0.594
28,Chris Paul,2010-11,25,NOH,NBA,13.9,80,80,2880,430,928,359,745,71,183,337,384,38,289,327,782,188,5,177,196,1268,0.463,0.482,0.388,0.502,0.878,0.578
29,Jimmy Butler,2016-17,27,CHI,NBA,13.8,76,75,2809,570,1252,479,1004,91,248,585,676,129,341,470,417,143,32,159,112,1816,0.455,0.477,0.367,0.492,0.865,0.586
30,Anthony Davis,2017-18,24,NOP,NBA,13.7,75,75,2727,780,1462,725,1300,55,162,495,598,187,645,832,174,115,193,162,159,2110,0.534,0.558,0.34,0.552,0.828,0.612
31,Kawhi Leonard,2015-16,24,SAS,NBA,13.7,72,72,2380,551,1090,422,799,129,291,292,334,95,398,493,186,128,71,105,133,1523,0.506,0.528,0.443,0.565,0.874,0.616
32,LeBron James,2015-16,31,CLE,NBA,13.6,76,76,2709,737,1416,650,1134,87,282,359,491,111,454,565,514,104,49,249,143,1920,0.52,0.573,0.309,0.551,0.731,0.588
33,Kawhi Leonard,2016-17,25,SAS,NBA,13.6,74,74,2474,636,1312,489,925,147,387,469,533,80,350,430,260,133,55,154,122,1888,0.485,0.529,0.38,0.541,0.88,0.61
34,Stephen Curry,2013-14,25,GSW,NBA,13.4,78,78,2846,652,1383,391,768,261,615,308,348,46,288,334,666,128,14,294,194,1873,0.471,0.509,0.424,0.566,0.885,0.61
35,James Harden,2015-16,26,HOU,NBA,13.3,82,82,3125,710,1617,474,960,236,657,720,837,63,438,501,612,139,51,374,229,2376,0.439,0.494,0.359,0.512,0.86,0.598
