,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1101,Tarik Black,2014-15,23,TOT,NBA,3.1,63,39,1196,157,273,157,272,0,1,65,118,142,226,368,42,19,24,48,158,379,0.575,0.577,0,0.575,0.551,0.583
1102,Trevor Booker,2016-17,29,BRK,NBA,3.1,71,43,1754,305,591,280,513,25,78,74,110,143,428,571,138,75,28,127,152,709,0.516,0.546,0.321,0.537,0.673,0.554
1103,Avery Bradley,2016-17,26,BOS,NBA,3.1,55,55,1835,359,775,251,498,108,277,68,93,65,269,334,122,68,11,88,141,894,0.463,0.504,0.39,0.533,0.731,0.548
1104,Corey Brewer,2014-15,28,TOT,NBA,3.1,80,17,2087,343,805,280,570,63,235,168,226,80,217,297,173,114,19,131,173,917,0.426,0.491,0.268,0.465,0.743,0.507
1105,Reggie Bullock,2018-19,27,TOT,NBA,3.1,63,60,1879,245,594,97,201,148,393,73,85,22,151,173,129,40,12,65,109,711,0.412,0.483,0.377,0.537,0.859,0.563
1106,DeMarre Carroll,2012-13,26,UTA,NBA,3.1,66,12,1111,149,324,129,254,20,70,75,98,87,101,188,61,58,24,34,119,393,0.46,0.508,0.286,0.491,0.765,0.535
1107,DeMarre Carroll,2018-19,32,BRK,NBA,3.1,67,8,1703,227,575,121,265,106,310,184,242,68,281,349,85,31,10,73,114,744,0.395,0.457,0.342,0.487,0.76,0.546
1108,Wilson Chandler,2013-14,26,DEN,NBA,3.1,62,55,1927,307,738,185,387,122,351,110,152,58,236,294,114,46,31,79,193,846,0.416,0.478,0.348,0.499,0.724,0.526
1109,Wilson Chandler,2012-13,25,DEN,NBA,3.1,43,8,1079,210,455,158,329,52,126,88,111,45,173,218,58,45,12,60,119,560,0.462,0.48,0.413,0.519,0.793,0.556
1110,Robert Covington,2016-17,26,PHI,NBA,3.1,67,67,2119,292,732,155,320,137,412,143,174,92,344,436,102,127,69,131,203,864,0.399,0.484,0.333,0.492,0.822,0.534
1111,Sam Dekker,2016-17,22,HOU,NBA,3.1,77,2,1419,203,429,143,242,60,187,38,68,94,190,284,76,38,21,41,83,504,0.473,0.591,0.321,0.543,0.559,0.549
1112,James Ennis,2016-17,26,MEM,NBA,3.1,64,28,1501,146,321,95,184,51,137,86,110,69,190,259,64,46,19,59,165,429,0.455,0.516,0.372,0.534,0.782,0.581
1113,James Ennis,2017-18,27,TOT,NBA,3.1,72,22,1604,182,384,131,231,51,153,97,116,73,151,224,71,47,18,56,134,512,0.474,0.567,0.333,0.54,0.836,0.588
1114,Tyreke Evans,2013-14,24,NOP,NBA,3.1,72,22,2028,391,897,370,802,21,95,239,310,76,265,341,363,84,21,175,155,1042,0.436,0.461,0.221,0.448,0.771,0.504
1115,Derek Fisher,2013-14,39,OKC,NBA,3.1,81,0,1428,141,361,53,132,88,229,55,71,12,110,122,117,70,3,49,157,425,0.391,0.402,0.384,0.512,0.775,0.542
1116,Rudy Gay,2017-18,31,SAS,NBA,3.1,57,6,1231,253,537,216,419,37,118,112,145,76,215,291,73,46,38,78,98,655,0.471,0.516,0.314,0.506,0.772,0.545
1117,Jeff Green,2015-16,29,TOT,NBA,3.1,80,41,2253,354,824,287,611,67,213,164,220,74,258,332,138,58,40,93,164,939,0.43,0.47,0.315,0.47,0.745,0.51
1118,Tim Hardaway,2013-14,21,NYK,NBA,3.1,81,1,1875,294,687,164,329,130,358,106,128,19,102,121,66,44,7,47,144,824,0.428,0.498,0.363,0.523,0.828,0.554
1119,Kirk Hinrich,2012-13,32,CHI,NBA,3.1,60,60,1764,159,422,88,240,71,182,70,98,16,142,158,314,63,25,99,192,459,0.377,0.367,0.39,0.461,0.714,0.493
1120,Cory Joseph,2017-18,26,IND,NBA,3.1,82,17,2210,256,604,189,414,67,190,70,94,39,224,263,260,80,18,87,141,649,0.424,0.457,0.353,0.479,0.745,0.503
1121,Michael Kidd-Gilchrist,2013-14,20,CHA,NBA,3.1,62,62,1502,167,353,166,344,1,9,113,184,109,215,324,52,43,39,60,145,448,0.473,0.483,0.111,0.475,0.614,0.516
1122,Kyle Kuzma,2018-19,23,LAL,NBA,3.1,70,68,2314,496,1087,368,665,128,422,188,250,60,322,382,178,41,26,133,170,1308,0.456,0.553,0.303,0.515,0.752,0.546
1123,Jake Layman,2018-19,24,POR,NBA,3.1,71,33,1327,216,424,157,243,59,181,50,71,56,161,217,53,31,30,46,116,541,0.509,0.646,0.326,0.579,0.704,0.594
1124,Wesley Matthews,2016-17,30,DAL,NBA,3.1,73,73,2495,333,847,159,368,174,479,146,179,18,241,259,210,77,15,102,161,986,0.393,0.432,0.363,0.496,0.816,0.533
1125,Luc Mbah a Moute,2016-17,30,LAC,NBA,3.1,80,76,1787,191,378,148,268,43,110,59,87,44,126,170,39,81,35,46,122,484,0.505,0.552,0.391,0.562,0.678,0.581
1126,Jodie Meeks,2014-15,27,DET,NBA,3.1,60,0,1462,222,534,148,322,74,212,145,160,12,92,104,79,59,6,57,76,663,0.416,0.46,0.349,0.485,0.906,0.548
1127,C.J. Miles,2015-16,28,IND,NBA,3.1,64,24,1464,259,634,117,247,142,387,93,124,25,150,175,63,53,29,70,142,753,0.409,0.474,0.367,0.521,0.75,0.547
1128,Dwight Powell,2015-16,24,DAL,NBA,3.1,69,2,992,146,296,144,280,2,16,105,142,84,189,273,44,36,24,40,118,399,0.493,0.514,0.125,0.497,0.739,0.557
1129,Ish Smith,2016-17,28,DET,NBA,3.1,81,32,1955,329,749,301,644,28,105,72,102,21,214,235,418,61,33,112,127,758,0.439,0.467,0.267,0.458,0.706,0.477
1130,Myles Turner,2015-16,19,IND,NBA,3.1,60,30,1367,264,530,261,516,3,14,88,121,68,264,332,41,25,86,67,158,619,0.498,0.506,0.214,0.501,0.727,0.531
1131,Gerald Wallace,2012-13,30,BRK,NBA,3.1,69,68,2076,182,458,136,295,46,163,121,190,69,250,319,181,97,46,110,118,531,0.397,0.461,0.282,0.448,0.637,0.49
1132,Chris Wilcox,2012-13,30,BOS,NBA,3.1,61,7,830,110,153,110,152,0,1,39,58,55,125,180,22,32,28,34,125,259,0.719,0.724,0,0.719,0.672,0.725
1133,Thaddeus Young,2014-15,26,TOT,NBA,3.1,76,68,2434,451,968,413,853,38,115,131,200,127,284,411,173,124,25,117,171,1071,0.466,0.484,0.33,0.486,0.655,0.507
