,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4201,Paul George,2014-15,24,IND,NBA,0,6,0,91,18,49,9,27,9,22,8,11,4,18,22,6,5,1,12,11,53,0.367,0.333,0.409,0.459,0.727,0.492
4202,Trey Gilder,2009-10,25,MEM,NBA,0,2,0,5,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,2,1,1,,1,,1
4203,Ryan Gomes,2013-14,31,OKC,NBA,0,5,0,34,3,8,3,6,0,2,0,0,0,4,4,1,0,0,1,5,6,0.375,0.5,0,0.375,,0.375
4204,Drew Gooden,2015-16,34,WAS,NBA,0,30,0,305,33,103,26,62,7,41,9,14,28,57,85,13,8,11,13,40,82,0.32,0.419,0.171,0.354,0.643,0.376
4205,Brandon Goodwin,2018-19,23,DEN,NBA,0,16,0,57,6,23,4,17,2,6,9,11,1,2,3,14,0,0,3,7,23,0.261,0.235,0.333,0.304,0.818,0.413
4206,Andrew Goudelock,2015-16,27,HOU,NBA,0,8,0,50,9,20,8,11,1,9,3,4,1,1,2,4,6,2,7,4,22,0.45,0.727,0.111,0.475,0.75,0.506
4207,Andrew Goudelock,2012-13,24,LAL,NBA,0,1,0,6,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,,0
4208,Joey Graham,2010-11,28,CLE,NBA,0,39,8,586,82,179,73,149,9,30,29,36,8,76,84,18,6,7,28,73,202,0.458,0.49,0.3,0.483,0.806,0.518
4209,Donte Grantham,2018-19,23,OKC,NBA,0,3,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0
4210,Erick Green,2014-15,23,DEN,NBA,0,43,1,410,61,162,47,115,14,47,10,12,7,24,31,39,12,0,14,26,146,0.377,0.409,0.298,0.42,0.833,0.436
4211,Orien Greene,2010-11,28,NJN,NBA,0,3,0,5,1,2,1,2,0,0,1,2,0,0,0,1,1,0,0,0,3,0.5,0.5,,0.5,0.5,0.521
4212,Taylor Griffin,2009-10,23,PHO,NBA,0,8,0,32,4,10,4,8,0,2,2,4,0,2,2,1,0,2,1,4,10,0.4,0.5,0,0.4,0.5,0.425
4213,Hamed Haddadi,2009-10,24,MEM,NBA,0,36,0,240,24,62,24,59,0,3,14,19,26,49,75,10,1,14,20,57,62,0.387,0.407,0,0.387,0.737,0.441
4214,A.J. Hammons,2016-17,24,DAL,NBA,0,22,0,163,17,42,12,32,5,10,9,20,8,28,36,4,1,13,10,21,48,0.405,0.375,0.5,0.464,0.45,0.472
4215,Justin Harper,2015-16,26,DET,NBA,0,5,0,35,4,10,0,1,4,9,1,2,0,1,1,0,1,0,2,3,13,0.4,0,0.444,0.6,0.5,0.597
4216,Josh Harrellson,2012-13,23,MIA,NBA,0,6,0,31,4,9,3,4,1,5,1,2,3,4,7,0,1,1,3,4,10,0.444,0.75,0.2,0.5,0.5,0.506
4217,Al Harrington,2012-13,32,ORL,NBA,0,10,0,119,20,57,12,27,8,30,3,4,6,21,27,10,4,1,7,18,51,0.351,0.444,0.267,0.421,0.75,0.434
