,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3201,Chris Kaman,2011-12,29,NOH,NBA,0.7,47,33,1372,266,597,266,597,0,0,84,107,89,275,364,101,25,77,129,106,616,0.446,0.446,,0.446,0.785,0.478
3202,Sergey Karasev,2014-15,21,BRK,NBA,0.7,33,16,555,54,134,38,80,16,54,29,38,22,44,66,46,23,1,24,45,153,0.403,0.475,0.296,0.463,0.763,0.508
3203,Ryan Kelly,2014-15,23,LAL,NBA,0.7,52,34,1233,104,309,59,175,45,134,79,95,13,133,146,92,30,24,37,118,332,0.337,0.337,0.336,0.409,0.832,0.473
3204,Kosta Koufos,2018-19,29,SAC,NBA,0.7,42,1,502,73,153,73,153,0,0,10,24,52,125,177,36,15,18,27,68,156,0.477,0.477,,0.477,0.417,0.477
3205,Damion Lee,2018-19,26,GSW,NBA,0.7,32,0,375,56,127,29,59,27,68,19,22,8,56,64,13,13,0,11,28,158,0.441,0.492,0.397,0.547,0.864,0.578
3206,Shelvin Mack,2011-12,21,WAS,NBA,0.7,64,0,779,88,220,76,178,12,42,42,59,12,80,92,131,28,2,48,50,230,0.4,0.427,0.286,0.427,0.712,0.468
3207,Corey Maggette,2011-12,32,CHA,NBA,0.7,32,28,881,139,373,115,307,24,66,178,208,21,104,125,39,23,1,59,83,480,0.373,0.375,0.364,0.405,0.856,0.517
3208,Ian Mahinmi,2009-10,23,SAS,NBA,0.7,26,0,165,35,55,35,55,0,0,31,47,13,39,52,2,3,8,15,32,101,0.636,0.636,,0.636,0.66,0.667
3209,Cartier Martin,2011-12,27,WAS,NBA,0.7,17,2,391,59,134,30,59,29,75,11,19,12,46,58,10,11,2,13,35,158,0.44,0.508,0.387,0.549,0.579,0.555
3210,Cartier Martin,2012-13,28,WAS,NBA,0.7,41,3,694,96,252,38,106,58,146,20,28,11,89,100,20,19,6,32,58,270,0.381,0.358,0.397,0.496,0.714,0.511
3211,C.J. Miles,2018-19,31,TOT,NBA,0.7,53,1,856,112,311,45,108,67,203,48,58,13,82,95,36,26,15,30,79,339,0.36,0.417,0.33,0.468,0.828,0.504
3212,Darko Mili_i_,2009-10,24,TOT,NBA,0.7,32,18,685,100,204,100,203,0,1,15,28,47,104,151,47,22,34,35,82,215,0.49,0.493,0,0.49,0.536,0.497
3213,Patty Mills,2010-11,22,POR,NBA,0.7,64,0,783,135,328,88,195,47,133,36,47,19,32,51,109,27,1,62,63,353,0.412,0.451,0.353,0.483,0.766,0.506
3214,Anthony Morrow,2012-13,27,TOT,NBA,0.7,41,1,383,64,145,48,102,16,43,20,22,11,19,30,13,13,1,8,43,164,0.441,0.471,0.372,0.497,0.909,0.53
3215,Donatas Motiej_nas,2012-13,22,HOU,NBA,0.7,44,14,538,97,213,73,130,24,83,32,51,36,57,93,31,7,10,37,73,250,0.455,0.562,0.289,0.512,0.627,0.531
3216,Timofey Mozgov,2012-13,26,DEN,NBA,0.7,41,1,366,44,87,44,85,0,2,20,26,50,57,107,9,6,18,25,57,108,0.506,0.518,0,0.506,0.769,0.549
3217,Shabazz Muhammad,2017-18,25,TOT,NBA,0.7,43,2,418,84,188,77,161,7,27,39,50,23,53,76,14,9,3,6,30,214,0.447,0.478,0.259,0.465,0.78,0.51
3218,Raul Neto,2016-17,24,UTA,NBA,0.7,40,0,346,41,91,31,60,10,31,8,9,4,26,30,34,21,5,15,48,100,0.451,0.517,0.323,0.505,0.889,0.527
3219,Lucas Nogueira,2015-16,23,TOR,NBA,0.7,29,1,225,28,44,27,41,1,3,8,15,18,28,46,7,12,12,11,29,65,0.636,0.659,0.333,0.648,0.533,0.642
3220,Semi Ojeleye,2018-19,24,BOS,NBA,0.7,56,3,594,67,158,39,69,28,89,24,39,24,62,86,23,10,4,19,43,186,0.424,0.565,0.315,0.513,0.615,0.531
3221,Johan Petro,2011-12,26,NJN,NBA,0.7,59,10,920,109,260,108,259,1,1,31,37,68,156,224,45,21,23,38,122,250,0.419,0.417,1,0.421,0.838,0.452
3222,A.J. Price,2011-12,25,IND,NBA,0.7,44,1,568,59,174,33,86,26,88,28,35,13,48,61,86,20,2,32,30,172,0.339,0.384,0.295,0.414,0.8,0.454
3223,Ronnie Price,2014-15,31,LAL,NBA,0.7,43,20,982,77,223,46,114,31,109,36,45,19,50,69,165,67,4,52,118,221,0.345,0.404,0.284,0.415,0.8,0.455
3224,Chasson Randle,2016-17,23,TOT,NBA,0.7,26,0,299,40,98,24,51,16,47,41,43,6,26,32,34,9,2,19,39,137,0.408,0.471,0.34,0.49,0.953,0.586
3225,Shavlik Randolph,2012-13,29,BOS,NBA,0.7,16,0,198,28,48,28,48,0,0,11,27,28,42,70,4,8,7,10,38,67,0.583,0.583,,0.583,0.407,0.559
3226,Glenn Robinson,2018-19,25,DET,NBA,0.7,47,18,610,74,176,56,114,18,62,32,40,17,54,71,21,14,8,18,45,198,0.42,0.491,0.29,0.472,0.8,0.511
3227,Sergio Rodríguez,2016-17,30,PHI,NBA,0.7,68,30,1518,210,536,118,284,92,252,18,27,21,136,157,344,49,4,128,95,530,0.392,0.415,0.365,0.478,0.667,0.484
3228,Samardo Samuels,2011-12,23,CLE,NBA,0.7,54,0,825,105,231,105,231,0,0,82,117,63,117,180,20,20,20,56,113,292,0.455,0.455,,0.455,0.701,0.517
3229,Larry Sanders,2013-14,25,MIL,NBA,0.7,23,20,584,76,162,76,161,0,1,26,55,60,105,165,19,18,40,26,74,178,0.469,0.472,0,0.469,0.473,0.478
3230,Jason Smith,2009-10,23,PHI,NBA,0.7,56,2,658,75,174,65,145,10,29,29,42,54,81,135,33,21,28,35,110,189,0.431,0.448,0.345,0.46,0.69,0.491
3231,Jason Terry,2017-18,40,MIL,NBA,0.7,51,4,814,59,154,19,39,40,115,8,9,5,43,48,59,42,13,25,52,166,0.383,0.487,0.348,0.513,0.889,0.525
3232,Tim Thomas,2009-10,32,DAL,NBA,0.7,18,1,285,49,106,33,63,16,43,21,24,13,28,41,14,10,2,14,31,135,0.462,0.524,0.372,0.538,0.875,0.579
3233,Hollis Thompson,2016-17,25,TOT,NBA,0.7,40,9,752,77,200,45,105,32,95,19,29,19,93,112,35,20,6,11,69,205,0.385,0.429,0.337,0.465,0.655,0.482
3234,Ekpe Udoh,2010-11,23,GSW,NBA,0.7,58,18,1030,97,222,97,222,0,0,42,64,80,101,181,40,22,86,48,144,236,0.437,0.437,,0.437,0.656,0.472
3235,Tyler Ulis,2016-17,21,PHO,NBA,0.7,61,15,1123,184,437,163,358,21,79,55,71,20,75,95,226,48,5,77,73,444,0.421,0.455,0.266,0.445,0.775,0.474
3236,Jan Vesel_,2012-13,22,WAS,NBA,0.7,51,4,601,57,114,57,113,0,1,12,39,43,79,122,28,15,17,27,107,126,0.5,0.504,0,0.5,0.308,0.48
3237,Tyrone Wallace,2017-18,23,LAC,NBA,0.7,30,19,851,110,247,100,207,10,40,61,78,21,84,105,71,27,13,46,83,291,0.445,0.483,0.25,0.466,0.782,0.517
3238,C.J. Williams,2017-18,27,LAC,NBA,0.7,38,17,707,87,197,65,119,22,78,13,16,12,44,56,43,31,13,20,63,209,0.442,0.546,0.282,0.497,0.813,0.512
3239,Shawne Williams,2013-14,27,LAL,NBA,0.7,36,13,751,73,192,31,63,42,129,14,20,25,142,167,30,19,30,21,93,202,0.38,0.492,0.326,0.49,0.7,0.503
3240,Brandan Wright,2015-16,28,MEM,NBA,0.7,12,2,212,35,52,35,52,0,0,13,24,14,29,43,6,5,15,10,21,83,0.673,0.673,,0.673,0.542,0.663
3241,Álex Abrines,2018-19,25,OKC,NBA,0.6,31,2,588,56,157,15,30,41,127,12,13,5,43,48,20,17,6,14,53,165,0.357,0.5,0.323,0.487,0.923,0.507
3242,Cole Aldrich,2011-12,23,OKC,NBA,0.6,26,0,173,22,42,22,42,0,0,13,14,13,35,48,3,8,16,9,22,57,0.524,0.524,,0.524,0.929,0.592
3243,Cole Aldrich,2012-13,24,TOT,NBA,0.6,45,0,388,44,80,44,80,0,0,12,20,30,90,120,9,5,23,23,60,100,0.55,0.55,,0.55,0.6,0.563
3244,Lou Amundson,2010-11,28,GSW,NBA,0.6,46,7,691,83,183,83,183,0,0,34,87,81,104,185,17,14,33,24,87,200,0.454,0.454,,0.454,0.391,0.452
3245,Leandro Barbosa,2016-17,34,PHO,NBA,0.6,67,0,963,172,392,137,294,35,98,40,45,15,89,104,81,31,8,48,82,419,0.439,0.466,0.357,0.483,0.889,0.509
3246,Will Barton,2013-14,23,POR,NBA,0.6,41,0,387,65,156,55,123,10,33,26,32,16,58,74,33,9,7,18,31,166,0.417,0.447,0.303,0.449,0.813,0.488
3247,Tony Battie,2010-11,34,PHI,NBA,0.6,38,0,377,45,96,43,93,2,3,8,14,17,82,99,12,5,15,12,59,100,0.469,0.462,0.667,0.479,0.571,0.489
3248,Aron Baynes,2013-14,27,SAS,NBA,0.6,53,4,491,71,163,71,163,0,0,19,21,57,88,145,34,2,5,36,77,161,0.436,0.436,,0.436,0.905,0.467
3249,Bismack Biyombo,2011-12,19,CHA,NBA,0.6,63,41,1455,129,278,129,278,0,0,69,143,113,255,368,27,20,115,71,145,327,0.464,0.464,,0.464,0.483,0.48
3250,Markel Brown,2015-16,24,BRK,NBA,0.6,62,6,982,127,322,89,201,38,121,71,94,23,99,122,91,38,15,54,94,363,0.394,0.443,0.314,0.453,0.755,0.5
3251,Troy Brown,2018-19,19,WAS,NBA,0.6,52,10,730,97,234,75,165,22,69,32,47,35,110,145,80,21,5,30,56,248,0.415,0.455,0.319,0.462,0.681,0.487
3252,Nicolás Brussino,2016-17,23,DAL,NBA,0.6,54,2,521,52,141,23,46,29,95,17,22,26,69,95,47,17,8,26,43,150,0.369,0.5,0.305,0.472,0.773,0.498
3253,José Calderón,2018-19,37,DET,NBA,0.6,49,0,632,45,120,31,63,14,57,9,11,11,49,60,115,16,3,35,64,113,0.375,0.492,0.246,0.433,0.818,0.453
3254,Isaiah Canaan,2017-18,26,TOT,NBA,0.6,20,1,422,52,137,30,71,22,66,46,51,6,39,45,76,16,1,29,36,172,0.38,0.423,0.333,0.46,0.902,0.539
3255,Mario Chalmers,2017-18,31,MEM,NBA,0.6,66,10,1421,168,443,115,252,53,191,118,138,13,144,157,197,79,14,117,179,507,0.379,0.456,0.277,0.439,0.855,0.503
3256,Norris Cole,2012-13,24,MIA,NBA,0.6,80,4,1590,179,425,144,327,35,98,52,80,18,112,130,164,57,7,104,155,445,0.421,0.44,0.357,0.462,0.65,0.483
3257,Jason Collins,2010-11,32,ATL,NBA,0.6,49,28,593,34,71,33,70,1,1,27,41,30,72,102,22,9,9,26,97,96,0.479,0.471,1,0.486,0.659,0.539
3258,Zach Collins,2017-18,20,POR,NBA,0.6,66,1,1045,115,289,80,176,35,113,27,42,45,176,221,52,17,31,58,133,292,0.398,0.455,0.31,0.458,0.643,0.475
3259,Mike Conley,2017-18,30,MEM,NBA,0.6,12,12,373,64,168,40,91,24,77,53,66,0,27,27,49,12,3,18,24,205,0.381,0.44,0.312,0.452,0.803,0.52
3260,Pat Connaughton,2016-17,24,POR,NBA,0.6,39,1,316,37,72,20,39,17,33,7,9,10,42,52,28,6,2,17,23,98,0.514,0.513,0.515,0.632,0.778,0.645
3261,Brian Cook,2010-11,30,LAC,NBA,0.6,40,0,447,72,170,38,91,34,79,15,24,19,77,96,15,12,11,25,75,193,0.424,0.418,0.43,0.524,0.625,0.534
3262,Dewayne Dedmon,2013-14,24,TOT,NBA,0.6,31,6,390,38,83,38,83,0,0,21,32,38,89,127,5,7,22,18,66,97,0.458,0.458,,0.458,0.656,0.5
3263,Boris Diaw,2011-12,29,TOT,NBA,0.6,57,35,1424,156,351,125,252,31,99,22,35,70,210,280,205,34,25,112,125,365,0.444,0.496,0.313,0.489,0.629,0.498
3264,Donte DiVincenzo,2018-19,22,MIL,NBA,0.6,27,0,411,50,124,28,41,22,83,9,12,16,49,65,31,13,6,19,38,131,0.403,0.683,0.265,0.492,0.75,0.507
3265,Keyon Dooling,2011-12,31,BOS,NBA,0.6,46,2,662,66,163,39,82,27,81,23,31,3,36,39,51,13,2,34,57,182,0.405,0.476,0.333,0.488,0.742,0.515
3266,Tyler Dorsey,2018-19,22,TOT,NBA,0.6,48,11,698,107,264,63,132,44,132,38,61,27,86,113,56,14,2,27,53,296,0.405,0.477,0.333,0.489,0.623,0.509
3267,Damyean Dotson,2017-18,23,NYK,NBA,0.6,44,2,474,72,161,50,93,22,68,16,23,9,75,84,31,12,2,17,34,182,0.447,0.538,0.324,0.516,0.696,0.532
3268,Kris Dunn,2018-19,24,CHI,NBA,0.6,46,44,1389,215,506,181,410,34,96,55,69,19,168,187,277,68,21,104,166,519,0.425,0.441,0.354,0.458,0.797,0.484
3269,Francisco Elson,2010-11,34,UTA,NBA,0.6,62,1,610,54,113,54,113,0,0,26,31,35,80,115,33,21,14,32,84,134,0.478,0.478,,0.478,0.839,0.529
3270,Melvin Ely,2010-11,32,DEN,NBA,0.6,30,2,366,28,51,28,51,0,0,13,21,27,47,74,14,4,11,14,50,69,0.549,0.549,,0.549,0.619,0.573
3271,Jeremy Evans,2015-16,28,DAL,NBA,0.6,30,2,251,26,48,22,32,4,16,15,21,11,43,54,2,6,9,7,19,71,0.542,0.688,0.25,0.583,0.714,0.62
3272,Jordan Farmar,2014-15,28,LAC,NBA,0.6,36,0,529,61,158,26,61,35,97,10,11,8,34,42,67,20,5,32,52,167,0.386,0.426,0.361,0.497,0.909,0.513
3273,Kyrylo Fesenko,2009-10,23,UTA,NBA,0.6,49,5,408,52,95,52,94,0,1,24,57,33,57,90,15,6,19,24,78,128,0.547,0.553,0,0.547,0.421,0.533
3274,Danny Granger,2014-15,31,MIA,NBA,0.6,30,6,613,65,162,35,78,30,84,28,37,20,60,80,17,13,6,24,67,188,0.401,0.449,0.357,0.494,0.757,0.527
3275,Draymond Green,2012-13,22,GSW,NBA,0.6,79,1,1061,84,257,70,190,14,67,45,55,58,202,260,53,42,25,51,159,227,0.327,0.368,0.209,0.354,0.818,0.404
3276,Gerald Green,2016-17,31,BOS,NBA,0.6,47,0,538,95,232,56,121,39,111,33,41,16,68,84,33,9,7,25,48,262,0.409,0.463,0.351,0.494,0.805,0.524
3277,Hamed Haddadi,2011-12,26,MEM,NBA,0.6,35,0,206,26,48,26,47,0,1,18,26,28,43,71,8,1,26,21,43,70,0.542,0.553,0,0.542,0.692,0.589
3278,Hamed Haddadi,2010-11,25,MEM,NBA,0.6,31,0,168,30,58,30,57,0,1,15,23,24,44,68,5,2,13,11,29,75,0.517,0.526,0,0.517,0.652,0.55
3279,P.J. Hairston,2015-16,23,TOT,NBA,0.6,66,52,1313,145,408,75,167,70,241,50,64,25,149,174,38,32,11,41,137,410,0.355,0.449,0.29,0.441,0.781,0.47
3280,Luke Harangody,2010-11,23,TOT,NBA,0.6,49,0,640,79,206,63,140,16,66,19,26,40,103,143,30,15,17,16,80,193,0.383,0.45,0.242,0.422,0.731,0.444
3281,Chuck Hayes,2011-12,28,SAC,NBA,0.6,54,9,1039,73,170,73,168,0,2,26,39,72,162,234,77,36,17,50,111,172,0.429,0.435,0,0.429,0.667,0.459
3282,Luther Head,2009-10,27,IND,NBA,0.6,47,10,813,136,311,99,206,37,105,48,58,6,74,80,72,18,9,54,53,357,0.437,0.481,0.352,0.497,0.828,0.53
3283,John Henson,2018-19,28,MIL,NBA,0.6,14,0,188,31,67,20,36,11,31,6,10,16,55,71,14,7,11,12,16,79,0.463,0.556,0.355,0.545,0.6,0.553
3284,Kirk Hinrich,2015-16,35,TOT,NBA,0.6,46,7,631,49,129,25,67,24,62,15,16,8,62,70,73,15,2,30,64,137,0.38,0.373,0.387,0.473,0.938,0.504
3285,Justin Holiday,2015-16,26,TOT,NBA,0.6,53,5,773,88,228,52,123,36,105,27,37,12,78,90,56,32,19,39,61,239,0.386,0.423,0.343,0.465,0.73,0.489
3286,Danuel House,2017-18,24,PHO,NBA,0.6,23,3,403,56,129,41,71,15,58,25,31,13,63,76,25,7,6,11,23,152,0.434,0.577,0.259,0.492,0.806,0.533
3287,Dwight Howard,2018-19,33,WAS,NBA,0.6,9,9,230,43,69,43,69,0,0,29,48,24,59,83,4,7,4,16,34,115,0.623,0.623,,0.623,0.604,0.638
3288,Chandler Hutchison,2018-19,22,CHI,NBA,0.6,44,14,895,96,209,82,159,14,50,23,38,31,154,185,34,23,6,25,59,229,0.459,0.516,0.28,0.493,0.605,0.507
3289,Didier Ilunga-Mbenga,2009-10,29,LAL,NBA,0.6,49,2,355,48,103,48,103,0,0,9,19,32,55,87,8,5,29,15,54,105,0.466,0.466,,0.466,0.474,0.471
3290,Royal Ivey,2009-10,28,TOT,NBA,0.6,44,0,326,35,83,21,48,14,35,9,12,6,28,34,27,19,2,11,39,93,0.422,0.438,0.4,0.506,0.75,0.527
3291,Stephen Jackson,2011-12,33,TOT,NBA,0.6,47,14,1212,159,425,110,255,49,170,94,114,22,141,163,118,54,13,103,99,461,0.374,0.431,0.288,0.432,0.825,0.485
3292,Jared Jeffries,2010-11,29,TOT,NBA,0.6,42,9,601,30,86,28,77,2,9,12,29,62,54,116,36,31,17,21,75,74,0.349,0.364,0.222,0.36,0.414,0.375
