,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1301,J.R. Smith,2013-14,28,NYK,NBA,3.7,74,37,2421,396,955,207,475,189,480,90,138,35,261,296,219,65,20,108,196,1071,0.415,0.436,0.394,0.514,0.652,0.527
1302,Deron Williams,2015-16,31,DAL,NBA,3.7,65,63,2106,321,775,224,493,97,282,179,206,19,171,190,378,61,14,150,155,918,0.414,0.454,0.344,0.477,0.869,0.53
1303,Reggie Williams,2010-11,24,GSW,NBA,3.7,80,9,1626,268,572,166,331,102,241,100,134,45,171,216,121,28,3,57,124,738,0.469,0.502,0.423,0.558,0.746,0.585
1304,Chris Andersen,2014-15,36,MIA,NBA,3.6,60,20,1132,120,207,116,194,4,13,76,114,76,223,299,43,26,61,40,88,320,0.58,0.598,0.308,0.589,0.667,0.622
1305,Marvin Bagley,2018-19,19,SAC,NBA,3.6,62,4,1567,356,706,326,610,30,96,181,262,162,309,471,62,33,59,98,120,923,0.504,0.534,0.313,0.525,0.691,0.562
1306,Harrison Barnes,2018-19,26,TOT,NBA,3.6,77,77,2533,431,1027,257,586,174,441,229,278,57,304,361,115,50,13,98,122,1265,0.42,0.439,0.395,0.504,0.824,0.55
1307,Keith Bogans,2010-11,30,CHI,NBA,3.6,82,82,1461,124,307,34,70,90,237,21,32,19,129,148,101,38,9,41,113,359,0.404,0.486,0.38,0.55,0.656,0.559
1308,Trevor Booker,2014-15,27,UTA,NBA,3.6,79,5,1564,226,464,197,380,29,84,86,148,139,258,397,83,43,41,88,144,567,0.487,0.518,0.345,0.518,0.581,0.536
1309,Chris Bosh,2014-15,30,MIA,NBA,3.6,44,44,1556,343,745,280,577,63,168,179,232,46,264,310,95,41,25,95,69,928,0.46,0.485,0.375,0.503,0.772,0.548
1310,Elton Brand,2013-14,34,ATL,NBA,3.6,73,15,1414,179,332,179,330,0,2,61,94,97,264,361,74,40,88,60,192,419,0.539,0.542,0,0.539,0.649,0.561
1311,Caron Butler,2012-13,32,LAC,NBA,3.6,78,78,1879,305,720,177,390,128,330,75,90,41,182,223,78,51,11,72,139,813,0.424,0.454,0.388,0.513,0.833,0.535
1312,Marcus Camby,2011-12,37,TOT,NBA,3.6,59,53,1352,128,287,126,282,2,5,29,64,157,373,530,107,50,85,57,126,287,0.446,0.447,0.4,0.449,0.453,0.455
1313,Omri Casspi,2015-16,27,SAC,NBA,3.6,69,21,1880,299,622,187,348,112,274,103,159,58,352,410,95,56,17,94,154,813,0.481,0.537,0.409,0.571,0.648,0.587
1314,Wilson Chandler,2014-15,27,DEN,NBA,3.6,78,75,2471,418,975,279,569,139,406,110,142,96,379,475,134,58,29,110,231,1085,0.429,0.49,0.342,0.5,0.775,0.523
