,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
201,John Wall,2014-15,24,WAS,NBA,7.8,79,79,2837,519,1166,454,949,65,217,284,362,36,330,366,792,138,45,304,180,1387,0.445,0.478,0.3,0.473,0.785,0.523
202,Marvin Williams,2015-16,29,CHO,NBA,7.8,81,81,2338,338,747,186,369,152,378,120,144,127,394,521,110,58,77,62,133,948,0.452,0.504,0.402,0.554,0.833,0.585
203,Andre Drummond,2014-15,21,DET,NBA,7.7,82,82,2502,494,961,494,959,0,2,142,365,437,667,1104,55,73,153,120,285,1130,0.514,0.515,0,0.514,0.389,0.504
204,Marc Gasol,2016-17,32,MEM,NBA,7.7,74,74,2531,532,1160,428,892,104,268,278,332,60,404,464,338,67,99,166,171,1446,0.459,0.48,0.388,0.503,0.837,0.554
205,Blake Griffin,2016-17,27,LAC,NBA,7.7,61,61,2076,479,971,441,858,38,113,320,421,112,385,497,300,57,22,142,157,1316,0.493,0.514,0.336,0.513,0.76,0.569
206,Al Jefferson,2012-13,28,UTA,NBA,7.7,78,78,2578,611,1236,609,1219,2,17,167,217,156,564,720,164,80,89,105,170,1391,0.494,0.5,0.118,0.495,0.77,0.522
207,Kawhi Leonard,2013-14,22,SAS,NBA,7.7,66,65,1923,337,645,268,463,69,182,101,126,76,336,412,133,114,50,80,127,844,0.522,0.579,0.379,0.576,0.802,0.602
208,Jeff Teague,2014-15,26,ATL,NBA,7.7,73,72,2228,408,887,337,680,71,207,275,319,30,154,184,513,125,31,205,139,1162,0.46,0.496,0.343,0.5,0.862,0.566
209,Isaiah Thomas,2013-14,24,SAC,NBA,7.7,72,54,2497,496,1096,369,732,127,364,346,407,47,163,210,454,93,8,213,185,1465,0.453,0.504,0.349,0.51,0.85,0.574
