,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4001,Joffrey Lauvergne,2014-15,23,DEN,NBA,0.1,24,1,268,36,89,33,73,3,16,18,28,27,50,77,13,8,10,22,43,93,0.404,0.452,0.188,0.421,0.643,0.459
4002,Malcolm Lee,2011-12,21,MIN,NBA,0.1,19,0,243,23,59,21,49,2,10,14,17,9,17,26,31,8,4,17,22,62,0.39,0.429,0.2,0.407,0.824,0.466
4003,Walt Lemon,2018-19,26,CHI,NBA,0.1,6,3,167,38,87,36,82,2,5,8,11,4,23,27,30,11,1,10,14,86,0.437,0.439,0.4,0.448,0.727,0.468
4004,Travis Leslie,2011-12,21,LAC,NBA,0.1,10,0,45,5,14,5,14,0,0,4,9,6,3,9,5,2,2,2,4,14,0.357,0.357,,0.357,0.444,0.39
4005,Jon Leuer,2017-18,28,DET,NBA,0.1,8,0,136,15,36,15,33,0,3,13,15,7,25,32,5,1,3,7,16,43,0.417,0.455,0,0.417,0.867,0.505
4006,Kevon Looney,2015-16,19,GSW,NBA,0.1,5,0,21,4,7,3,5,1,2,0,0,4,6,10,0,0,0,1,2,9,0.571,0.6,0.5,0.643,,0.643
4007,Scott Machado,2018-19,28,LAL,NBA,0.1,4,0,19,4,6,3,5,1,1,1,1,0,0,0,3,1,0,0,2,10,0.667,0.6,1,0.75,1,0.776
4008,Corey Maggette,2012-13,33,DET,NBA,0.1,18,0,257,27,76,22,55,5,21,36,48,5,20,25,19,6,2,17,42,95,0.355,0.4,0.238,0.388,0.75,0.489
4009,Sean Marks,2010-11,35,POR,NBA,0.1,29,0,208,19,44,17,42,2,2,5,8,16,24,40,4,3,5,11,44,45,0.432,0.405,1,0.455,0.625,0.473
4010,Cartier Martin,2009-10,25,TOT,NBA,0.1,18,2,390,50,136,33,87,17,49,24,30,25,43,68,16,11,1,19,48,141,0.368,0.379,0.347,0.43,0.8,0.473
4011,Mangok Mathiang,2017-18,25,CHO,NBA,0.1,4,0,20,4,7,4,7,0,0,0,1,3,7,10,0,1,0,0,5,8,0.571,0.571,,0.571,0,0.538
