,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2601,Glen Davis,2014-15,29,LAC,NBA,1.4,74,0,904,117,255,117,251,0,4,60,95,43,126,169,39,41,21,39,132,294,0.459,0.466,0,0.459,0.632,0.495
2602,Semih Erden,2010-11,24,TOT,NBA,1.4,41,8,595,62,111,62,111,0,0,39,60,37,81,118,20,15,24,34,104,163,0.559,0.559,,0.559,0.65,0.593
2603,Tyreke Evans,2015-16,26,NOP,NBA,1.4,25,25,765,136,314,103,229,33,85,74,93,20,109,129,164,32,8,73,66,379,0.433,0.45,0.388,0.486,0.796,0.534
2604,Cristiano Felício,2018-19,26,CHI,NBA,1.4,60,0,746,95,179,95,175,0,4,50,73,79,139,218,37,11,7,33,69,240,0.531,0.543,0,0.531,0.685,0.568
2605,Dorian Finney-Smith,2016-17,23,DAL,NBA,1.4,81,35,1642,124,333,68,142,56,191,46,61,55,167,222,67,52,25,45,125,350,0.372,0.479,0.293,0.456,0.754,0.486
2606,T.J. Ford,2009-10,26,IND,NBA,1.4,47,32,1189,186,418,178,368,8,50,104,135,41,108,149,180,44,11,90,102,484,0.445,0.484,0.16,0.455,0.77,0.507
2607,Evan Fournier,2013-14,21,DEN,NBA,1.4,76,4,1503,228,544,139,307,89,237,93,123,34,168,202,112,34,7,100,179,638,0.419,0.453,0.376,0.501,0.756,0.533
2608,Tim Frazier,2017-18,27,WAS,NBA,1.4,59,11,838,68,172,51,116,17,56,23,30,18,97,115,194,47,7,57,97,176,0.395,0.44,0.304,0.445,0.767,0.475
2609,Joel Freeland,2013-14,26,POR,NBA,1.4,52,0,727,77,162,77,160,0,2,20,29,88,120,208,36,10,22,32,95,174,0.475,0.481,0,0.475,0.69,0.498
2610,Langston Galloway,2017-18,26,DET,NBA,1.4,58,2,863,126,340,51,122,75,218,33,41,13,79,92,58,35,5,18,39,360,0.371,0.418,0.344,0.481,0.805,0.503
2611,Drew Gooden,2013-14,32,WAS,NBA,1.4,22,0,395,76,143,69,126,7,17,24,27,37,77,114,15,10,7,17,53,183,0.531,0.548,0.412,0.556,0.889,0.591
2612,Marcin Gortat,2018-19,34,LAC,NBA,1.4,47,43,751,99,186,99,186,0,0,35,48,67,194,261,65,6,24,50,92,233,0.532,0.532,,0.532,0.729,0.562
2613,Aaron Gray,2011-12,27,TOR,NBA,1.4,49,40,813,83,161,83,161,0,0,25,47,83,198,281,27,22,17,51,127,191,0.516,0.516,,0.516,0.532,0.526
2614,Richard Hamilton,2009-10,31,DET,NBA,1.4,46,46,1552,293,717,252,579,41,138,204,241,30,92,122,202,30,3,115,115,831,0.409,0.435,0.297,0.437,0.846,0.505
2615,Josh Harrellson,2011-12,22,NYK,NBA,1.4,37,4,540,63,149,43,90,20,59,16,26,47,97,144,11,23,20,20,48,162,0.423,0.478,0.339,0.49,0.615,0.505
2616,Shaquille Harrison,2018-19,25,CHI,NBA,1.4,73,11,1430,184,426,160,337,24,89,82,123,33,189,222,139,89,30,60,124,474,0.432,0.475,0.27,0.46,0.667,0.494
2617,Udonis Haslem,2014-15,34,MIA,NBA,1.4,62,25,995,107,239,105,229,2,10,45,64,71,187,258,46,21,13,41,113,261,0.448,0.459,0.2,0.452,0.703,0.488
2618,Chuck Hayes,2013-14,30,TOT,NBA,1.4,61,1,754,56,130,56,129,0,1,20,25,69,141,210,35,34,12,33,95,132,0.431,0.434,0,0.431,0.8,0.468
2619,Nenê Hilário,2018-19,36,HOU,NBA,1.4,42,2,546,60,116,60,113,0,3,31,47,34,89,123,26,18,15,11,87,151,0.517,0.531,0,0.517,0.66,0.552
2620,Jordan Hill,2011-12,24,TOT,NBA,1.4,39,8,551,82,165,82,162,0,3,30,47,61,125,186,16,14,27,31,71,194,0.497,0.506,0,0.497,0.638,0.522
2621,Jordan Hill,2009-10,22,TOT,NBA,1.4,47,0,624,99,201,99,199,0,2,46,68,76,99,175,20,14,21,30,92,244,0.493,0.497,0,0.493,0.676,0.528
2622,Jordan Hill,2012-13,25,LAL,NBA,1.4,29,1,458,77,155,77,153,0,2,40,61,82,84,166,13,8,19,26,55,194,0.497,0.503,0,0.497,0.656,0.533
2623,Jonas Jerebko,2013-14,26,DET,NBA,1.4,64,0,741,98,208,67,134,31,74,43,59,51,124,175,39,21,6,43,85,270,0.471,0.5,0.419,0.546,0.729,0.577
2624,Chris Johnson,2013-14,23,BOS,NBA,1.4,40,0,789,85,214,42,87,43,127,37,43,31,66,97,31,27,4,22,63,250,0.397,0.483,0.339,0.498,0.86,0.537
2625,Sean Kilpatrick,2016-17,27,BRK,NBA,1.4,70,24,1754,305,735,200,427,105,308,204,242,22,258,280,157,45,6,135,118,919,0.415,0.468,0.341,0.486,0.843,0.546
2626,Luke Kornet,2018-19,23,NYK,NBA,1.4,46,18,784,107,283,37,90,70,193,38,46,28,107,135,54,27,42,25,41,322,0.378,0.411,0.363,0.502,0.826,0.531
2627,Skal Labissière,2017-18,21,SAC,NBA,1.4,60,28,1240,205,458,187,407,18,51,95,118,99,189,288,72,25,49,73,132,523,0.448,0.459,0.353,0.467,0.805,0.513
2628,Shane Larkin,2017-18,25,BOS,NBA,1.4,54,2,775,84,219,53,133,31,86,32,37,15,77,92,98,29,2,33,58,231,0.384,0.398,0.36,0.454,0.865,0.491
2629,Shane Larkin,2015-16,23,BRK,NBA,1.4,78,17,1751,222,502,183,394,39,108,83,107,28,152,180,342,95,12,146,121,566,0.442,0.464,0.361,0.481,0.776,0.515
2630,Meyers Leonard,2016-17,24,POR,NBA,1.4,74,12,1222,146,378,72,165,74,213,35,40,27,210,237,71,13,28,35,172,401,0.386,0.436,0.347,0.484,0.875,0.507
2631,Jon Leuer,2011-12,22,MIL,NBA,1.4,46,12,555,97,191,94,182,3,9,21,28,45,75,120,25,14,17,18,67,218,0.508,0.516,0.333,0.516,0.75,0.536
2632,Kevon Looney,2016-17,20,GSW,NBA,1.4,53,4,447,56,107,54,98,2,9,21,34,44,80,124,29,15,17,17,64,135,0.523,0.551,0.222,0.533,0.618,0.553
2633,Shelvin Mack,2016-17,26,UTA,NBA,1.4,55,9,1205,170,381,133,261,37,120,53,77,20,105,125,154,42,3,90,100,430,0.446,0.51,0.308,0.495,0.688,0.518
2634,Ian Mahinmi,2016-17,30,WAS,NBA,1.4,31,0,555,65,111,65,111,0,0,43,75,47,103,150,19,33,24,34,90,173,0.586,0.586,,0.586,0.573,0.601
