,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
301,Darren Collison,2017-18,30,IND,NBA,7.6,69,64,2018,316,638,220,433,96,205,127,144,37,141,178,368,92,15,86,122,855,0.495,0.508,0.468,0.571,0.882,0.61
302,DeMarcus Cousins,2016-17,26,TOT,NBA,7.6,72,72,2465,647,1432,516,1069,131,363,517,670,152,642,794,332,100,93,269,278,1942,0.452,0.483,0.361,0.498,0.772,0.562
303,Marcin Gortat,2011-12,27,PHO,NBA,7.6,66,66,2114,427,769,427,767,0,2,163,251,185,474,659,59,48,99,90,142,1017,0.555,0.557,0,0.555,0.649,0.578
304,Dwight Howard,2012-13,27,LAL,NBA,7.6,76,76,2722,470,813,469,807,1,6,355,721,251,694,945,108,84,186,225,291,1296,0.578,0.581,0.167,0.579,0.492,0.573
305,Serge Ibaka,2010-11,21,OKC,NBA,7.6,82,44,2216,335,617,335,616,0,1,138,184,214,408,622,22,31,198,71,267,808,0.543,0.544,0,0.543,0.75,0.579
306,Joe Ingles,2017-18,30,UTA,NBA,7.6,82,81,2578,335,718,131,254,204,464,66,83,24,320,344,392,90,20,159,178,940,0.467,0.516,0.44,0.609,0.795,0.623
307,Enes Kanter,2017-18,25,NYK,NBA,7.6,71,71,1830,422,713,422,711,0,2,156,184,273,507,780,105,36,37,122,187,1000,0.592,0.594,0,0.592,0.848,0.63
308,David Lee,2013-14,30,GSW,NBA,7.6,69,67,2288,513,981,513,980,0,1,231,296,182,461,643,147,48,26,152,206,1257,0.523,0.523,0,0.523,0.78,0.566
309,CJ McCollum,2016-17,25,POR,NBA,7.6,80,80,2796,692,1441,507,1002,185,439,268,294,60,229,289,285,72,42,172,202,1837,0.48,0.506,0.421,0.544,0.912,0.585
310,Paul Millsap,2012-13,27,UTA,NBA,7.6,78,78,2375,429,875,416,836,13,39,264,356,177,377,554,201,102,80,138,232,1135,0.49,0.498,0.333,0.498,0.742,0.55
311,Dirk Nowitzki,2011-12,33,DAL,NBA,7.6,62,62,2079,473,1034,395,822,78,212,318,355,46,372,418,136,42,30,117,129,1342,0.457,0.481,0.368,0.495,0.896,0.564
312,Chandler Parsons,2013-14,25,HOU,NBA,7.6,74,74,2783,466,987,336,636,130,351,164,221,69,340,409,298,88,29,144,168,1226,0.472,0.528,0.37,0.538,0.742,0.565
313,Domantas Sabonis,2018-19,22,IND,NBA,7.6,74,5,1838,413,700,404,683,9,17,208,291,186,504,690,212,48,30,160,239,1043,0.59,0.592,0.529,0.596,0.715,0.63
314,Jonas Valan_i_nas,2017-18,25,TOR,NBA,7.6,77,77,1727,390,687,360,613,30,74,170,211,183,477,660,81,29,69,115,192,980,0.568,0.587,0.405,0.59,0.806,0.628
315,LaMarcus Aldridge,2013-14,28,POR,NBA,7.5,69,69,2498,652,1423,649,1408,3,15,296,360,166,599,765,178,63,68,123,147,1603,0.458,0.461,0.2,0.459,0.822,0.507
316,Andrew Bogut,2009-10,25,MIL,NBA,7.5,69,69,2229,473,910,473,908,0,2,149,237,208,493,701,127,39,175,131,222,1095,0.52,0.521,0,0.52,0.629,0.54
317,Goran Dragi_,2016-17,30,MIA,NBA,7.5,73,73,2459,534,1124,417,835,117,289,298,377,62,217,279,423,89,13,212,199,1483,0.475,0.499,0.405,0.527,0.79,0.575
318,Al Horford,2018-19,32,BOS,NBA,7.5,68,68,1973,387,723,314,520,73,203,78,95,120,338,458,283,59,86,102,126,925,0.535,0.604,0.36,0.586,0.821,0.605
319,Al Jefferson,2011-12,27,UTA,NBA,7.5,61,61,2075,516,1048,515,1044,1,4,137,177,133,452,585,134,47,101,62,155,1170,0.492,0.493,0.25,0.493,0.774,0.52
320,Kyle Korver,2014-15,33,ATL,NBA,7.5,75,75,2418,292,600,71,151,221,449,106,118,15,289,304,196,52,42,107,140,911,0.487,0.47,0.492,0.671,0.898,0.699
321,Greg Monroe,2015-16,25,MIL,NBA,7.5,79,67,2314,491,941,491,940,0,1,228,308,218,478,696,178,72,67,129,163,1210,0.522,0.522,0,0.522,0.74,0.562
322,Dwight Powell,2018-19,27,DAL,NBA,7.5,77,22,1662,290,486,251,359,39,127,196,254,140,271,411,112,44,50,67,201,815,0.597,0.699,0.307,0.637,0.772,0.682
323,David West,2009-10,29,NOH,NBA,7.5,81,81,2949,619,1226,612,1199,7,27,296,342,164,441,605,239,76,60,173,233,1541,0.505,0.51,0.259,0.508,0.865,0.56
324,José Calderón,2012-13,31,TOT,NBA,7.4,73,58,2160,312,635,182,353,130,282,72,80,20,156,176,518,58,8,126,99,826,0.491,0.516,0.461,0.594,0.9,0.616
325,Vince Carter,2009-10,33,ORL,NBA,7.4,75,74,2310,434,1015,315,691,119,324,257,306,33,260,293,236,53,18,106,189,1244,0.428,0.456,0.367,0.486,0.84,0.541
326,Andre Drummond,2015-16,22,DET,NBA,7.4,81,81,2666,552,1060,550,1054,2,6,208,586,395,803,1198,67,119,112,155,245,1314,0.521,0.522,0.333,0.522,0.355,0.499
327,Tim Duncan,2013-14,37,SAS,NBA,7.4,74,74,2158,444,906,444,901,0,5,231,316,158,563,721,220,43,139,159,134,1119,0.49,0.493,0,0.49,0.731,0.535
328,Ty Lawson,2012-13,25,DEN,NBA,7.4,73,71,2513,448,971,363,739,85,232,235,311,36,162,198,501,107,8,182,135,1216,0.461,0.491,0.366,0.505,0.756,0.549
329,Lance Stephenson,2013-14,23,IND,NBA,7.4,78,78,2752,427,870,341,626,86,244,140,197,95,463,558,359,54,7,210,195,1080,0.491,0.545,0.352,0.54,0.711,0.564
330,Kemba Walker,2018-19,28,CHO,NBA,7.4,82,82,2863,731,1684,471,953,260,731,380,450,52,309,361,484,102,34,211,131,2102,0.434,0.494,0.356,0.511,0.844,0.558
331,Thaddeus Young,2012-13,24,PHI,NBA,7.4,76,76,2629,509,958,508,950,1,8,108,188,182,389,571,125,133,55,90,191,1127,0.531,0.535,0.125,0.532,0.574,0.541
332,Jamal Crawford,2009-10,29,ATL,NBA,7.3,79,0,2460,496,1105,333,678,163,427,270,315,34,167,201,238,61,12,137,132,1425,0.449,0.491,0.382,0.523,0.857,0.573
333,Jae Crowder,2015-16,25,BOS,NBA,7.3,73,73,2308,360,813,238,450,122,363,196,239,70,303,373,135,126,35,83,198,1038,0.443,0.529,0.336,0.518,0.82,0.565
334,Kevin Garnett,2009-10,33,BOS,NBA,7.3,69,69,2060,402,772,401,767,1,5,185,221,78,428,506,185,68,57,101,170,990,0.521,0.523,0.2,0.521,0.837,0.569
335,Marcin Gortat,2015-16,31,WAS,NBA,7.3,75,74,2256,433,764,433,763,0,1,146,207,222,519,741,106,47,96,121,193,1012,0.567,0.567,0,0.567,0.705,0.592
