,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
101,George Hill,2012-13,26,IND,NBA,9.7,76,76,2620,386,871,256,518,130,353,174,213,47,237,284,355,81,26,116,134,1076,0.443,0.494,0.368,0.518,0.817,0.558
102,Nikola Jokić,2016-17,21,DEN,NBA,9.7,73,59,2038,494,854,449,715,45,139,188,228,212,506,718,359,61,55,171,214,1221,0.578,0.628,0.324,0.605,0.825,0.64
103,Isaiah Thomas,2015-16,26,BOS,NBA,9.7,82,79,2644,591,1382,424,917,167,465,474,544,46,197,243,509,91,9,220,167,1823,0.428,0.462,0.359,0.488,0.871,0.562
104,DeMar DeRozan,2017-18,28,TOR,NBA,9.6,80,80,2711,645,1413,556,1126,89,287,461,559,59,256,315,417,85,22,175,151,1840,0.456,0.494,0.31,0.488,0.825,0.555
105,Tim Duncan,2014-15,38,SAS,NBA,9.6,77,77,2227,419,819,417,812,2,7,230,311,170,534,704,230,63,151,131,165,1070,0.512,0.514,0.286,0.513,0.74,0.56
106,Serge Ibaka,2013-14,24,OKC,NBA,9.6,81,81,2666,524,978,501,918,23,60,156,199,224,485,709,85,39,219,123,233,1227,0.536,0.546,0.383,0.548,0.784,0.576
107,Damian Lillard,2013-14,23,POR,NBA,9.6,82,82,2937,553,1304,335,750,218,554,371,426,35,253,288,457,64,22,193,197,1695,0.424,0.447,0.394,0.508,0.871,0.568
108,Dwyane Wade,2012-13,31,MIA,NBA,9.6,69,69,2391,569,1093,552,1027,17,66,308,425,86,258,344,352,128,56,194,140,1463,0.521,0.537,0.258,0.528,0.725,0.571
109,Carmelo Anthony,2012-13,28,NYK,NBA,9.5,67,67,2482,669,1489,512,1075,157,414,425,512,134,326,460,171,52,32,175,205,1920,0.449,0.476,0.379,0.502,0.83,0.56
