,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
701,Mike Dunleavy,2012-13,32,MIL,NBA,4.4,75,3,1943,276,624,148,325,128,299,105,128,31,260,291,145,39,35,90,135,785,0.442,0.455,0.428,0.545,0.82,0.577
702,Tyreke Evans,2012-13,23,SAC,NBA,4.4,65,61,2016,366,765,321,632,45,133,210,271,56,231,287,229,90,27,128,133,987,0.478,0.508,0.338,0.508,0.775,0.558
703,Derrick Favors,2012-13,21,UTA,NBA,4.4,77,8,1787,274,568,274,563,0,5,179,260,184,362,546,75,67,130,129,247,727,0.482,0.487,0,0.482,0.688,0.533
704,Rudy Gay,2018-19,32,SAS,NBA,4.4,69,51,1842,376,746,302,562,74,184,120,147,63,407,470,182,54,34,114,159,946,0.504,0.537,0.402,0.554,0.816,0.583
705,Tyler Hansbrough,2012-13,27,IND,NBA,4.4,81,8,1366,176,407,176,404,0,3,216,300,161,212,373,36,29,18,78,152,568,0.432,0.436,0,0.432,0.72,0.527
706,Jordan Hill,2013-14,26,LAL,NBA,4.4,72,32,1500,286,521,286,520,0,1,124,181,194,341,535,54,29,64,75,172,696,0.549,0.55,0,0.549,0.685,0.579
707,Andre Iguodala,2015-16,32,GSW,NBA,4.4,65,1,1732,176,368,122,214,54,154,51,83,52,211,263,219,73,19,79,102,457,0.478,0.57,0.351,0.552,0.614,0.565
708,Ersan İlyasova,2015-16,28,TOT,NBA,4.4,74,56,1881,280,661,184,402,96,259,111,154,144,259,403,67,52,33,71,171,767,0.424,0.458,0.371,0.496,0.721,0.526
709,Jeremy Lin,2013-14,25,HOU,NBA,4.4,71,33,2054,295,662,213,433,82,229,218,265,34,153,187,294,68,27,176,166,890,0.446,0.492,0.358,0.508,0.823,0.572
710,Shaun Livingston,2013-14,28,BRK,NBA,4.4,76,54,1974,235,487,234,481,1,6,158,191,67,179,246,245,93,31,105,172,629,0.483,0.486,0.167,0.484,0.827,0.551
711,E'Twaun Moore,2017-18,28,NOP,NBA,4.4,82,80,2586,423,832,295,531,128,301,48,68,57,181,238,187,79,12,102,182,1022,0.508,0.556,0.425,0.585,0.706,0.593
712,Elfrid Payton,2016-17,22,ORL,NBA,4.4,82,58,2412,430,912,390,766,40,146,146,211,89,298,387,529,88,40,178,177,1046,0.471,0.509,0.274,0.493,0.692,0.52
713,Kristaps Porziņģis,2015-16,20,NYK,NBA,4.4,72,72,2047,373,886,292,643,81,243,201,240,132,394,526,94,53,134,121,205,1028,0.421,0.454,0.333,0.467,0.838,0.518
714,Luis Scola,2014-15,34,IND,NBA,4.4,81,16,1659,300,642,295,622,5,20,158,226,138,388,526,105,47,18,94,192,763,0.467,0.474,0.25,0.471,0.699,0.515
715,Luis Scola,2012-13,32,PHO,NBA,4.4,82,67,2184,432,915,429,899,3,16,181,230,158,383,541,182,67,35,126,257,1048,0.472,0.477,0.188,0.474,0.787,0.516
716,Kyle Singler,2013-14,25,DET,NBA,4.4,82,36,2337,269,602,175,356,94,246,152,184,116,187,303,75,61,38,79,211,784,0.447,0.492,0.382,0.525,0.826,0.574
