,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
401,Kevon Looney,2018-19,22,GSW,NBA,6,80,24,1481,217,347,216,337,1,10,65,105,194,223,417,123,46,53,51,211,500,0.625,0.641,0.1,0.627,0.619,0.636
402,CJ McCollum,2015-16,24,POR,NBA,6,80,80,2780,641,1431,444,959,197,472,187,226,47,212,259,341,97,23,196,187,1666,0.448,0.463,0.417,0.517,0.827,0.544
403,Zaza Pachulia,2015-16,31,DAL,NBA,6,76,69,2004,219,470,219,467,0,3,212,276,249,469,718,128,64,22,119,181,650,0.466,0.469,0,0.466,0.768,0.55
404,Mason Plumlee,2016-17,26,TOT,NBA,6,81,64,2148,334,623,334,617,0,6,174,300,170,435,605,284,69,92,134,226,842,0.536,0.541,0,0.536,0.58,0.558
405,Larry Sanders,2012-13,24,MIL,NBA,6,71,55,1937,306,605,306,603,0,2,84,136,224,448,672,83,53,201,87,233,696,0.506,0.507,0,0.506,0.618,0.523
406,Marco Belinelli,2013-14,27,SAS,NBA,5.9,80,25,2016,337,695,211,402,126,293,111,131,18,208,226,179,50,7,95,130,911,0.485,0.525,0.43,0.576,0.847,0.605
407,Bismack Biyombo,2015-16,23,TOR,NBA,5.9,82,22,1808,156,288,156,287,0,1,142,226,182,473,655,29,19,133,71,225,454,0.542,0.544,0,0.542,0.628,0.586
408,Clint Capela,2016-17,22,HOU,NBA,5.9,65,59,1551,362,563,362,563,0,0,94,177,178,348,526,63,34,79,87,179,818,0.643,0.643,,0.643,0.531,0.638
409,Darren Collison,2013-14,26,LAC,NBA,5.9,80,35,2069,324,694,253,505,71,189,192,224,47,141,188,297,93,15,132,150,911,0.467,0.501,0.376,0.518,0.857,0.575
410,Gorgui Dieng,2015-16,26,MIN,NBA,5.9,82,39,2220,308,579,302,559,6,20,205,248,157,428,585,143,94,96,140,219,827,0.532,0.54,0.3,0.537,0.827,0.601
411,Danny Green,2018-19,31,TOR,NBA,5.9,80,80,2216,293,630,95,195,198,435,37,44,60,257,317,126,73,53,75,171,821,0.465,0.487,0.455,0.622,0.841,0.632
412,Danny Green,2012-13,25,SAS,NBA,5.9,80,80,2201,297,663,120,250,177,413,67,79,36,208,244,141,92,54,94,124,838,0.448,0.48,0.429,0.581,0.848,0.6
413,Buddy Hield,2018-19,26,SAC,NBA,5.9,82,82,2615,623,1360,345,709,278,651,171,193,106,306,412,205,58,33,146,202,1695,0.458,0.487,0.427,0.56,0.886,0.587
414,George Hill,2016-17,30,UTA,NBA,5.9,49,49,1544,289,606,195,373,94,233,157,196,23,144,167,204,50,11,85,114,829,0.477,0.523,0.403,0.554,0.801,0.599
415,Amir Johnson,2015-16,28,BOS,NBA,5.9,79,76,1800,249,426,239,383,10,43,69,121,178,327,505,138,52,83,94,214,577,0.585,0.624,0.233,0.596,0.57,0.602
416,Kyle Korver,2013-14,32,ATL,NBA,5.9,71,71,2408,289,609,104,217,185,392,87,94,22,260,282,208,70,24,102,147,850,0.475,0.479,0.472,0.626,0.926,0.653
417,JaVale McGee,2018-19,31,LAL,NBA,5.9,75,62,1671,400,641,399,629,1,12,96,152,195,371,566,52,47,148,108,208,897,0.624,0.634,0.083,0.625,0.632,0.634
418,Greg Monroe,2012-13,22,DET,NBA,5.9,81,81,2687,514,1058,514,1054,0,4,270,392,236,541,777,281,105,55,234,190,1298,0.486,0.488,0,0.486,0.689,0.527
419,Greg Monroe,2013-14,23,DET,NBA,5.9,82,82,2690,504,1015,504,1014,0,1,241,367,256,504,760,171,91,47,166,205,1249,0.497,0.497,0,0.497,0.657,0.531
420,Tony Parker,2013-14,31,SAS,NBA,5.9,68,68,1997,456,914,431,847,25,67,197,243,17,138,155,388,36,9,151,86,1134,0.499,0.509,0.373,0.513,0.811,0.555
