,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
501,Luol Deng,2012-13,27,CHI,NBA,6.3,75,75,2903,466,1093,391,860,75,233,230,282,162,314,476,222,81,32,144,105,1237,0.426,0.455,0.322,0.461,0.816,0.508
502,DeMar DeRozan,2018-19,29,SAS,NBA,6.3,77,77,2688,631,1313,624,1268,7,45,366,441,54,408,462,475,86,36,199,177,1635,0.481,0.492,0.156,0.483,0.83,0.542
503,Danilo Gallinari,2015-16,27,DEN,NBA,6.3,53,53,1839,287,700,200,461,87,239,375,432,52,229,281,135,42,19,77,87,1036,0.41,0.434,0.364,0.472,0.868,0.582
504,Chuck Hayes,2010-11,27,HOU,NBA,6.3,74,63,2079,244,463,244,461,0,2,94,142,219,380,599,202,79,49,86,200,582,0.527,0.529,0,0.527,0.662,0.554
505,Al Horford,2016-17,30,BOS,NBA,6.3,68,68,2193,379,801,293,559,86,242,108,135,95,370,465,337,52,86,115,138,952,0.473,0.524,0.355,0.527,0.8,0.553
506,Amir Johnson,2013-14,26,TOR,NBA,6.3,77,72,2214,344,612,324,546,20,66,91,143,172,333,505,115,56,88,123,271,799,0.562,0.593,0.303,0.578,0.636,0.592
507,Ty Lawson,2013-14,26,DEN,NBA,6.3,62,61,2222,347,806,275,604,72,202,324,406,40,175,215,543,100,10,200,113,1090,0.431,0.455,0.356,0.475,0.798,0.554
508,Brook Lopez,2010-11,22,NJN,NBA,6.3,82,82,2889,644,1309,644,1308,0,1,385,489,197,291,488,129,47,120,176,240,1673,0.492,0.492,0,0.492,0.787,0.549
509,Corey Maggette,2009-10,30,GSW,NBA,6.3,70,49,2081,457,886,444,836,13,50,460,551,92,281,373,172,51,4,168,231,1387,0.516,0.531,0.26,0.523,0.835,0.615
510,Luis Scola,2009-10,29,HOU,NBA,6.3,82,82,2671,560,1090,559,1085,1,5,208,267,175,530,705,169,63,26,163,246,1329,0.514,0.515,0.2,0.514,0.779,0.55
511,Myles Turner,2018-19,22,IND,NBA,6.3,74,74,2119,380,780,304,584,76,196,148,201,101,430,531,115,60,199,100,195,984,0.487,0.521,0.388,0.536,0.736,0.567
512,Martell Webster,2012-13,26,WAS,NBA,6.3,76,62,2200,281,636,142,307,139,329,168,198,53,241,294,143,49,17,90,166,869,0.442,0.463,0.422,0.551,0.848,0.601
513,Hassan Whiteside,2018-19,29,MIA,NBA,6.3,72,53,1674,388,680,386,664,2,16,109,243,257,560,817,56,46,136,97,192,887,0.571,0.581,0.125,0.572,0.449,0.564
514,Thaddeus Young,2011-12,23,PHI,NBA,6.3,63,1,1755,348,687,347,683,1,4,111,144,137,188,325,74,64,41,55,127,808,0.507,0.508,0.25,0.507,0.771,0.538
515,Cody Zeller,2015-16,23,CHO,NBA,6.3,73,60,1774,231,437,230,427,1,10,175,232,138,317,455,71,57,63,68,204,638,0.529,0.539,0.1,0.53,0.754,0.592
516,Arron Afflalo,2010-11,25,DEN,NBA,6.2,69,69,2324,312,627,207,379,105,248,138,163,45,206,251,168,34,31,71,153,867,0.498,0.546,0.423,0.581,0.847,0.62
517,Kyle Anderson,2017-18,24,SAS,NBA,6.2,74,67,1978,231,438,212,381,19,57,104,146,84,312,396,202,115,60,94,114,585,0.527,0.556,0.333,0.549,0.712,0.582
518,Giannis Antetokounmpo,2014-15,20,MIL,NBA,6.2,81,71,2541,383,780,376,736,7,44,257,347,100,442,542,207,73,85,173,254,1030,0.491,0.511,0.159,0.496,0.741,0.552
519,Carmelo Anthony,2011-12,27,NYK,NBA,6.2,55,55,1876,441,1025,373,822,68,203,295,367,88,256,344,200,62,24,144,156,1245,0.43,0.454,0.335,0.463,0.804,0.525
520,D.J. Augustin,2010-11,23,CHA,NBA,6.2,82,82,2757,399,958,288,625,111,333,269,297,38,187,225,498,54,3,155,152,1178,0.416,0.461,0.333,0.474,0.906,0.541
