,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1701,Alec Burks,2014-15,23,UTA,NBA,1.7,27,27,899,121,300,95,232,26,68,106,129,19,95,114,82,17,5,52,64,374,0.403,0.409,0.382,0.447,0.822,0.524
1702,Will Bynum,2012-13,30,DET,NBA,1.7,65,0,1219,253,540,229,464,24,76,106,131,28,69,97,231,45,5,125,128,636,0.469,0.494,0.316,0.491,0.809,0.532
1703,Ed Davis,2016-17,27,POR,NBA,1.7,46,12,789,75,142,75,142,0,0,50,81,96,148,244,26,15,22,37,137,200,0.528,0.528,,0.528,0.617,0.563
1704,Dewayne Dedmon,2014-15,25,ORL,NBA,1.7,59,15,845,91,162,91,161,0,1,34,64,118,177,295,9,16,50,51,141,216,0.562,0.565,0,0.562,0.531,0.568
1705,Festus Ezeli,2014-15,25,GSW,NBA,1.7,46,7,504,76,139,76,139,0,0,49,78,60,95,155,9,7,42,32,77,201,0.547,0.547,,0.547,0.628,0.58
1706,Cristiano Felício,2017-18,25,CHI,NBA,1.7,55,16,977,127,215,127,213,0,2,54,81,83,150,233,55,16,11,54,104,308,0.591,0.596,0,0.591,0.667,0.614
1707,Drew Gooden,2014-15,33,WAS,NBA,1.7,51,7,864,110,276,87,217,23,59,34,44,72,151,223,49,21,9,28,91,277,0.399,0.401,0.39,0.44,0.773,0.469
1708,Jerian Grant,2018-19,26,ORL,NBA,1.7,60,1,939,92,220,52,110,40,110,26,40,19,79,98,156,44,6,51,78,250,0.418,0.473,0.364,0.509,0.65,0.526
1709,Gerald Green,2015-16,30,MIA,NBA,1.7,69,14,1557,230,587,146,327,84,260,72,92,25,138,163,56,38,19,46,123,616,0.392,0.446,0.323,0.463,0.783,0.491
1710,Andrew Harrison,2017-18,23,MEM,NBA,1.7,56,46,1326,181,429,134,287,47,142,124,159,23,108,131,177,38,26,81,138,533,0.422,0.467,0.331,0.477,0.78,0.534
1711,Spencer Hawes,2016-17,28,TOT,NBA,1.7,54,1,797,134,277,109,196,25,81,44,52,38,153,191,81,15,30,49,77,337,0.484,0.556,0.309,0.529,0.846,0.562
1712,Justin Holiday,2017-18,28,CHI,NBA,1.7,72,72,2265,290,782,129,333,161,449,135,164,31,260,291,153,80,31,93,134,876,0.371,0.387,0.359,0.474,0.823,0.513
1713,Ryan Hollins,2012-13,28,LAC,NBA,1.7,60,0,663,70,114,70,114,0,0,66,88,50,89,139,11,6,34,44,133,206,0.614,0.614,,0.614,0.75,0.674
1714,John Jenkins,2012-13,21,ATL,NBA,1.7,61,2,902,131,294,78,156,53,138,59,70,17,77,94,56,12,10,40,37,374,0.446,0.5,0.384,0.536,0.843,0.576
1715,Brandon Jennings,2016-17,27,TOT,NBA,1.7,81,13,1802,192,535,113,283,79,252,114,152,29,167,196,395,70,4,128,116,577,0.359,0.399,0.313,0.433,0.75,0.479
1716,Wesley Johnson,2014-15,27,LAL,NBA,1.7,76,59,2245,286,691,195,432,91,259,90,112,67,252,319,124,59,45,87,162,753,0.414,0.451,0.351,0.48,0.804,0.509
1717,Wesley Johnson,2017-18,30,LAC,NBA,1.7,74,40,1486,150,368,90,191,60,177,43,58,29,187,216,61,76,62,55,146,403,0.408,0.471,0.339,0.489,0.741,0.512
1718,Brandon Knight,2015-16,24,PHO,NBA,1.7,52,50,1870,371,895,251,544,120,351,156,183,36,166,202,263,61,20,177,124,1018,0.415,0.461,0.342,0.482,0.852,0.522
1719,Shane Larkin,2014-15,22,NYK,NBA,1.7,76,22,1865,187,432,152,316,35,116,61,78,29,147,176,226,93,9,83,150,470,0.433,0.481,0.302,0.473,0.782,0.504
1720,Caris LeVert,2018-19,24,BRK,NBA,1.7,40,25,1063,207,483,159,329,48,154,85,123,35,116,151,156,42,14,69,77,547,0.429,0.483,0.312,0.478,0.691,0.509
1721,Rashard Lewis,2013-14,34,MIA,NBA,1.7,60,6,971,98,236,52,102,46,134,26,33,24,86,110,57,53,8,35,90,268,0.415,0.51,0.343,0.513,0.788,0.535
1722,Shawn Marion,2014-15,36,CLE,NBA,1.7,57,24,1101,119,267,107,221,12,46,26,34,64,138,202,51,27,27,33,58,276,0.446,0.484,0.261,0.468,0.765,0.489
1723,Boban Marjanović,2016-17,28,DET,NBA,1.7,35,0,293,72,132,72,132,0,0,47,58,46,84,130,9,6,12,10,25,191,0.545,0.545,,0.545,0.81,0.606
1724,Patrick McCaw,2016-17,21,GSW,NBA,1.7,71,20,1074,106,245,65,122,41,123,29,37,21,79,100,77,32,15,36,62,282,0.433,0.533,0.333,0.516,0.784,0.54
1725,E'Twaun Moore,2013-14,24,ORL,NBA,1.7,79,3,1506,195,456,138,295,57,161,52,68,29,107,136,112,60,13,55,106,499,0.428,0.468,0.354,0.49,0.765,0.513
1726,E'Twaun Moore,2018-19,29,NOP,NBA,1.7,53,36,1463,256,532,180,356,76,176,45,59,35,92,127,102,40,8,59,112,633,0.481,0.506,0.432,0.553,0.763,0.567
1727,Markieff Morris,2012-13,23,PHO,NBA,1.7,82,32,1837,266,653,221,519,45,134,93,127,131,265,396,108,77,64,104,209,670,0.407,0.426,0.336,0.442,0.732,0.473
1728,Arnett Moultrie,2012-13,22,PHI,NBA,1.7,47,0,542,78,134,78,134,0,0,18,28,76,69,145,10,17,10,19,43,174,0.582,0.582,,0.582,0.643,0.595
1729,Andrew Nicholson,2012-13,23,ORL,NBA,1.7,75,28,1249,256,486,256,486,0,0,75,94,69,189,258,44,24,32,79,133,587,0.527,0.527,,0.527,0.798,0.557
1730,Zaza Pachulia,2013-14,29,MIL,NBA,1.7,53,43,1325,149,349,149,348,0,1,110,130,141,192,333,136,45,14,92,124,408,0.427,0.428,0,0.427,0.846,0.502
1731,John Salmons,2013-14,34,TOT,NBA,1.7,78,8,1726,150,413,87,250,63,163,40,52,20,143,163,147,47,19,54,124,403,0.363,0.348,0.387,0.439,0.769,0.462
1732,Kevin Séraphin,2014-15,25,WAS,NBA,1.7,79,0,1235,231,450,231,448,0,2,58,82,87,201,288,59,10,59,98,197,520,0.513,0.516,0,0.513,0.707,0.535
1733,Iman Shumpert,2015-16,25,CLE,NBA,1.7,54,5,1316,114,305,71,159,43,146,40,51,32,171,203,92,54,19,57,119,311,0.374,0.447,0.295,0.444,0.784,0.475
