,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3001,Leandro Barbosa,2012-13,30,BOS,NBA,0.9,41,2,513,83,193,65,146,18,47,31,41,8,38,46,58,17,6,21,51,215,0.43,0.445,0.383,0.477,0.756,0.509
3002,Andrea Bargnani,2014-15,29,NYK,NBA,0.9,29,22,785,164,361,149,320,15,41,87,107,32,95,127,46,2,27,42,53,430,0.454,0.466,0.366,0.475,0.813,0.527
3003,DeAndre' Bembry,2018-19,24,ATL,NBA,0.9,82,15,1931,275,616,225,443,50,173,87,136,54,304,358,202,105,41,142,190,687,0.446,0.508,0.289,0.487,0.64,0.508
3004,Bojan Bogdanovi_,2015-16,26,BRK,NBA,0.9,79,39,2115,324,749,195,411,129,338,110,132,36,219,255,99,29,5,115,119,887,0.433,0.474,0.382,0.519,0.833,0.55
3005,Aaron Brooks,2015-16,31,CHI,NBA,0.9,69,0,1108,188,469,122,284,66,185,49,64,21,80,101,180,30,10,82,132,491,0.401,0.43,0.357,0.471,0.766,0.494
3006,Chase Budinger,2013-14,25,MIN,NBA,0.9,41,8,751,100,254,58,134,42,120,32,39,19,84,103,31,19,2,24,58,274,0.394,0.433,0.35,0.476,0.821,0.505
3007,Trey Burke,2013-14,21,UTA,NBA,0.9,70,68,2262,341,897,230,561,111,336,102,113,37,171,208,396,42,6,131,145,895,0.38,0.41,0.33,0.442,0.903,0.473
3008,José Calderón,2014-15,33,NYK,NBA,0.9,42,42,1270,147,354,88,212,59,142,29,32,19,105,124,198,31,0,75,76,382,0.415,0.415,0.415,0.499,0.906,0.519
3009,Anthony Carter,2009-10,34,DEN,NBA,0.9,54,7,859,76,181,59,118,17,63,11,13,17,72,89,160,39,13,58,72,180,0.42,0.5,0.27,0.467,0.846,0.482
3010,Michael Carter-Williams,2017-18,26,CHO,NBA,0.9,52,2,835,76,229,62,170,14,59,73,89,37,101,138,116,44,23,52,99,239,0.332,0.365,0.237,0.362,0.82,0.446
3011,Josh Childress,2011-12,28,PHO,NBA,0.9,34,0,491,48,99,44,75,4,24,0,2,31,64,95,34,14,6,9,38,100,0.485,0.587,0.167,0.505,0,0.501
3012,Ian Clark,2015-16,24,GSW,NBA,0.9,66,1,578,89,202,59,118,30,84,28,34,13,55,68,64,17,13,43,58,236,0.441,0.5,0.357,0.515,0.824,0.544
3013,Torrey Craig,2017-18,27,DEN,NBA,0.9,39,5,629,62,137,45,79,17,58,22,35,40,87,127,25,12,15,20,63,163,0.453,0.57,0.293,0.515,0.629,0.535
3014,Jordan Crawford,2016-17,28,NOP,NBA,0.9,19,0,442,105,218,68,123,37,95,20,26,4,30,34,57,11,2,25,30,267,0.482,0.553,0.389,0.567,0.769,0.582
3015,Luol Deng,2016-17,31,LAL,NBA,0.9,56,49,1486,164,424,113,259,51,165,46,63,63,232,295,74,48,20,43,61,425,0.387,0.436,0.309,0.447,0.73,0.47
3016,Toney Douglas,2013-14,27,TOT,NBA,0.9,51,17,675,73,190,42,88,31,102,25,34,18,69,87,68,19,5,34,81,202,0.384,0.477,0.304,0.466,0.735,0.493
3017,Mike Dunleavy,2015-16,35,CHI,NBA,0.9,31,30,703,77,188,38,89,39,99,29,37,8,75,83,39,14,10,26,66,222,0.41,0.427,0.394,0.513,0.784,0.543
3018,Kris Dunn,2017-18,23,CHI,NBA,0.9,52,43,1525,286,666,243,532,43,134,84,114,24,197,221,310,104,27,150,174,699,0.429,0.457,0.321,0.462,0.737,0.488
3019,James Ennis,2015-16,25,TOT,NBA,0.9,22,5,329,54,113,28,55,26,58,25,34,21,21,42,21,16,5,19,28,159,0.478,0.509,0.448,0.593,0.735,0.621
3020,Jeremy Evans,2011-12,24,UTA,NBA,0.9,29,0,217,27,42,27,41,0,1,8,16,19,31,50,13,6,24,5,23,62,0.643,0.659,0,0.643,0.5,0.632
