,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2201,Gerald Henderson,2015-16,28,POR,NBA,2,72,0,1431,232,529,184,393,48,136,112,146,30,181,211,75,39,19,68,87,624,0.439,0.468,0.353,0.484,0.767,0.526
2202,Brandon Ingram,2018-19,21,LAL,NBA,2,52,52,1760,362,729,331,635,31,94,195,289,41,226,267,154,28,31,129,149,950,0.497,0.521,0.33,0.518,0.675,0.555
2203,Reggie Jackson,2017-18,27,DET,NBA,2,45,45,1201,246,577,194,408,52,169,112,134,29,96,125,238,27,4,99,87,656,0.426,0.475,0.308,0.471,0.836,0.516
2204,Jonas Jerebko,2012-13,25,DET,NBA,2,49,2,892,142,316,117,233,25,83,68,88,68,117,185,43,38,8,42,90,377,0.449,0.502,0.301,0.489,0.773,0.531
2205,Tyler Johnson,2015-16,23,MIA,NBA,2,36,5,863,118,243,91,172,27,71,51,64,28,81,109,79,24,14,47,66,314,0.486,0.529,0.38,0.541,0.797,0.579
2206,Dahntay Jones,2011-12,31,IND,NBA,2,65,3,1052,115,281,82,204,33,77,83,99,23,94,117,63,23,11,46,119,346,0.409,0.402,0.429,0.468,0.838,0.533
2207,Jon Leuer,2013-14,24,MEM,NBA,2,49,0,642,121,246,98,197,23,49,37,47,37,121,158,20,18,13,27,63,302,0.492,0.497,0.469,0.539,0.787,0.566
2208,Shaun Livingston,2018-19,33,GSW,NBA,2,64,0,967,109,210,109,208,0,2,40,51,42,75,117,114,31,27,38,74,258,0.519,0.524,0,0.519,0.784,0.555
2209,Thon Maker,2018-19,21,TOT,NBA,2,64,5,972,109,268,60,115,49,153,56,84,41,161,202,45,21,51,33,105,323,0.407,0.522,0.32,0.498,0.667,0.53
2210,Jodie Meeks,2017-18,30,WAS,NBA,2,77,0,1119,157,393,85,183,72,210,101,117,15,111,126,70,29,4,37,55,487,0.399,0.464,0.343,0.491,0.863,0.548
2211,Shabazz Muhammad,2014-15,22,MIN,NBA,2,38,13,866,194,397,174,346,20,51,104,145,63,91,154,44,18,7,35,49,512,0.489,0.503,0.392,0.514,0.717,0.556
2212,Shabazz Napier,2018-19,27,BRK,NBA,2,56,2,983,169,435,93,207,76,228,115,138,18,82,100,143,41,16,66,67,529,0.389,0.449,0.333,0.476,0.833,0.534
2213,Jusuf Nurki_,2016-17,22,TOT,NBA,2,65,48,1391,271,534,271,533,0,1,120,210,154,313,467,123,50,74,143,161,662,0.507,0.508,0,0.507,0.571,0.528
2214,Jermaine O'Neal,2012-13,34,PHO,NBA,2,55,4,1029,179,371,179,371,0,0,96,115,82,211,293,42,19,78,73,126,454,0.482,0.482,,0.482,0.835,0.538
2215,Kelly Oubre,2016-17,21,WAS,NBA,2,79,5,1605,186,442,132,254,54,188,75,99,61,200,261,47,58,17,50,195,501,0.421,0.52,0.287,0.482,0.758,0.516
2216,Kendrick Perkins,2011-12,27,OKC,NBA,2,65,65,1744,128,262,128,262,0,0,73,112,120,306,426,78,25,73,118,189,329,0.489,0.489,,0.489,0.652,0.528
2217,Ricky Rubio,2011-12,21,MIN,NBA,2,41,31,1404,139,389,107,295,32,94,126,157,21,150,171,336,91,8,131,97,436,0.357,0.363,0.34,0.398,0.803,0.476
2218,Brandon Rush,2015-16,30,GSW,NBA,2,72,25,1055,111,260,46,103,65,157,18,28,21,160,181,57,20,23,33,57,305,0.427,0.447,0.414,0.552,0.643,0.56
2219,Iman Shumpert,2013-14,23,NYK,NBA,2,74,58,1962,183,484,107,256,76,228,53,71,81,227,308,129,92,13,79,209,495,0.378,0.418,0.333,0.457,0.746,0.48
2220,Iman Shumpert,2016-17,26,CLE,NBA,2,76,31,1937,201,489,107,228,94,261,71,90,39,179,218,109,62,27,78,150,567,0.411,0.469,0.36,0.507,0.789,0.536
2221,Jonathon Simmons,2016-17,27,SAS,NBA,2,78,8,1392,177,421,147,319,30,102,99,132,20,140,160,126,47,25,76,146,483,0.42,0.461,0.294,0.456,0.75,0.504
2222,Jonathon Simmons,2015-16,26,SAS,NBA,2,55,2,813,122,242,104,195,18,47,69,92,16,80,96,58,24,5,53,103,331,0.504,0.533,0.383,0.541,0.75,0.586
2223,Kyle Singler,2014-15,26,TOT,NBA,2,80,58,1743,172,446,76,205,96,241,40,52,33,161,194,85,47,21,55,153,480,0.386,0.371,0.398,0.493,0.769,0.512
2224,Donald Sloan,2014-15,27,IND,NBA,2,53,21,1107,145,355,104,224,41,131,60,77,12,131,143,190,23,0,65,47,391,0.408,0.464,0.313,0.466,0.779,0.503
