,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2701,Buddy Hield,2016-17,24,TOT,NBA,1.3,82,55,1888,327,767,179,388,148,379,64,76,35,234,269,121,38,9,101,115,866,0.426,0.461,0.391,0.523,0.842,0.541
2702,Justin Holiday,2014-15,25,GSW,NBA,1.3,59,4,657,91,235,56,126,35,109,37,45,12,61,73,48,40,12,29,54,254,0.387,0.444,0.321,0.462,0.822,0.498
2703,Ryan Hollins,2013-14,29,LAC,NBA,1.3,61,0,482,53,72,53,72,0,0,35,56,31,59,90,8,9,31,29,87,141,0.736,0.736,,0.736,0.625,0.73
2704,Al Horford,2011-12,25,ATL,NBA,1.3,11,11,348,57,103,57,102,0,1,22,30,26,51,77,24,10,14,16,21,136,0.553,0.559,0,0.553,0.733,0.585
2705,Chris Hunter,2009-10,25,GSW,NBA,1.3,60,9,783,109,217,109,213,0,4,52,69,56,111,167,37,13,35,30,132,270,0.502,0.512,0,0.502,0.754,0.546
2706,Yi Jianlian,2009-10,22,NJN,NBA,1.3,52,51,1655,227,563,212,522,15,41,154,193,115,257,372,47,37,52,77,170,623,0.403,0.406,0.366,0.417,0.798,0.481
2707,James Johnson,2015-16,28,TOR,NBA,1.3,57,32,926,114,240,94,174,20,66,39,68,28,98,126,67,29,33,54,84,287,0.475,0.54,0.303,0.517,0.574,0.532
2708,Wesley Johnson,2010-11,23,MIN,NBA,1.3,79,63,2069,271,682,168,393,103,289,64,92,51,189,240,148,58,54,95,163,709,0.397,0.427,0.356,0.473,0.696,0.491
2709,Andrei Kirilenko,2013-14,32,BRK,NBA,1.3,45,4,857,82,160,81,155,1,5,61,119,55,91,146,72,40,19,54,65,226,0.513,0.523,0.2,0.516,0.513,0.532
2710,Brandon Knight,2011-12,20,DET,NBA,1.3,66,60,2129,319,769,214,493,105,276,104,137,33,178,211,251,49,10,171,154,847,0.415,0.434,0.38,0.483,0.759,0.511
