,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2801,Kenyon Martin,2012-13,35,NYK,NBA,1.2,18,11,431,56,93,56,93,0,0,17,40,34,61,95,8,16,17,16,64,129,0.602,0.602,,0.602,0.425,0.583
2802,Kevin Martin,2015-16,32,TOT,NBA,1.2,55,13,1095,156,419,107,283,49,136,153,172,14,96,110,58,26,3,54,83,514,0.372,0.378,0.36,0.431,0.89,0.52
2803,Nazr Mohammed,2012-13,35,CHI,NBA,1.2,63,12,693,66,180,66,178,0,2,34,47,73,122,195,26,21,32,24,97,166,0.367,0.371,0,0.367,0.723,0.414
2804,Anthony Morrow,2016-17,31,TOT,NBA,1.2,49,7,714,98,252,57,119,41,133,34,37,12,19,31,25,24,2,6,44,271,0.389,0.479,0.308,0.47,0.919,0.505
2805,Semi Ojeleye,2017-18,23,BOS,NBA,1.2,73,0,1150,65,188,25,63,40,125,25,41,37,124,161,20,21,4,25,91,195,0.346,0.397,0.32,0.452,0.61,0.473
2806,Jahlil Okafor,2015-16,20,PHI,NBA,1.2,53,48,1591,397,781,396,775,1,6,133,194,122,251,373,65,22,61,124,140,928,0.508,0.511,0.167,0.509,0.686,0.536
2807,Jahlil Okafor,2016-17,21,PHI,NBA,1.2,50,33,1134,242,471,242,471,0,0,106,158,81,159,240,58,20,49,91,122,590,0.514,0.514,,0.514,0.671,0.546
2808,Josh Okogie,2018-19,20,MIN,NBA,1.2,74,52,1757,196,508,136,293,60,215,118,162,41,177,218,91,88,33,63,166,570,0.386,0.464,0.279,0.445,0.728,0.492
2809,Jabari Parker,2017-18,22,MIL,NBA,1.2,31,3,743,160,332,129,251,31,81,40,54,42,109,151,59,25,10,45,50,391,0.482,0.514,0.383,0.529,0.741,0.55
2810,Nikola Pekovi_,2014-15,29,MIN,NBA,1.2,31,29,815,139,328,139,328,0,0,108,129,89,145,234,27,19,12,42,59,386,0.424,0.424,,0.424,0.837,0.502
2811,Mickaël Piétrus,2011-12,29,BOS,NBA,1.2,42,6,921,104,270,43,88,61,182,20,31,18,112,130,25,21,10,33,81,289,0.385,0.489,0.335,0.498,0.645,0.509
2812,A.J. Price,2009-10,23,IND,NBA,1.2,56,2,865,145,354,85,180,60,174,60,75,12,76,88,106,35,3,59,53,410,0.41,0.472,0.345,0.494,0.8,0.53
2813,Ivan Rabb,2017-18,20,MEM,NBA,1.2,36,5,516,86,152,86,152,0,0,29,36,53,105,158,32,12,13,35,55,201,0.566,0.566,,0.566,0.806,0.599
2814,Willie Reed,2015-16,25,BRK,NBA,1.2,39,2,426,76,133,76,133,0,0,30,55,49,73,122,10,6,30,16,47,182,0.571,0.571,,0.571,0.545,0.579
2815,Austin Rivers,2018-19,26,TOT,NBA,1.2,76,15,2028,232,572,128,245,104,327,50,95,25,137,162,167,47,23,68,207,618,0.406,0.522,0.318,0.497,0.526,0.503
2816,Sergio Rodríguez,2009-10,23,TOT,NBA,1.2,66,8,1048,167,351,135,260,32,91,68,93,24,65,89,212,50,5,114,84,434,0.476,0.519,0.352,0.521,0.731,0.554
2817,Derrick Rose,2014-15,26,CHI,NBA,1.2,51,51,1530,338,835,262,564,76,271,152,187,35,126,161,251,36,16,161,63,904,0.405,0.465,0.28,0.45,0.813,0.493
2818,Jason Smith,2014-15,28,NYK,NBA,1.2,82,31,1785,257,592,242,550,15,42,127,153,98,226,324,140,32,44,104,205,656,0.434,0.44,0.357,0.447,0.83,0.497
2819,Omari Spellman,2018-19,21,ATL,NBA,1.2,46,11,805,98,244,54,116,44,128,32,45,72,122,194,47,26,25,31,67,272,0.402,0.466,0.344,0.492,0.711,0.516
2820,Jeffery Taylor,2012-13,23,CHA,NBA,1.2,77,29,1507,172,399,119,245,53,154,75,103,51,99,150,63,47,15,48,136,472,0.431,0.486,0.344,0.497,0.728,0.531
2821,Garrett Temple,2012-13,26,WAS,NBA,1.2,51,36,1156,105,258,79,178,26,80,26,37,29,94,123,115,50,17,61,94,262,0.407,0.444,0.325,0.457,0.703,0.478
2822,Garrett Temple,2017-18,31,SAC,NBA,1.2,65,35,1615,199,476,110,249,89,227,60,78,22,130,152,124,57,27,79,135,547,0.418,0.442,0.392,0.512,0.769,0.536
2823,Lance Thomas,2012-13,24,NOH,NBA,1.2,59,9,646,53,106,53,106,0,0,43,59,44,71,115,17,11,7,14,78,149,0.5,0.5,,0.5,0.729,0.565
2824,Lance Thomas,2011-12,23,NOH,NBA,1.2,42,10,630,57,126,57,125,0,1,52,62,49,77,126,12,10,7,24,78,166,0.452,0.456,0,0.452,0.839,0.541
2825,Hollis Thompson,2015-16,24,PHI,NBA,1.2,77,17,2154,270,680,121,288,149,392,69,96,54,218,272,99,36,24,76,187,758,0.397,0.42,0.38,0.507,0.719,0.525
2826,Marcus Thornton,2014-15,27,TOT,NBA,1.2,48,0,721,140,345,86,202,54,143,46,56,23,63,86,36,27,7,27,38,380,0.406,0.426,0.378,0.484,0.821,0.514
2827,Anthony Tolliver,2018-19,33,MIN,NBA,1.2,65,0,1079,99,259,18,44,81,215,47,60,15,162,177,46,17,21,36,91,326,0.382,0.409,0.377,0.539,0.783,0.571
2828,Anthony Tolliver,2012-13,27,ATL,NBA,1.2,62,11,963,82,216,37,83,45,133,44,51,31,124,155,32,15,12,36,66,253,0.38,0.446,0.338,0.484,0.863,0.531
2829,Hedo Türko_lu,2014-15,35,LAC,NBA,1.2,62,2,705,83,188,23,49,60,139,6,11,5,94,99,37,19,7,29,66,232,0.441,0.469,0.432,0.601,0.545,0.602
2830,Evan Turner,2016-17,28,POR,NBA,1.2,65,12,1658,235,552,204,434,31,118,85,103,36,211,247,205,53,24,100,121,586,0.426,0.47,0.263,0.454,0.825,0.491
2831,Noah Vonleh,2015-16,20,POR,NBA,1.2,78,56,1174,117,278,106,232,11,46,38,51,91,214,305,30,27,26,50,152,283,0.421,0.457,0.239,0.441,0.745,0.471
2832,Dion Waiters,2018-19,27,MIA,NBA,1.2,44,28,1138,198,478,89,189,109,289,22,44,7,109,116,121,29,9,64,72,527,0.414,0.471,0.377,0.528,0.5,0.53
2833,John Wall,2018-19,28,WAS,NBA,1.2,32,32,1104,245,552,194,383,51,169,122,175,15,101,116,279,49,29,121,71,663,0.444,0.507,0.302,0.49,0.697,0.527
2834,Kenrich Williams,2018-19,24,NOP,NBA,1.2,46,29,1079,107,279,55,123,52,156,13,19,55,164,219,83,45,19,36,95,279,0.384,0.447,0.333,0.477,0.684,0.485
2835,Robert Williams,2018-19,21,BOS,NBA,1.2,32,2,283,36,51,36,51,0,0,9,15,27,54,81,7,9,40,10,36,81,0.706,0.706,,0.706,0.6,0.703
2836,Nate Wolters,2013-14,22,MIL,NBA,1.2,58,31,1309,170,389,152,327,18,62,59,90,33,116,149,187,35,15,57,67,417,0.437,0.465,0.29,0.46,0.656,0.486
2837,Nick Young,2014-15,29,LAL,NBA,1.2,42,0,1000,174,476,91,251,83,225,132,148,17,79,96,41,23,11,44,83,563,0.366,0.363,0.369,0.453,0.892,0.52
2838,Sam Young,2009-10,24,MEM,NBA,1.2,80,1,1321,224,497,213,441,11,56,136,175,77,124,201,52,34,20,94,106,595,0.451,0.483,0.196,0.462,0.777,0.518
2839,Quincy Acy,2012-13,22,TOR,NBA,1.1,29,0,342,42,75,41,73,1,2,31,38,30,47,77,11,13,15,17,53,116,0.56,0.562,0.5,0.567,0.816,0.632
2840,Justin Anderson,2015-16,22,DAL,NBA,1.1,55,9,647,71,175,49,92,22,83,44,55,18,114,132,29,19,25,24,45,208,0.406,0.533,0.265,0.469,0.8,0.522
2841,Darrell Arthur,2016-17,28,DEN,NBA,1.1,41,7,639,95,215,42,98,53,117,19,22,25,87,112,42,19,21,36,76,262,0.442,0.429,0.453,0.565,0.864,0.583
