,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
801,Andre Iguodala,2014-15,31,GSW,NBA,5.1,77,0,2069,231,496,157,284,74,212,68,114,44,213,257,228,89,25,88,100,604,0.466,0.553,0.349,0.54,0.596,0.553
802,Amir Johnson,2014-15,27,TOR,NBA,5.1,75,72,1979,298,519,279,473,19,46,79,129,159,297,456,117,44,59,110,225,694,0.574,0.59,0.413,0.592,0.612,0.603
803,James Johnson,2016-17,29,MIA,NBA,5.1,76,5,2085,368,769,281,513,87,256,152,215,66,310,376,276,76,86,171,197,975,0.479,0.548,0.34,0.535,0.707,0.564
804,Joe Johnson,2012-13,31,BRK,NBA,5.1,72,72,2642,445,1052,297,657,148,395,132,161,53,165,218,253,49,14,123,99,1170,0.423,0.452,0.375,0.493,0.82,0.521
805,Kyle Korver,2010-11,29,CHI,NBA,5.1,82,0,1649,242,557,122,268,120,289,77,87,12,138,150,124,35,20,60,156,681,0.434,0.455,0.415,0.542,0.885,0.572
806,Robin Lopez,2014-15,26,POR,NBA,5.1,59,59,1638,234,437,234,436,0,1,98,127,190,204,394,55,16,84,73,122,566,0.535,0.537,0,0.535,0.772,0.574
807,Jodie Meeks,2010-11,23,PHI,NBA,5.1,74,64,2062,242,570,104,222,138,348,152,170,21,150,171,78,63,4,60,97,774,0.425,0.468,0.397,0.546,0.894,0.6
808,Patty Mills,2016-17,28,SAS,NBA,5.1,80,8,1754,273,621,126,266,147,355,66,80,24,117,141,280,65,3,101,109,759,0.44,0.474,0.414,0.558,0.825,0.578
809,Jamal Murray,2018-19,21,DEN,NBA,5.1,75,74,2447,513,1173,361,759,152,414,189,223,65,252,317,363,67,27,158,153,1367,0.437,0.476,0.367,0.502,0.848,0.538
810,Jakob Poeltl,2018-19,23,SAS,NBA,5.1,77,24,1273,187,290,187,290,0,0,49,92,178,232,410,93,29,68,48,124,423,0.645,0.645,,0.645,0.533,0.64
811,Kemba Walker,2013-14,23,CHA,NBA,5.1,73,73,2614,449,1143,340,816,109,327,282,337,39,267,306,447,86,32,169,128,1289,0.393,0.417,0.333,0.441,0.837,0.499
812,Lou Williams,2018-19,32,LAC,NBA,5.1,75,1,1993,484,1138,379,847,105,291,425,485,40,182,222,402,57,11,181,80,1498,0.425,0.447,0.361,0.471,0.876,0.554
813,Lou Williams,2010-11,24,PHI,NBA,5.1,75,0,1747,323,795,235,542,88,253,293,356,32,117,149,252,47,17,102,128,1027,0.406,0.434,0.348,0.462,0.823,0.54
814,Brandan Wright,2013-14,26,DAL,NBA,5.1,58,0,1077,224,331,224,331,0,0,77,106,102,142,244,31,32,55,35,94,525,0.677,0.677,,0.677,0.726,0.695
815,Ömer A_ık,2014-15,28,NOP,NBA,5,76,76,1982,213,412,213,412,0,0,131,225,244,504,748,72,29,54,95,144,557,0.517,0.517,,0.517,0.582,0.545
816,Nicolas Batum,2015-16,27,CHO,NBA,5,70,70,2448,372,873,233,474,139,399,163,192,55,373,428,403,65,43,205,114,1046,0.426,0.492,0.348,0.506,0.849,0.546
817,Ed Davis,2017-18,28,POR,NBA,5,78,0,1471,170,292,170,291,0,1,74,111,183,392,575,40,32,52,66,188,414,0.582,0.584,0,0.582,0.667,0.607
818,Joe Ingles,2016-17,29,UTA,NBA,5,82,26,1972,204,451,81,172,123,279,50,68,23,238,261,225,96,8,107,163,581,0.452,0.471,0.441,0.589,0.735,0.604
819,Kyrie Irving,2015-16,23,CLE,NBA,5,53,53,1667,394,879,310,617,84,262,169,191,44,113,157,249,56,18,124,107,1041,0.448,0.502,0.321,0.496,0.885,0.54
820,Reggie Jackson,2018-19,28,DET,NBA,5,82,82,2289,441,1047,267,576,174,471,204,236,45,171,216,344,55,9,148,208,1260,0.421,0.464,0.369,0.504,0.864,0.547
821,Stephen Jackson,2009-10,31,TOT,NBA,5,81,81,3129,600,1418,471,1025,129,393,338,434,78,323,401,300,132,43,259,197,1667,0.423,0.46,0.328,0.469,0.779,0.518
822,Amir Johnson,2016-17,29,BOS,NBA,5,80,77,1608,213,370,186,304,27,66,67,100,118,248,366,140,51,62,77,211,520,0.576,0.612,0.409,0.612,0.67,0.628
823,James Johnson,2017-18,30,MIA,NBA,5,73,41,1943,309,614,252,429,57,185,113,162,61,297,358,280,70,51,141,192,788,0.503,0.587,0.308,0.55,0.698,0.575
824,David Lee,2011-12,28,GSW,NBA,5,57,57,2121,464,922,464,917,0,5,219,280,171,374,545,162,54,22,149,179,1147,0.503,0.506,0,0.503,0.782,0.549
825,Shawn Marion,2009-10,31,DAL,NBA,5,75,75,2385,395,778,392,759,3,19,105,139,158,319,477,107,69,61,99,141,898,0.508,0.516,0.158,0.51,0.755,0.535
826,Donovan Mitchell,2018-19,22,UTA,NBA,5,77,77,2598,661,1530,473,1011,188,519,319,396,59,257,316,322,106,31,218,208,1829,0.432,0.468,0.362,0.493,0.806,0.537
827,Jameer Nelson,2009-10,27,ORL,NBA,5,65,64,1860,317,706,231,480,86,226,98,116,26,168,194,353,48,2,139,147,818,0.449,0.481,0.381,0.51,0.845,0.54
828,Dirk Nowitzki,2012-13,34,DAL,NBA,5,53,47,1661,343,728,278,571,65,157,166,193,37,326,363,132,38,37,70,93,917,0.471,0.487,0.414,0.516,0.86,0.564
829,Zaza Pachulia,2011-12,27,ATL,NBA,5,58,44,1640,169,339,169,339,0,0,117,158,154,303,457,79,55,29,81,172,455,0.499,0.499,,0.499,0.741,0.557
830,D'Angelo Russell,2018-19,22,BRK,NBA,5,81,81,2448,659,1517,425,882,234,635,160,205,53,262,315,563,100,20,253,141,1712,0.434,0.482,0.369,0.512,0.78,0.533
831,Tomá_ Satoransk_,2017-18,26,WAS,NBA,5,73,30,1643,201,384,154,283,47,101,75,96,72,161,233,286,52,15,83,131,524,0.523,0.544,0.465,0.585,0.781,0.615
832,J.R. Smith,2010-11,25,DEN,NBA,5,79,6,1968,341,784,217,466,124,318,163,221,45,277,322,175,92,16,100,173,969,0.435,0.466,0.39,0.514,0.738,0.55
833,Rodney Stuckey,2010-11,24,DET,NBA,5,70,54,2183,363,827,337,737,26,90,330,381,70,146,216,361,76,10,155,177,1082,0.439,0.457,0.289,0.455,0.866,0.544
