,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1701,Tyler Zeller,2017-18,28,TOT,NBA,2.9,66,34,1109,187,334,177,306,10,28,57,79,110,195,305,47,15,35,47,126,441,0.56,0.578,0.357,0.575,0.722,0.598
1702,Lavoy Allen,2014-15,25,IND,NBA,2.8,63,0,1070,141,299,141,299,0,0,33,47,123,200,323,73,15,42,40,102,315,0.472,0.472,,0.472,0.702,0.493
1703,D.J. Augustin,2009-10,22,CHA,NBA,2.8,80,2,1472,168,435,98,257,70,178,102,131,11,86,97,193,45,5,74,127,508,0.386,0.381,0.393,0.467,0.779,0.516
1704,D.J. Augustin,2012-13,25,IND,NBA,2.8,76,5,1226,103,294,36,104,67,190,83,99,20,71,91,170,34,3,68,64,356,0.35,0.346,0.353,0.464,0.838,0.527
1705,Leandro Barbosa,2014-15,32,GSW,NBA,2.8,66,1,982,183,386,140,274,43,112,58,74,23,68,91,99,41,8,44,87,467,0.474,0.511,0.384,0.53,0.784,0.558
1706,J.J. Barea,2015-16,31,DAL,NBA,2.8,74,16,1667,317,711,217,451,100,260,74,96,26,126,152,302,26,2,113,110,808,0.446,0.481,0.385,0.516,0.771,0.536
1707,Harrison Barnes,2012-13,20,GSW,NBA,2.8,81,81,2058,276,628,224,483,52,145,144,190,53,280,333,98,52,14,101,140,748,0.439,0.464,0.359,0.481,0.758,0.526
1708,Khem Birch,2018-19,26,ORL,NBA,2.8,50,1,643,91,151,91,150,0,1,58,83,79,111,190,38,18,29,20,72,240,0.603,0.607,0,0.603,0.699,0.64
1709,Nemanja Bjelica,2017-18,29,MIN,NBA,2.8,67,21,1371,171,371,95,188,76,183,36,45,53,221,274,86,50,16,52,141,454,0.461,0.505,0.415,0.563,0.8,0.581
1710,Kentavious Caldwell-Pope,2014-15,21,DET,NBA,2.8,82,82,2587,390,972,237,528,153,444,110,158,46,209,255,109,93,18,94,161,1043,0.401,0.449,0.345,0.48,0.696,0.501
1711,Mario Chalmers,2014-15,28,MIA,NBA,2.8,80,37,2368,267,663,194,415,73,248,206,266,24,182,206,307,122,10,173,251,813,0.403,0.467,0.294,0.458,0.774,0.521
1712,Jordan Crawford,2013-14,25,TOT,NBA,2.8,81,35,1859,327,788,237,503,90,285,146,169,28,155,183,281,47,5,134,120,890,0.415,0.471,0.316,0.472,0.864,0.516
1713,Baron Davis,2010-11,31,TOT,NBA,2.8,58,44,1649,289,693,208,454,81,239,101,131,35,121,156,391,78,28,146,143,760,0.417,0.458,0.339,0.475,0.771,0.506
