,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
801,Brandan Wright,2012-13,25,DAL,NBA,4.1,64,16,1149,241,404,241,401,0,3,59,96,85,175,260,38,26,76,34,78,541,0.597,0.601,0,0.597,0.615,0.606
802,Thaddeus Young,2015-16,27,BRK,NBA,4.1,73,73,2407,495,963,488,933,7,30,105,163,176,484,660,135,112,37,136,182,1102,0.514,0.523,0.233,0.518,0.644,0.533
803,Al-Farouq Aminu,2015-16,25,POR,NBA,4,82,82,2341,299,719,173,370,126,349,115,156,98,401,499,138,72,53,120,171,839,0.416,0.468,0.361,0.503,0.737,0.533
804,Jerryd Bayless,2012-13,24,MEM,NBA,4,80,4,1765,260,621,189,420,71,201,102,122,22,154,176,264,59,17,120,168,693,0.419,0.45,0.353,0.476,0.836,0.514
805,Bradley Beal,2013-14,20,WAS,NBA,4,73,73,2530,481,1149,343,806,138,343,149,189,54,219,273,243,71,18,128,153,1249,0.419,0.426,0.402,0.479,0.788,0.507
806,Dāvis Bertāns,2018-19,26,SAS,NBA,4,76,12,1632,204,453,59,115,145,338,53,60,23,241,264,100,35,33,43,133,606,0.45,0.513,0.429,0.61,0.883,0.632
807,Bismack Biyombo,2014-15,22,CHO,NBA,4,64,21,1243,101,186,101,186,0,0,102,175,159,248,407,16,18,99,52,140,304,0.543,0.543,,0.543,0.583,0.578
808,José Calderón,2015-16,34,NYK,NBA,4,72,72,2024,209,455,125,252,84,203,42,48,22,207,229,298,63,7,87,135,544,0.459,0.496,0.414,0.552,0.875,0.571
809,Kentavious Caldwell-Pope,2018-19,25,LAL,NBA,4,82,23,2035,325,756,174,321,151,435,137,158,48,190,238,110,73,13,65,137,938,0.43,0.542,0.347,0.53,0.867,0.568
810,Vince Carter,2016-17,40,MEM,NBA,4,73,15,1799,193,490,81,194,112,296,88,115,36,191,227,133,60,36,50,163,586,0.394,0.418,0.378,0.508,0.765,0.542
811,Robert Covington,2014-15,24,PHI,NBA,4,70,49,1956,299,756,132,310,167,446,178,217,65,251,316,105,97,31,128,189,943,0.396,0.426,0.374,0.506,0.82,0.554
812,Dewayne Dedmon,2018-19,29,ATL,NBA,4,64,52,1609,259,526,176,309,83,217,92,113,105,375,480,90,69,71,84,214,693,0.492,0.57,0.382,0.571,0.814,0.602
813,DeMar DeRozan,2014-15,25,TOR,NBA,4,60,60,2100,409,990,384,902,25,88,361,434,41,236,277,210,73,11,137,122,1204,0.413,0.426,0.284,0.426,0.832,0.51
814,Marc Gasol,2017-18,33,MEM,NBA,4,73,73,2408,434,1033,325,713,109,320,281,337,78,514,592,305,54,101,194,185,1258,0.42,0.456,0.341,0.473,0.834,0.532
815,Rudy Gay,2012-13,26,TOT,NBA,4,75,74,2687,521,1253,437,993,84,260,240,295,99,362,461,202,113,53,198,182,1366,0.416,0.44,0.323,0.449,0.814,0.494
816,Taj Gibson,2016-17,31,TOT,NBA,4,78,71,1989,365,709,362,696,3,13,113,158,158,327,485,73,41,65,105,163,846,0.515,0.52,0.231,0.517,0.715,0.543
817,Gary Harris,2015-16,21,DEN,NBA,4,76,76,2439,359,765,254,468,105,297,109,133,54,166,220,147,97,18,98,143,932,0.469,0.543,0.354,0.538,0.82,0.566
818,Joe Harris,2017-18,26,BRK,NBA,4,78,14,1975,305,621,155,263,150,358,86,104,51,209,260,128,35,20,91,153,846,0.491,0.589,0.419,0.612,0.827,0.634
819,Nenê Hilário,2012-13,30,WAS,NBA,4,61,49,1659,285,594,285,593,0,1,196,269,101,306,407,177,55,37,139,171,766,0.48,0.481,0,0.48,0.729,0.538
820,Ersan İlyasova,2014-15,27,MIL,NBA,4,58,36,1319,263,557,189,367,74,190,69,107,80,197,277,56,36,19,45,149,669,0.472,0.515,0.389,0.539,0.645,0.554
821,Ersan İlyasova,2017-18,30,TOT,NBA,4,69,43,1729,277,613,186,360,91,253,105,135,118,287,405,90,61,26,72,157,750,0.452,0.517,0.36,0.526,0.778,0.558
822,Jonathan Isaac,2018-19,21,ORL,NBA,4,75,64,1996,262,611,176,345,86,266,110,135,99,312,411,80,59,98,75,143,720,0.429,0.51,0.323,0.499,0.815,0.537
823,C.J. Miles,2016-17,29,IND,NBA,4,76,29,1776,281,647,112,238,169,409,84,93,30,199,229,48,46,25,40,151,815,0.434,0.471,0.413,0.565,0.903,0.592
824,Nikola Mirotić,2017-18,26,TOT,NBA,4,55,14,1494,306,684,171,326,135,358,112,137,59,346,405,80,44,39,62,108,859,0.447,0.525,0.377,0.546,0.818,0.577
825,Marcus Morris,2014-15,25,PHO,NBA,4,81,35,2045,331,763,219,450,112,313,71,113,73,312,385,133,63,16,73,188,845,0.434,0.487,0.358,0.507,0.628,0.52
826,Nerlens Noel,2014-15,20,PHI,NBA,4,75,71,2311,302,653,302,653,0,0,140,230,185,426,611,128,133,142,146,208,744,0.462,0.462,,0.462,0.609,0.493
827,Nerlens Noel,2016-17,22,TOT,NBA,4,51,19,1047,184,309,184,308,0,1,77,111,93,201,294,50,65,50,51,126,445,0.595,0.597,0,0.595,0.694,0.622
828,Steve Novak,2012-13,29,NYK,NBA,4,81,1,1641,178,430,29,79,149,351,30,33,17,135,152,35,28,8,12,97,535,0.414,0.367,0.425,0.587,0.909,0.602
829,Victor Oladipo,2016-17,24,OKC,NBA,4,67,67,2222,412,932,285,580,127,352,116,154,39,252,291,176,78,21,119,155,1067,0.442,0.491,0.361,0.51,0.753,0.534
830,Jabari Parker,2016-17,21,MIL,NBA,4,51,50,1728,399,814,334,636,65,178,162,218,79,235,314,142,50,22,93,111,1025,0.49,0.525,0.365,0.53,0.743,0.563
831,Miles Plumlee,2013-14,25,PHO,NBA,4,80,79,1964,286,553,286,553,0,0,74,132,198,428,626,43,50,90,111,185,646,0.517,0.517,,0.517,0.561,0.529
832,Greg Smith,2012-13,22,HOU,NBA,4,70,10,1110,170,274,170,273,0,1,81,130,111,210,321,25,18,40,41,175,421,0.62,0.623,0,0.62,0.623,0.636
833,Marreese Speights,2014-15,27,GSW,NBA,4,76,9,1207,318,646,313,628,5,18,150,178,109,216,325,72,20,34,82,189,791,0.492,0.498,0.278,0.496,0.843,0.546
834,Tiago Splitter,2014-15,30,SAS,NBA,4,52,35,1030,169,303,169,303,0,0,90,120,91,161,252,78,35,37,60,103,428,0.558,0.558,,0.558,0.75,0.601
835,Rodney Stuckey,2014-15,28,IND,NBA,4,71,36,1874,332,754,277,613,55,141,177,216,36,212,248,219,56,10,118,131,896,0.44,0.452,0.39,0.477,0.819,0.528
836,Jared Sullinger,2014-15,22,BOS,NBA,4,58,49,1566,311,708,259,524,52,184,96,129,147,294,441,134,44,42,78,153,770,0.439,0.494,0.283,0.476,0.744,0.503
837,Jason Terry,2012-13,35,BOS,NBA,4,79,24,2124,281,648,158,317,123,331,114,131,19,140,159,198,66,11,102,110,799,0.434,0.498,0.372,0.529,0.87,0.566
838,Evan Turner,2015-16,27,BOS,NBA,4,81,12,2271,343,753,323,670,20,83,148,179,50,347,397,359,80,28,169,139,854,0.456,0.482,0.241,0.469,0.827,0.513
839,Nikola Vučević,2016-17,26,ORL,NBA,4,75,55,2163,483,1031,460,956,23,75,107,160,176,603,779,208,76,74,117,180,1096,0.468,0.481,0.307,0.48,0.669,0.498
840,C.J. Watson,2014-15,30,IND,NBA,4,57,21,1422,181,417,111,242,70,175,138,167,18,145,163,208,57,9,100,107,570,0.434,0.459,0.4,0.518,0.826,0.581
841,Ryan Anderson,2015-16,27,NOP,NBA,3.9,66,7,2008,397,929,266,571,131,358,199,228,131,265,396,73,38,25,90,109,1124,0.427,0.466,0.366,0.498,0.873,0.546
842,Aron Baynes,2014-15,28,SAS,NBA,3.9,70,17,1122,185,327,184,323,1,4,90,104,109,209,318,35,16,22,65,162,461,0.566,0.57,0.25,0.567,0.865,0.618
843,Corey Brewer,2012-13,26,DEN,NBA,3.9,82,2,2003,375,883,284,576,91,307,149,216,55,180,235,124,118,23,102,154,990,0.425,0.493,0.296,0.476,0.69,0.506
844,Willie Cauley-Stein,2017-18,24,SAC,NBA,3.9,73,58,2044,388,773,385,761,3,12,153,247,131,379,510,172,77,67,109,185,932,0.502,0.506,0.25,0.504,0.619,0.529
845,Darren Collison,2016-17,29,SAC,NBA,3.9,68,64,2063,340,714,267,539,73,175,147,171,23,129,152,312,67,9,114,119,900,0.476,0.495,0.417,0.527,0.86,0.57
846,Pat Connaughton,2018-19,26,MIL,NBA,3.9,61,2,1261,163,350,97,150,66,200,29,40,61,197,258,122,33,25,33,81,421,0.466,0.647,0.33,0.56,0.725,0.573
847,Jae Crowder,2014-15,24,TOT,NBA,3.9,82,17,1647,229,545,168,337,61,208,109,141,72,221,293,94,72,25,49,137,628,0.42,0.499,0.293,0.476,0.773,0.517
848,Danilo Gallinari,2014-15,26,DEN,NBA,3.9,59,27,1426,228,568,121,267,107,301,171,191,31,187,218,83,47,20,57,94,734,0.401,0.453,0.355,0.496,0.895,0.563
849,Jeff Green,2017-18,31,CLE,NBA,3.9,78,13,1828,295,618,242,448,53,170,203,234,60,186,246,99,41,34,75,149,846,0.477,0.54,0.312,0.52,0.868,0.587
850,Jordan Hill,2015-16,28,IND,NBA,3.9,73,11,1513,278,549,278,548,0,1,89,125,156,295,451,87,36,37,92,155,645,0.506,0.507,0,0.506,0.712,0.534
851,Brandon Jennings,2013-14,24,DET,NBA,3.9,80,79,2728,423,1135,269,678,154,457,241,321,59,185,244,609,101,8,215,157,1241,0.373,0.397,0.337,0.441,0.751,0.486
852,Kosta Koufos,2017-18,28,SAC,NBA,3.9,71,13,1391,222,389,222,389,0,0,33,74,149,323,472,87,47,32,49,146,477,0.571,0.571,,0.571,0.446,0.566
853,Courtney Lee,2017-18,32,NYK,NBA,3.9,76,69,2310,343,755,230,477,113,278,114,124,30,194,224,180,80,17,84,109,913,0.454,0.482,0.406,0.529,0.919,0.564
854,Courtney Lee,2015-16,30,TOT,NBA,3.9,79,65,2334,290,639,208,422,82,217,99,118,29,176,205,136,85,28,72,134,761,0.454,0.493,0.378,0.518,0.839,0.551
855,Trey Lyles,2017-18,22,DEN,NBA,3.9,73,2,1391,270,550,187,332,83,218,101,143,55,292,347,91,30,34,61,111,724,0.491,0.563,0.381,0.566,0.706,0.591
856,Mike Miller,2013-14,33,MEM,NBA,3.9,82,4,1707,213,443,106,210,107,233,46,56,30,177,207,130,26,5,77,95,579,0.481,0.505,0.459,0.602,0.821,0.619
857,Nikola Mirotić,2015-16,24,CHI,NBA,3.9,66,38,1646,248,609,113,263,135,346,146,181,58,304,362,100,58,46,102,151,777,0.407,0.43,0.39,0.518,0.807,0.564
858,Marcus Morris,2016-17,27,DET,NBA,3.9,79,79,2565,421,1007,303,650,118,357,145,185,77,289,366,160,52,25,87,168,1105,0.418,0.466,0.331,0.477,0.784,0.508
859,Kyle O'Quinn,2016-17,26,NYK,NBA,3.9,79,8,1229,215,413,213,396,2,17,64,83,157,282,439,117,36,104,76,174,496,0.521,0.538,0.118,0.523,0.771,0.552
