,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4501,Dante Exum,2014-15,19,UTA,NBA,-0.1,82,41,1817,145,416,62,152,83,264,20,32,27,104,131,198,41,14,118,147,393,0.349,0.408,0.314,0.448,0.625,0.457
4502,Christian Eyenga,2011-12,22,TOT,NBA,-0.1,7,0,102,6,25,5,22,1,3,4,8,4,10,14,5,3,5,3,7,17,0.24,0.227,0.333,0.26,0.5,0.298
4503,Kyrylo Fesenko,2010-11,24,UTA,NBA,-0.1,53,1,456,44,100,44,99,0,1,18,46,34,74,108,18,4,16,25,90,106,0.44,0.444,0,0.44,0.391,0.441
4504,Jeff Foote,2011-12,24,NOH,NBA,-0.1,4,0,39,2,6,2,6,0,0,0,0,1,5,6,0,0,1,2,5,4,0.333,0.333,,0.333,,0.333
4505,Melvin Frazier,2018-19,22,ORL,NBA,-0.1,10,0,44,7,21,7,15,0,6,1,4,3,2,5,1,1,0,1,6,15,0.333,0.467,0,0.333,0.25,0.33
4506,Tim Frazier,2014-15,24,TOT,NBA,-0.1,11,3,239,21,61,16,44,5,17,10,21,6,22,28,60,8,0,25,26,57,0.344,0.364,0.294,0.385,0.476,0.406
4507,Sundiata Gaines,2010-11,24,TOT,NBA,-0.1,24,0,301,42,105,33,67,9,38,18,36,13,25,38,42,16,1,27,25,111,0.4,0.493,0.237,0.443,0.5,0.459
4508,Michael Gbinije,2016-17,24,DET,NBA,-0.1,9,0,32,1,10,1,6,0,4,2,2,2,1,3,2,0,0,0,2,4,0.1,0.167,0,0.1,1,0.184
4509,Alonzo Gee,2016-17,29,DEN,NBA,-0.1,13,0,89,3,14,3,11,0,3,5,9,4,11,15,6,5,1,4,14,11,0.214,0.273,0,0.214,0.556,0.306
4510,Jonathan Gibson,2016-17,29,DAL,NBA,-0.1,17,0,231,35,95,20,50,15,45,21,29,1,21,22,26,8,0,21,21,106,0.368,0.4,0.333,0.447,0.724,0.492
4511,Drew Gooden,2012-13,31,MIL,NBA,-0.1,16,0,151,20,61,19,56,1,5,11,16,13,18,31,6,5,6,9,21,52,0.328,0.339,0.2,0.336,0.688,0.382
4512,Drew Gordon,2014-15,24,PHI,NBA,-0.1,9,0,71,8,19,8,16,0,3,1,2,7,11,18,2,1,0,8,7,17,0.421,0.5,0,0.421,0.5,0.428
4513,Danny Granger,2012-13,29,IND,NBA,-0.1,5,0,74,10,35,8,25,2,10,5,8,3,6,9,3,2,1,4,6,27,0.286,0.32,0.2,0.314,0.625,0.35
4514,Willie Green,2014-15,33,ORL,NBA,-0.1,52,2,951,118,306,76,185,42,121,28,34,14,65,79,68,26,5,48,81,306,0.386,0.411,0.347,0.454,0.824,0.477
4515,Daniel Hamilton,2018-19,23,ATL,NBA,-0.1,19,3,204,23,60,15,37,8,23,3,6,10,37,47,22,6,1,16,19,57,0.383,0.405,0.348,0.45,0.5,0.455
4516,Dusty Hannahs,2018-19,25,MEM,NBA,-0.1,2,0,26,3,12,3,7,0,5,2,2,0,1,1,5,1,0,1,1,8,0.25,0.429,0,0.25,1,0.311
4517,Justin Harper,2016-17,27,PHI,NBA,-0.1,3,0,31,5,12,3,5,2,7,0,0,2,3,5,2,0,0,4,2,12,0.417,0.6,0.286,0.5,,0.5
4518,Mike Harris,2009-10,26,TOT,NBA,-0.1,13,0,96,11,30,11,29,0,1,7,11,10,14,24,3,5,1,9,14,29,0.367,0.379,0,0.367,0.636,0.416
4519,Aaron Harrison,2016-17,22,CHO,NBA,-0.1,5,0,17,0,4,0,2,0,2,1,2,0,3,3,3,0,0,0,2,1,0,0,0,0,0.5,0.102
4520,Aaron Harrison,2017-18,23,DAL,NBA,-0.1,9,3,233,19,69,10,26,9,43,13,17,4,20,24,11,9,2,3,27,60,0.275,0.385,0.209,0.341,0.765,0.392
4521,Andrew Harrison,2018-19,24,TOT,NBA,-0.1,17,0,187,16,53,11,28,5,25,17,18,6,14,20,24,4,2,12,34,54,0.302,0.393,0.2,0.349,0.944,0.443
4522,Udonis Haslem,2018-19,38,MIA,NBA,-0.1,10,1,74,11,33,11,21,0,12,3,4,3,24,27,2,0,0,3,9,25,0.333,0.524,0,0.333,0.75,0.36
4523,Udonis Haslem,2017-18,37,MIA,NBA,-0.1,14,0,72,3,15,2,7,1,8,1,2,3,7,10,5,0,2,2,3,8,0.2,0.286,0.125,0.233,0.5,0.252
4524,Trenton Hassell,2009-10,30,NJN,NBA,-0.1,52,31,1106,90,219,90,214,0,5,52,69,56,96,152,50,17,9,47,91,232,0.411,0.421,0,0.411,0.754,0.465
4525,Nigel Hayes,2017-18,23,TOT,NBA,-0.1,9,0,122,11,33,7,17,4,16,1,3,4,18,22,6,2,3,2,8,27,0.333,0.412,0.25,0.394,0.333,0.393
4526,Lazar Hayward,2011-12,25,OKC,NBA,-0.1,26,0,141,13,38,9,24,4,14,7,12,2,14,16,4,3,1,9,18,37,0.342,0.375,0.286,0.395,0.583,0.427
4527,Xavier Henry,2014-15,23,LAL,NBA,-0.1,9,0,86,3,13,3,13,0,0,14,24,2,2,4,3,3,0,3,6,20,0.231,0.231,,0.231,0.583,0.424
4528,Mario Hezonja,2018-19,23,NYK,NBA,-0.1,58,24,1206,191,464,149,312,42,152,87,114,28,211,239,88,57,8,88,110,511,0.412,0.478,0.276,0.457,0.763,0.497
4529,Grant Hill,2012-13,40,LAC,NBA,-0.1,29,0,437,38,98,35,87,3,11,14,24,6,43,49,26,11,7,25,39,93,0.388,0.402,0.273,0.403,0.583,0.428
4530,Solomon Hill,2017-18,26,NOP,NBA,-0.1,12,1,187,11,41,7,20,4,21,3,6,9,27,36,22,7,1,9,22,29,0.268,0.35,0.19,0.317,0.5,0.332
