,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1401,John Wall,2011-12,21,WAS,NBA,3.5,66,66,2386,378,894,375,852,3,42,317,402,48,252,300,530,95,57,255,137,1076,0.423,0.44,0.071,0.424,0.789,0.502
1402,David West,2017-18,37,GSW,NBA,3.5,73,0,999,216,378,213,370,3,8,60,79,64,174,238,138,47,75,80,120,495,0.571,0.576,0.375,0.575,0.759,0.6
1403,Brandan Wright,2011-12,24,DAL,NBA,3.5,49,0,791,144,233,144,232,0,1,52,82,62,112,174,13,22,63,21,61,340,0.618,0.621,0,0.618,0.634,0.632
1404,Thaddeus Young,2013-14,25,PHI,NBA,3.5,79,78,2718,582,1283,492,991,90,292,163,229,166,310,476,182,167,36,165,213,1417,0.454,0.496,0.308,0.489,0.712,0.512
1405,Joel Anthony,2011-12,29,MIA,NBA,3.4,64,51,1349,85,152,85,152,0,0,49,71,100,150,250,9,36,84,45,126,219,0.559,0.559,,0.559,0.69,0.598
1406,Trevor Ariza,2010-11,25,NOH,NBA,3.4,75,75,2600,303,762,221,491,82,271,138,197,61,347,408,162,120,31,118,180,826,0.398,0.45,0.303,0.451,0.701,0.487
1407,D.J. Augustin,2014-15,27,TOT,NBA,3.4,82,14,1964,258,647,175,401,83,246,178,205,20,141,161,353,49,3,145,93,777,0.399,0.436,0.337,0.463,0.868,0.527
1408,Marco Belinelli,2010-11,24,NOH,NBA,3.4,80,69,1957,302,691,168,367,134,324,98,125,17,134,151,92,38,6,77,146,836,0.437,0.458,0.414,0.534,0.784,0.56
1409,DeJuan Blair,2013-14,24,DAL,NBA,3.4,78,13,1214,210,393,210,391,0,2,77,121,139,229,368,70,60,21,77,192,497,0.534,0.537,0,0.534,0.636,0.557
1410,Andray Blatche,2009-10,23,WAS,NBA,3.4,81,36,2256,478,999,465,955,13,44,174,234,158,351,509,170,85,71,182,218,1143,0.478,0.487,0.295,0.485,0.744,0.519
1411,Carlos Boozer,2013-14,32,CHI,NBA,3.4,76,76,2141,447,980,447,978,0,2,148,193,137,495,632,118,53,22,154,216,1042,0.456,0.457,0,0.456,0.767,0.489
1412,Elton Brand,2012-13,33,DAL,NBA,3.4,72,18,1527,226,478,226,477,0,1,66,93,130,300,430,70,50,90,57,192,518,0.473,0.474,0,0.473,0.71,0.499
1413,Shannon Brown,2009-10,24,LAL,NBA,3.4,82,7,1700,253,592,191,403,62,189,99,121,30,153,183,108,57,31,67,129,667,0.427,0.474,0.328,0.48,0.818,0.517
1414,Chase Budinger,2010-11,22,HOU,NBA,3.4,78,22,1738,279,656,190,382,89,274,118,138,52,229,281,127,41,18,67,114,765,0.425,0.497,0.325,0.493,0.855,0.534
1415,Jamal Crawford,2010-11,30,ATL,NBA,3.4,76,0,2297,368,874,249,525,119,349,222,260,22,108,130,241,57,14,145,97,1077,0.421,0.474,0.341,0.489,0.854,0.545
1416,Dante Cunningham,2011-12,24,MEM,NBA,3.4,64,5,1124,144,279,144,277,0,2,45,69,91,155,246,37,42,34,29,98,333,0.516,0.52,0,0.516,0.652,0.538
1417,Cristiano Felício,2016-17,24,CHI,NBA,3.4,66,0,1040,128,221,128,221,0,0,60,93,124,187,311,40,25,17,33,110,316,0.579,0.579,,0.579,0.645,0.603
1418,Landry Fields,2011-12,23,NYK,NBA,3.4,66,62,1894,236,513,205,392,31,121,77,137,59,219,278,169,79,17,102,99,580,0.46,0.523,0.256,0.49,0.562,0.506
1419,Langston Galloway,2018-19,27,DET,NBA,3.4,80,4,1745,228,587,93,207,135,380,81,96,49,122,171,85,37,8,24,135,672,0.388,0.449,0.355,0.503,0.844,0.534
1420,Marcin Gortat,2009-10,25,ORL,NBA,3.4,81,0,1088,121,227,121,224,0,3,51,75,104,237,341,17,17,70,46,138,293,0.533,0.54,0,0.533,0.68,0.563
1421,Marcin Gortat,2012-13,28,PHO,NBA,3.4,61,61,1876,295,566,295,563,0,3,90,138,128,388,516,75,40,98,99,127,680,0.521,0.524,0,0.521,0.652,0.543
1422,Danny Green,2016-17,29,SAS,NBA,3.4,68,68,1807,176,449,58,138,118,311,27,32,31,193,224,124,70,57,76,120,497,0.392,0.42,0.379,0.523,0.844,0.537
1423,Tyler Hansbrough,2014-15,29,TOR,NBA,3.4,74,8,1058,86,165,85,158,1,7,97,139,106,159,265,21,30,15,20,141,270,0.521,0.538,0.143,0.524,0.698,0.597
1424,Maurice Harkless,2018-19,25,POR,NBA,3.4,60,53,1415,189,388,156,268,33,120,49,73,77,192,269,74,67,53,45,163,460,0.487,0.582,0.275,0.53,0.671,0.547
1425,Josh Hart,2017-18,22,LAL,NBA,3.4,63,23,1461,176,375,98,178,78,197,66,94,42,221,263,80,47,16,47,107,496,0.469,0.551,0.396,0.573,0.702,0.596
1426,Willy Hernangómez,2016-17,22,NYK,NBA,3.4,72,22,1324,246,465,242,450,4,15,91,125,170,332,502,96,41,36,100,150,587,0.529,0.538,0.267,0.533,0.728,0.564
1427,Jrue Holiday,2014-15,24,NOP,NBA,3.4,40,37,1303,238,534,187,399,51,135,65,76,32,103,135,274,63,23,91,110,592,0.446,0.469,0.378,0.493,0.855,0.522
1428,Jrue Holiday,2015-16,25,NOP,NBA,3.4,65,23,1831,410,935,323,676,87,259,182,216,27,168,195,391,88,22,167,148,1089,0.439,0.478,0.336,0.485,0.843,0.529
1429,Jonas Jerebko,2017-18,30,UTA,NBA,3.4,74,19,1134,159,341,94,184,65,157,46,57,53,193,246,42,24,12,27,127,429,0.466,0.511,0.414,0.562,0.807,0.586
1430,Cory Joseph,2016-17,25,TOR,NBA,3.4,80,22,2003,299,661,251,526,48,135,94,122,51,184,235,265,66,13,108,140,740,0.452,0.477,0.356,0.489,0.77,0.518
1431,Kyle Korver,2017-18,36,CLE,NBA,3.4,73,4,1574,222,484,58,108,164,376,64,72,9,156,165,88,31,27,55,130,672,0.459,0.537,0.436,0.628,0.889,0.652
1432,Alex Len,2014-15,21,PHO,NBA,3.4,69,44,1518,179,353,178,350,1,3,73,104,142,312,454,32,34,105,74,213,432,0.507,0.509,0.333,0.508,0.702,0.542
1433,Corey Maggette,2010-11,31,MIL,NBA,3.4,67,18,1401,253,559,225,481,28,78,271,325,44,197,241,84,21,5,127,175,805,0.453,0.468,0.359,0.478,0.834,0.573
1434,Ian Mahinmi,2011-12,25,DAL,NBA,3.4,61,12,1139,130,238,130,237,0,1,94,147,108,181,289,12,38,31,50,176,354,0.546,0.549,0,0.546,0.639,0.585
1435,Boban Marjanovi_,2015-16,27,SAS,NBA,3.4,54,4,508,105,174,105,174,0,0,87,114,73,121,194,21,12,23,29,54,297,0.603,0.603,,0.603,0.763,0.662
