,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1001,Rudy Gay,2018-19,32,SAS,NBA,4.4,69,51,1842,376,746,302,562,74,184,120,147,63,407,470,182,54,34,114,159,946,0.504,0.537,0.402,0.554,0.816,0.583
1002,Drew Gooden,2009-10,28,TOT,NBA,4.4,70,33,1755,288,602,287,594,1,8,186,216,207,335,542,47,41,58,108,194,763,0.478,0.483,0.125,0.479,0.861,0.547
1003,Tyler Hansbrough,2012-13,27,IND,NBA,4.4,81,8,1366,176,407,176,404,0,3,216,300,161,212,373,36,29,18,78,152,568,0.432,0.436,0,0.432,0.72,0.527
1004,Grant Hill,2010-11,38,PHO,NBA,4.4,80,80,2409,399,825,354,711,45,114,213,257,77,261,338,200,64,35,134,184,1056,0.484,0.498,0.395,0.511,0.829,0.563
1005,Jordan Hill,2013-14,26,LAL,NBA,4.4,72,32,1500,286,521,286,520,0,1,124,181,194,341,535,54,29,64,75,172,696,0.549,0.55,0,0.549,0.685,0.579
1006,Andre Iguodala,2015-16,32,GSW,NBA,4.4,65,1,1732,176,368,122,214,54,154,51,83,52,211,263,219,73,19,79,102,457,0.478,0.57,0.351,0.552,0.614,0.565
1007,Ersan _lyasova,2015-16,28,TOT,NBA,4.4,74,56,1881,280,661,184,402,96,259,111,154,144,259,403,67,52,33,71,171,767,0.424,0.458,0.371,0.496,0.721,0.526
1008,Jonas Jerebko,2009-10,22,DET,NBA,4.4,80,73,2232,290,603,254,488,36,115,125,176,194,284,478,58,79,29,82,230,741,0.481,0.52,0.313,0.511,0.71,0.545
1009,Jeremy Lin,2013-14,25,HOU,NBA,4.4,71,33,2054,295,662,213,433,82,229,218,265,34,153,187,294,68,27,176,166,890,0.446,0.492,0.358,0.508,0.823,0.572
1010,Shaun Livingston,2013-14,28,BRK,NBA,4.4,76,54,1974,235,487,234,481,1,6,158,191,67,179,246,245,93,31,105,172,629,0.483,0.486,0.167,0.484,0.827,0.551
1011,E'Twaun Moore,2017-18,28,NOP,NBA,4.4,82,80,2586,423,832,295,531,128,301,48,68,57,181,238,187,79,12,102,182,1022,0.508,0.556,0.425,0.585,0.706,0.593
1012,Elfrid Payton,2016-17,22,ORL,NBA,4.4,82,58,2412,430,912,390,766,40,146,146,211,89,298,387,529,88,40,178,177,1046,0.471,0.509,0.274,0.493,0.692,0.52
1013,Kristaps Porzi__is,2015-16,20,NYK,NBA,4.4,72,72,2047,373,886,292,643,81,243,201,240,132,394,526,94,53,134,121,205,1028,0.421,0.454,0.333,0.467,0.838,0.518
1014,Luis Scola,2014-15,34,IND,NBA,4.4,81,16,1659,300,642,295,622,5,20,158,226,138,388,526,105,47,18,94,192,763,0.467,0.474,0.25,0.471,0.699,0.515
1015,Luis Scola,2012-13,32,PHO,NBA,4.4,82,67,2184,432,915,429,899,3,16,181,230,158,383,541,182,67,35,126,257,1048,0.472,0.477,0.188,0.474,0.787,0.516
1016,Ramon Sessions,2010-11,24,CLE,NBA,4.4,81,38,2133,362,776,359,761,3,15,348,423,46,209,255,419,60,8,178,93,1075,0.466,0.472,0.2,0.468,0.823,0.559
1017,Kyle Singler,2013-14,25,DET,NBA,4.4,82,36,2337,269,602,175,356,94,246,152,184,116,187,303,75,61,38,79,211,784,0.447,0.492,0.382,0.525,0.826,0.574
1018,Ish Smith,2017-18,29,DET,NBA,4.4,82,35,2043,389,801,354,700,35,101,81,116,27,197,224,360,64,20,108,140,894,0.486,0.506,0.347,0.507,0.698,0.525
1019,Nikola Vu_evi_,2013-14,23,ORL,NBA,4.4,57,57,1812,353,696,353,696,0,0,105,137,185,441,626,104,60,47,112,169,811,0.507,0.507,,0.507,0.766,0.536
1020,Martell Webster,2009-10,23,POR,NBA,4.4,82,49,2005,259,639,135,307,124,332,126,155,47,221,268,62,45,40,60,153,768,0.405,0.44,0.373,0.502,0.813,0.543
1021,Metta World Peace,2010-11,31,LAL,NBA,4.4,82,82,2410,261,658,178,425,83,233,92,136,100,167,267,175,124,36,90,181,697,0.397,0.419,0.356,0.46,0.676,0.485
1022,Arron Afflalo,2009-10,24,DEN,NBA,4.3,82,75,2221,272,585,164,336,108,249,72,98,59,193,252,138,46,30,74,225,724,0.465,0.488,0.434,0.557,0.735,0.576
1023,Matt Barnes,2011-12,31,LAL,NBA,4.3,63,16,1440,175,387,129,249,46,138,95,128,97,247,344,126,35,48,73,152,491,0.452,0.518,0.333,0.512,0.742,0.554
1024,Matt Barnes,2014-15,34,LAC,NBA,4.3,76,74,2271,277,624,141,248,136,376,74,95,51,251,302,114,67,50,87,240,764,0.444,0.569,0.362,0.553,0.779,0.574
1025,Will Barton,2015-16,25,DEN,NBA,4.3,82,1,2353,425,983,313,658,112,325,216,268,59,417,476,203,71,39,139,147,1178,0.432,0.476,0.345,0.489,0.806,0.535
