,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3101,Shaquille Harrison,2017-18,24,PHO,NBA,0.8,23,2,384,59,124,53,98,6,26,28,38,9,52,61,55,26,7,22,42,152,0.476,0.541,0.231,0.5,0.737,0.54
3102,Jarvis Hayes,2009-10,28,NJN,NBA,0.8,45,19,1033,138,328,78,149,60,179,14,18,9,99,108,40,29,9,28,91,350,0.421,0.523,0.335,0.512,0.778,0.521
3103,J.J. Hickson,2015-16,27,TOT,NBA,0.8,35,9,436,80,155,80,154,0,1,46,103,39,93,132,23,15,14,25,47,206,0.516,0.519,0,0.516,0.447,0.514
3104,Robbie Hummel,2014-15,25,MIN,NBA,0.8,45,4,742,79,172,63,121,16,51,24,29,31,103,134,27,16,9,18,86,198,0.459,0.521,0.314,0.506,0.828,0.536
3105,Cory Jefferson,2014-15,24,BRK,NBA,0.8,50,1,531,75,167,73,152,2,15,31,54,47,98,145,16,10,21,20,61,183,0.449,0.48,0.133,0.455,0.574,0.48
3106,Chris Johnson,2014-15,24,TOT,NBA,0.8,29,2,526,62,154,34,59,28,95,14,16,8,47,55,15,26,7,15,44,166,0.403,0.576,0.295,0.494,0.875,0.515
3107,James Johnson,2009-10,22,CHI,NBA,0.8,65,11,757,95,210,80,164,15,46,51,70,34,94,128,48,21,43,62,126,256,0.452,0.488,0.326,0.488,0.729,0.532
3108,Tyler Johnson,2014-15,22,MIA,NBA,0.8,32,2,603,70,167,52,119,18,48,32,47,14,67,81,42,33,9,30,42,190,0.419,0.437,0.375,0.473,0.681,0.506
3109,James Jones,2016-17,36,CLE,NBA,0.8,48,2,381,44,92,13,26,31,66,13,20,3,34,37,14,6,10,10,37,132,0.478,0.5,0.47,0.647,0.65,0.655
3110,Solomon Jones,2009-10,25,IND,NBA,0.8,52,2,675,78,176,78,173,0,3,51,71,51,93,144,32,14,37,40,125,207,0.443,0.451,0,0.443,0.718,0.499
3111,Chris Kaman,2010-11,28,LAC,NBA,0.8,32,15,838,177,376,177,376,0,0,43,57,51,174,225,46,16,48,58,75,397,0.471,0.471,,0.471,0.754,0.495
3112,T.J. Leaf,2017-18,20,IND,NBA,0.8,53,0,459,64,136,46,94,18,42,10,16,29,53,82,9,5,4,10,45,156,0.471,0.489,0.429,0.537,0.625,0.545
3113,Timothé Luwawu-Cabarrot,2016-17,21,PHI,NBA,0.8,69,19,1190,145,361,95,200,50,161,105,123,25,124,149,75,32,10,73,154,445,0.402,0.475,0.311,0.471,0.854,0.536
3114,Timothé Luwawu-Cabarrot,2017-18,22,PHI,NBA,0.8,52,7,807,100,267,47,109,53,158,46,58,14,58,72,54,12,5,38,97,299,0.375,0.431,0.335,0.474,0.793,0.511
