,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1101,Aron Baynes,2015-16,29,DET,NBA,4.1,81,1,1233,194,384,194,382,0,2,126,165,140,244,384,51,21,52,67,151,514,0.505,0.508,0,0.505,0.764,0.563
1102,Kent Bazemore,2015-16,26,ATL,NBA,4.1,75,68,2083,320,725,211,420,109,305,123,151,28,351,379,171,98,38,138,176,872,0.441,0.502,0.357,0.517,0.815,0.551
1103,Eric Bledsoe,2013-14,24,PHO,NBA,4.1,43,40,1416,265,556,215,416,50,140,183,237,27,175,202,235,69,14,143,99,763,0.477,0.517,0.357,0.522,0.772,0.578
1104,Malcolm Brogdon,2016-17,24,MIL,NBA,4.1,75,28,1982,290,635,212,442,78,193,109,126,47,166,213,317,84,12,113,140,767,0.457,0.48,0.404,0.518,0.865,0.555
1105,DeMarre Carroll,2017-18,31,BRK,NBA,4.1,73,73,2180,325,785,180,394,145,391,188,246,105,374,479,147,59,30,103,165,983,0.414,0.457,0.371,0.506,0.764,0.55
1106,Tyson Chandler,2016-17,34,PHO,NBA,4.1,47,46,1298,153,228,153,228,0,0,91,124,153,386,539,30,33,24,65,126,397,0.671,0.671,,0.671,0.734,0.703
1107,Samuel Dalembert,2011-12,30,HOU,NBA,4.1,65,45,1446,200,395,200,394,0,1,90,113,158,298,456,33,37,111,82,162,490,0.506,0.508,0,0.506,0.796,0.551
1108,Jared Dudley,2014-15,29,MIL,NBA,4.1,72,22,1717,198,423,124,231,74,192,48,67,45,175,220,130,72,11,62,113,518,0.468,0.537,0.385,0.556,0.716,0.572
1109,Mike Dunleavy,2014-15,34,CHI,NBA,4.1,63,63,1838,209,481,102,218,107,263,70,87,28,220,248,114,39,21,60,123,595,0.435,0.468,0.407,0.546,0.805,0.573
1110,Montrezl Harrell,2016-17,23,HOU,NBA,4.1,58,14,1064,225,345,224,338,1,7,76,121,81,138,219,64,20,42,44,126,527,0.652,0.663,0.143,0.654,0.628,0.662
1111,Tobias Harris,2013-14,21,ORL,NBA,4.1,61,36,1850,332,716,300,590,32,126,197,244,88,336,424,82,41,24,78,143,893,0.464,0.508,0.254,0.486,0.807,0.542
1112,Roy Hibbert,2009-10,23,IND,NBA,4.1,81,69,2035,387,782,384,776,3,6,169,224,177,287,464,158,30,131,145,285,946,0.495,0.495,0.5,0.497,0.754,0.537
1113,Nenê Hilário,2016-17,34,HOU,NBA,4.1,67,8,1198,245,397,242,388,3,9,116,197,95,187,282,65,56,39,73,163,609,0.617,0.624,0.333,0.621,0.589,0.63
1114,Rondae Hollis-Jefferson,2017-18,23,BRK,NBA,4.1,68,59,1920,342,724,329,670,13,54,249,316,101,358,459,167,65,48,121,145,946,0.472,0.491,0.241,0.481,0.788,0.548
1115,Kris Humphries,2013-14,28,BOS,NBA,4.1,69,30,1376,231,461,231,459,0,2,117,144,127,282,409,67,31,61,64,136,579,0.501,0.503,0,0.501,0.813,0.552
1116,Ersan _lyasova,2016-17,29,TOT,NBA,4.1,82,52,2142,384,890,242,488,142,402,161,207,115,366,481,141,58,23,116,211,1071,0.431,0.496,0.353,0.511,0.778,0.546
1117,Kyrie Irving,2011-12,19,CLE,NBA,4.1,51,51,1558,350,747,277,564,73,183,171,196,44,147,191,275,54,20,160,110,944,0.469,0.491,0.399,0.517,0.872,0.566
1118,Amir Johnson,2017-18,30,PHI,NBA,4.1,74,18,1171,140,260,130,228,10,32,52,85,123,207,330,118,45,44,55,192,342,0.538,0.57,0.313,0.558,0.612,0.575
