,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3901,Aaron Brooks,2017-18,33,MIN,NBA,0.1,32,1,189,28,69,17,38,11,31,8,11,7,10,17,20,6,0,11,28,75,0.406,0.447,0.355,0.486,0.727,0.508
3902,MarShon Brooks,2018-19,30,MEM,NBA,0.1,29,0,387,76,169,61,115,15,54,23,33,12,33,45,25,9,4,21,33,190,0.45,0.53,0.278,0.494,0.697,0.518
3903,Bobby Brown,2016-17,32,HOU,NBA,0.1,25,0,123,23,60,9,25,14,35,2,2,0,6,6,14,1,0,5,5,62,0.383,0.36,0.4,0.5,1,0.509
3904,Kwame Brown,2011-12,29,GSW,NBA,0.1,9,3,187,21,40,21,40,0,0,15,34,16,41,57,4,8,0,14,21,57,0.525,0.525,,0.525,0.441,0.519
3905,Thomas Bryant,2017-18,20,LAL,NBA,0.1,15,0,72,8,21,7,11,1,10,5,9,3,14,17,6,1,2,2,6,22,0.381,0.636,0.1,0.405,0.556,0.441
3906,Reggie Bullock,2014-15,23,TOT,NBA,0.1,36,2,338,24,70,9,24,15,46,6,9,1,49,50,8,10,4,8,19,69,0.343,0.375,0.326,0.45,0.667,0.466
3907,Deonte Burton,2018-19,25,OKC,NBA,0.1,32,0,240,33,82,25,55,8,27,8,12,4,24,28,9,6,8,9,31,82,0.402,0.455,0.296,0.451,0.667,0.47
3908,Dwight Buycks,2014-15,25,LAL,NBA,0.1,6,0,123,18,40,11,29,7,11,9,10,2,10,12,14,3,0,12,3,52,0.45,0.379,0.636,0.538,0.9,0.586
3909,Derrick Byars,2011-12,27,SAS,NBA,0.1,2,0,37,3,11,3,5,0,6,4,4,6,5,11,1,2,0,0,2,10,0.273,0.6,0,0.273,1,0.392
3910,Bruno Caboclo,2016-17,21,TOR,NBA,0.1,9,0,40,6,16,4,10,2,6,0,0,5,5,10,4,2,1,2,4,14,0.375,0.4,0.333,0.438,,0.438
3911,Isaiah Canaan,2018-19,27,TOT,NBA,0.1,30,16,629,64,164,30,68,34,96,19,24,6,52,58,84,14,2,35,52,181,0.39,0.441,0.354,0.494,0.792,0.518
3912,DeMarre Carroll,2010-11,24,TOT,NBA,0.1,12,0,50,4,12,4,12,0,0,2,2,2,6,8,4,1,1,0,5,10,0.333,0.333,,0.333,1,0.388
3913,Troy Caupain,2018-19,23,ORL,NBA,0.1,4,0,16,4,8,2,5,2,3,0,0,1,2,3,4,1,0,0,0,10,0.5,0.4,0.667,0.625,,0.625
3914,Josh Childress,2012-13,29,BRK,NBA,0.1,14,0,100,6,21,5,18,1,3,1,2,6,9,15,5,2,2,0,3,14,0.286,0.278,0.333,0.31,0.5,0.32
3915,Semaj Christon,2016-17,24,OKC,NBA,0.1,64,1,973,77,223,65,160,12,63,17,31,19,68,87,130,28,7,43,79,183,0.345,0.406,0.19,0.372,0.548,0.387
3916,Gian Clavell,2017-18,24,DAL,NBA,0.1,7,0,64,6,18,0,3,6,15,2,2,1,6,7,3,2,0,2,8,20,0.333,0,0.4,0.5,1,0.53
3917,Victor Claver,2014-15,26,POR,NBA,0.1,10,0,76,9,20,3,9,6,11,0,0,3,17,20,1,1,1,4,12,24,0.45,0.333,0.545,0.6,,0.6
3918,Jarron Collins,2009-10,31,PHO,NBA,0.1,34,10,261,12,31,12,31,0,0,10,25,22,40,62,6,2,3,10,42,34,0.387,0.387,,0.387,0.4,0.405
3919,Jason Collins,2013-14,35,BRK,NBA,0.1,22,1,172,11,24,11,21,0,3,3,4,7,12,19,4,8,1,7,30,25,0.458,0.524,0,0.458,0.75,0.485
3920,Nick Collison,2017-18,37,OKC,NBA,0.1,15,0,75,13,19,13,19,0,0,5,13,7,13,20,4,0,0,7,7,31,0.684,0.684,,0.684,0.385,0.627
3921,Daequan Cook,2009-10,22,MIA,NBA,0.1,45,3,691,81,253,41,127,40,126,21,25,9,73,82,43,14,10,24,50,223,0.32,0.323,0.317,0.399,0.84,0.422
3922,Matt Costello,2017-18,24,SAS,NBA,0.1,4,0,32,2,4,2,4,0,0,0,0,1,8,9,2,2,2,1,7,4,0.5,0.5,,0.5,,0.5
