,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
601,John Henson,2017-18,27,MIL,NBA,4.9,76,69,1970,287,502,286,495,1,7,90,158,150,363,513,114,45,109,84,202,665,0.572,0.578,0.143,0.573,0.57,0.582
602,Reggie Jackson,2014-15,24,TOT,NBA,4.9,77,40,2268,432,996,360,755,72,241,181,218,56,271,327,462,62,9,186,167,1117,0.434,0.477,0.299,0.47,0.83,0.511
603,Reggie Jackson,2013-14,23,OKC,NBA,4.9,80,36,2277,403,916,320,671,83,245,158,177,43,270,313,331,85,9,168,142,1047,0.44,0.477,0.339,0.485,0.893,0.527
604,Joe Johnson,2013-14,32,BRK,NBA,4.9,79,79,2575,462,1018,300,614,162,404,159,195,48,222,270,216,47,10,120,129,1245,0.454,0.489,0.401,0.533,0.815,0.564
605,Jeremy Lamb,2017-18,25,CHO,NBA,4.9,80,18,1967,380,832,286,578,94,254,179,208,49,275,324,186,61,32,93,138,1033,0.457,0.495,0.37,0.513,0.861,0.559
606,Brook Lopez,2016-17,28,BRK,NBA,4.9,75,75,2222,555,1172,421,785,134,387,295,364,121,282,403,176,38,124,184,192,1539,0.474,0.536,0.346,0.531,0.81,0.578
607,JaVale McGee,2012-13,25,DEN,NBA,4.9,79,0,1433,303,527,302,526,1,1,110,186,158,223,381,24,30,157,90,184,717,0.575,0.574,1,0.576,0.591,0.589
608,Larry Nance,2018-19,26,CLE,NBA,4.9,67,30,1795,249,479,216,381,33,98,96,134,168,384,552,214,100,40,97,192,627,0.52,0.567,0.337,0.554,0.716,0.583
609,Victor Oladipo,2015-16,23,ORL,NBA,4.9,72,52,2379,425,970,327,688,98,282,205,247,48,297,345,282,116,54,153,174,1153,0.438,0.475,0.348,0.489,0.83,0.534
610,Jeff Teague,2017-18,29,MIN,NBA,4.9,70,70,2311,354,794,270,566,84,228,202,239,24,185,209,492,102,23,177,171,994,0.446,0.477,0.368,0.499,0.845,0.553
611,Klay Thompson,2017-18,27,GSW,NBA,4.9,73,73,2506,575,1179,346,658,229,521,82,98,31,246,277,185,55,34,128,117,1461,0.488,0.526,0.44,0.585,0.837,0.598
612,P.J. Tucker,2014-15,29,PHO,NBA,4.9,78,63,2383,261,596,174,344,87,252,104,143,114,388,502,122,107,23,96,179,713,0.438,0.506,0.345,0.511,0.727,0.541
613,Dwyane Wade,2015-16,34,MIA,NBA,4.9,74,73,2258,540,1183,533,1139,7,44,322,406,82,220,302,344,79,42,203,116,1409,0.456,0.468,0.159,0.459,0.793,0.517
