,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1501,J.J. Barea,2010-11,26,DAL,NBA,3.2,81,2,1669,285,649,219,460,66,189,133,157,29,130,159,317,30,1,136,136,769,0.439,0.476,0.349,0.49,0.847,0.535
1502,Harrison Barnes,2013-14,21,GSW,NBA,3.2,78,24,2204,271,679,205,489,66,190,130,181,66,245,311,116,65,20,84,158,738,0.399,0.419,0.347,0.448,0.718,0.486
1503,Marco Belinelli,2016-17,30,CHO,NBA,3.2,74,0,1778,264,615,162,332,102,283,150,168,14,164,178,147,44,9,70,90,780,0.429,0.488,0.36,0.512,0.893,0.566
1504,Bismack Biyombo,2013-14,21,CHA,NBA,3.2,77,9,1072,88,144,88,144,0,0,46,89,105,261,366,8,7,86,40,124,222,0.611,0.611,,0.611,0.517,0.606
1505,Alec Burks,2013-14,22,UTA,NBA,3.2,78,12,2193,380,831,330,688,50,143,279,373,59,198,257,212,69,14,149,190,1089,0.457,0.48,0.35,0.487,0.748,0.547
1506,Allen Crabbe,2017-18,25,BRK,NBA,3.2,75,68,2197,337,827,136,295,201,532,115,135,28,296,324,117,47,35,78,168,990,0.407,0.461,0.378,0.529,0.852,0.558
1507,DeMar DeRozan,2010-11,21,TOR,NBA,3.2,82,82,2851,539,1154,534,1102,5,52,327,402,75,240,315,148,85,31,144,217,1410,0.467,0.485,0.096,0.469,0.813,0.53
1508,Wayne Ellington,2012-13,25,TOT,NBA,3.2,78,21,1661,226,529,132,289,94,240,68,75,25,141,166,104,45,3,57,81,614,0.427,0.457,0.392,0.516,0.907,0.546
1509,Evan Fournier,2018-19,26,ORL,NBA,3.2,81,81,2553,468,1069,315,619,153,450,137,170,38,220,258,295,71,12,154,225,1226,0.438,0.509,0.34,0.509,0.806,0.536
1510,Randy Foye,2011-12,28,LAC,NBA,3.2,65,48,1682,256,644,129,315,127,329,73,85,25,113,138,146,46,24,73,130,712,0.398,0.41,0.386,0.496,0.859,0.522
1511,Eric Gordon,2009-10,21,LAC,NBA,3.2,62,60,2229,352,784,233,463,119,321,222,299,25,135,160,186,69,14,144,96,1045,0.449,0.503,0.371,0.525,0.742,0.571
1512,Maurice Harkless,2017-18,24,POR,NBA,3.2,59,36,1264,147,297,98,179,49,118,42,59,46,116,162,53,48,43,40,103,385,0.495,0.547,0.415,0.577,0.712,0.596
