,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
701,Chandler Parsons,2014-15,26,DAL,NBA,5.5,66,66,2186,383,829,251,482,132,347,139,193,64,259,323,161,69,19,96,140,1037,0.462,0.521,0.38,0.542,0.72,0.567
702,Paul Pierce,2014-15,37,WAS,NBA,5.5,73,73,1914,293,656,175,353,118,303,164,210,45,249,294,144,46,24,92,160,868,0.447,0.496,0.389,0.537,0.781,0.58
703,Luis Scola,2010-11,30,HOU,NBA,5.5,74,74,2412,569,1129,569,1126,0,3,214,290,147,459,606,185,48,44,147,227,1352,0.504,0.505,0,0.504,0.738,0.538
704,J.R. Smith,2015-16,30,CLE,NBA,5.5,77,77,2362,353,850,149,340,204,510,45,71,43,174,217,130,81,21,59,204,955,0.415,0.438,0.4,0.535,0.634,0.542
705,Lance Stephenson,2012-13,22,IND,NBA,5.5,78,72,2278,275,598,213,410,62,188,75,115,47,257,304,223,81,16,109,162,687,0.46,0.52,0.33,0.512,0.652,0.53
706,Beno Udrih,2009-10,27,SAC,NBA,5.5,79,41,2477,415,841,340,642,75,199,118,141,38,181,219,372,89,10,136,166,1023,0.493,0.53,0.377,0.538,0.837,0.566
707,Dwyane Wade,2013-14,32,MIA,NBA,5.5,54,53,1775,415,761,406,729,9,32,189,258,60,181,241,252,79,29,161,106,1028,0.545,0.557,0.281,0.551,0.733,0.588
708,Thaddeus Young,2017-18,29,IND,NBA,5.5,81,81,2607,421,864,363,683,58,181,55,92,184,328,512,152,135,36,105,175,955,0.487,0.531,0.32,0.521,0.598,0.528
709,Ray Allen,2012-13,37,MIA,NBA,5.4,79,0,2035,292,651,153,319,139,332,140,158,40,177,217,135,67,15,103,129,863,0.449,0.48,0.419,0.555,0.886,0.599
710,Trevor Ariza,2015-16,30,HOU,NBA,5.4,81,81,2859,357,859,172,360,185,499,126,161,67,299,366,188,160,26,113,177,1025,0.416,0.478,0.371,0.523,0.783,0.551
711,Bojan Bogdanovi_,2017-18,28,IND,NBA,5.4,80,80,2464,404,852,249,466,155,386,178,205,30,240,270,119,55,8,106,129,1141,0.474,0.534,0.402,0.565,0.868,0.605
712,Andrew Bogut,2010-11,26,MIL,NBA,5.4,65,65,2297,367,742,367,738,0,4,96,217,199,521,720,131,47,168,125,217,830,0.495,0.497,0,0.495,0.442,0.496
713,Andrew Bogut,2015-16,31,GSW,NBA,5.4,70,66,1451,175,279,174,278,1,1,24,50,121,371,492,162,33,114,83,221,375,0.627,0.626,1,0.629,0.48,0.623
714,Ronnie Brewer,2010-11,25,CHI,NBA,5.4,81,1,1781,205,427,199,400,6,27,87,133,55,207,262,140,106,22,55,82,503,0.48,0.498,0.222,0.487,0.654,0.518
715,John Collins,2017-18,20,ATL,NBA,5.4,74,26,1785,314,545,298,498,16,47,133,186,176,365,541,98,47,80,105,215,777,0.576,0.598,0.34,0.591,0.715,0.62
716,Jamal Crawford,2012-13,32,LAC,NBA,5.4,76,0,2230,445,1016,296,620,149,396,216,248,22,106,128,193,79,13,146,71,1255,0.438,0.477,0.376,0.511,0.871,0.558
717,Ed Davis,2012-13,23,TOT,NBA,5.4,81,28,1631,260,482,260,482,0,0,103,167,152,308,460,63,38,85,63,191,623,0.539,0.539,,0.539,0.617,0.561
718,Luol Deng,2014-15,29,MIA,NBA,5.4,72,72,2421,369,787,291,567,78,220,191,251,103,273,376,139,65,22,108,109,1007,0.469,0.513,0.355,0.518,0.761,0.561
719,Tyreke Evans,2009-10,20,SAC,NBA,5.4,72,72,2677,533,1165,497,1024,36,141,348,465,66,314,380,414,109,26,216,204,1450,0.458,0.485,0.255,0.473,0.748,0.529
720,Raymond Felton,2010-11,26,TOT,NBA,5.4,75,54,2737,427,1005,311,676,116,329,194,241,48,221,269,625,125,11,221,150,1164,0.425,0.46,0.353,0.483,0.805,0.524
721,Taj Gibson,2015-16,30,CHI,NBA,5.4,73,55,1936,263,500,263,497,0,3,101,146,206,298,504,106,47,77,78,180,627,0.526,0.529,0,0.526,0.692,0.556
