,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1501,Elfrid Payton,2015-16,21,ORL,NBA,2.2,73,69,2145,318,730,288,638,30,92,112,190,77,184,261,468,89,20,177,159,778,0.436,0.451,0.326,0.456,0.589,0.478
1502,Miles Plumlee,2015-16,27,MIL,NBA,2.2,61,14,870,140,233,140,233,0,0,34,59,94,138,232,16,21,50,40,73,314,0.601,0.601,,0.601,0.576,0.606
1503,A.J. Price,2012-13,26,WAS,NBA,2.2,57,22,1278,161,413,91,213,70,200,49,62,20,94,114,205,33,3,64,73,441,0.39,0.427,0.35,0.475,0.79,0.501
1504,Josh Richardson,2016-17,23,MIA,NBA,2.2,53,34,1614,202,513,127,286,75,227,60,77,35,133,168,140,60,39,65,132,539,0.394,0.444,0.33,0.467,0.779,0.493
1505,Andre Roberson,2017-18,26,OKC,NBA,2.2,39,39,1037,87,162,79,126,8,36,12,38,75,110,185,46,45,35,30,89,194,0.537,0.627,0.222,0.562,0.316,0.543
1506,Brian Roberts,2013-14,28,NOP,NBA,2.2,72,42,1667,244,581,180,403,64,178,125,133,17,119,136,234,43,7,95,132,677,0.42,0.447,0.36,0.475,0.94,0.529
1507,Brian Roberts,2012-13,27,NOH,NBA,2.2,78,5,1324,213,511,154,358,59,153,70,77,17,80,97,219,37,3,71,108,555,0.417,0.43,0.386,0.475,0.909,0.509
1508,Dennis Schröder,2015-16,22,ATL,NBA,2.2,80,6,1621,329,781,252,542,77,239,144,182,25,179,204,349,70,9,183,138,879,0.421,0.465,0.322,0.471,0.791,0.51
1509,Alexey Shved,2014-15,26,TOT,NBA,2.2,42,9,767,133,335,86,196,47,139,121,150,23,76,99,106,30,6,48,48,434,0.397,0.439,0.338,0.467,0.807,0.541
1510,Lance Stephenson,2015-16,25,TOT,NBA,2.2,69,13,1372,228,474,198,396,30,78,87,111,40,183,223,133,43,9,94,135,573,0.481,0.5,0.385,0.513,0.784,0.548
1511,Rodney Stuckey,2013-14,27,DET,NBA,2.2,73,5,1950,372,853,348,765,24,88,244,292,39,130,169,152,54,10,125,131,1012,0.436,0.455,0.273,0.45,0.836,0.516
1512,Jeff Teague,2018-19,30,MIN,NBA,2.2,42,41,1264,176,416,141,311,35,105,123,153,16,90,106,343,43,18,97,90,510,0.423,0.453,0.333,0.465,0.804,0.528
1513,Garrett Temple,2018-19,32,TOT,NBA,2.2,75,55,2040,208,493,118,229,90,264,80,107,28,188,216,106,76,30,70,204,586,0.422,0.515,0.341,0.513,0.748,0.543
1514,Garrett Temple,2016-17,30,SAC,NBA,2.2,65,21,1728,183,432,101,212,82,220,58,74,32,152,184,168,84,28,78,141,506,0.424,0.476,0.373,0.519,0.784,0.545
1515,Hasheem Thabeet,2012-13,25,OKC,NBA,2.2,66,4,770,64,106,64,106,0,0,32,53,69,126,195,11,30,60,41,148,160,0.604,0.604,,0.604,0.604,0.619
1516,Beno Udrih,2012-13,30,TOT,NBA,2.2,66,9,1457,210,476,176,374,34,102,84,103,34,107,141,302,41,3,108,90,538,0.441,0.471,0.333,0.477,0.816,0.516
1517,T.J. Warren,2015-16,22,PHO,NBA,2.2,47,4,1070,221,441,193,371,28,70,45,64,57,90,147,44,37,16,32,94,515,0.501,0.52,0.4,0.533,0.703,0.549
1518,Mo Williams,2013-14,31,POR,NBA,2.2,74,0,1834,280,672,197,447,83,225,78,89,42,111,153,321,55,10,149,197,721,0.417,0.441,0.369,0.478,0.876,0.507
1519,Álex Abrines,2016-17,23,OKC,NBA,2.1,68,6,1055,134,341,40,94,94,247,44,49,18,68,86,40,37,8,33,114,406,0.393,0.426,0.381,0.531,0.898,0.56
1520,Alexis Ajinça,2013-14,25,NOP,NBA,2.1,56,30,951,136,249,136,248,0,1,56,67,94,183,277,40,23,46,63,187,328,0.546,0.548,0,0.546,0.836,0.589
1521,Leandro Barbosa,2015-16,33,GSW,NBA,2.1,68,0,1079,171,370,132,260,39,110,52,62,28,89,117,82,44,10,53,107,433,0.462,0.508,0.355,0.515,0.839,0.545
1522,Kent Bazemore,2016-17,27,ATL,NBA,2.1,73,64,1963,295,721,203,455,92,266,119,168,45,186,231,177,91,52,125,165,801,0.409,0.446,0.346,0.473,0.708,0.504
1523,Steve Blake,2014-15,34,POR,NBA,2.1,81,0,1529,122,327,45,108,77,219,29,41,16,121,137,288,41,5,104,118,350,0.373,0.417,0.352,0.491,0.707,0.507
1524,Matt Bonner,2014-15,34,SAS,NBA,2.1,72,19,935,94,230,48,104,46,126,30,37,29,86,115,47,10,12,11,65,264,0.409,0.462,0.365,0.509,0.811,0.536
1525,Sterling Brown,2018-19,23,MIL,NBA,2.1,58,7,1034,145,312,92,165,53,147,29,42,29,155,184,84,25,8,46,88,372,0.465,0.558,0.361,0.55,0.69,0.563
1526,Trey Burke,2015-16,23,UTA,NBA,2.1,64,0,1366,262,634,174,378,88,256,67,82,18,94,112,148,35,6,80,86,679,0.413,0.46,0.344,0.483,0.817,0.507
1527,Tyson Chandler,2018-19,36,TOT,NBA,2.1,55,6,875,61,99,61,98,0,1,51,87,92,215,307,37,21,23,42,110,173,0.616,0.622,0,0.616,0.586,0.63
1528,Jordan Clarkson,2015-16,23,LAL,NBA,2.1,79,79,2552,475,1098,364,778,111,320,164,204,93,220,313,192,88,7,135,168,1225,0.433,0.468,0.347,0.483,0.804,0.516
1529,Chris Copeland,2012-13,28,NYK,NBA,2.1,56,13,862,182,380,123,240,59,140,63,83,34,85,119,27,16,12,50,104,486,0.479,0.513,0.421,0.557,0.759,0.583
1530,Dante Cunningham,2015-16,28,NOP,NBA,2.1,80,46,1971,186,412,131,238,55,174,57,82,57,179,236,77,42,33,41,173,484,0.451,0.55,0.316,0.518,0.695,0.54
1531,Matthew Dellavedova,2013-14,23,CLE,NBA,2.1,72,4,1271,122,296,65,141,57,155,38,48,29,94,123,187,33,5,60,121,339,0.412,0.461,0.368,0.508,0.792,0.534
1532,Bryn Forbes,2017-18,24,SAS,NBA,2.1,80,12,1517,209,497,120,269,89,228,48,72,12,98,110,80,28,2,37,108,555,0.421,0.446,0.39,0.51,0.667,0.525
1533,Evan Fournier,2014-15,22,ORL,NBA,2.1,58,32,1661,253,575,168,350,85,225,107,147,28,125,153,120,40,2,82,116,698,0.44,0.48,0.378,0.514,0.728,0.546
1534,Channing Frye,2014-15,31,ORL,NBA,2.1,75,51,1870,191,487,55,141,136,346,31,35,27,266,293,94,47,39,78,191,549,0.392,0.39,0.393,0.532,0.886,0.546
1535,Eric Gordon,2015-16,27,NOP,NBA,2.1,45,44,1481,231,552,118,258,113,294,111,125,10,89,99,121,43,14,73,98,686,0.418,0.457,0.384,0.521,0.888,0.565
1536,Jerami Grant,2015-16,21,PHI,NBA,2.1,77,52,2066,251,599,216,453,35,146,212,322,99,262,361,135,54,127,110,215,749,0.419,0.477,0.24,0.448,0.658,0.506
1537,Gerald Green,2017-18,32,HOU,NBA,2.1,41,2,929,168,413,58,115,110,298,51,60,15,118,133,25,24,15,31,87,497,0.407,0.504,0.369,0.54,0.85,0.566
1538,Justin Hamilton,2016-17,26,BRK,NBA,2.1,64,7,1177,174,379,119,199,55,180,39,52,71,191,262,55,29,43,43,91,442,0.459,0.598,0.306,0.532,0.75,0.55
1539,Josh Hart,2018-19,23,LAL,NBA,2.1,67,22,1715,189,464,97,190,92,274,55,80,35,213,248,93,64,40,58,147,525,0.407,0.511,0.336,0.506,0.688,0.526
1540,Solomon Hill,2015-16,24,IND,NBA,2.1,59,3,866,93,208,69,134,24,74,36,42,39,127,166,57,37,11,33,68,246,0.447,0.515,0.324,0.505,0.857,0.543
1541,Justin Holiday,2018-19,29,TOT,NBA,2.1,82,77,2607,300,777,138,312,162,465,95,106,46,277,323,146,121,36,104,164,857,0.386,0.442,0.348,0.49,0.896,0.52
1542,Richard Jefferson,2016-17,36,CLE,NBA,2.1,79,13,1614,153,343,91,157,62,186,80,108,28,175,203,78,26,10,52,153,448,0.446,0.58,0.333,0.536,0.741,0.574
1543,Jonas Jerebko,2016-17,29,BOS,NBA,2.1,78,6,1232,114,262,69,132,45,130,26,37,59,213,272,71,25,17,39,122,299,0.435,0.523,0.346,0.521,0.703,0.537
1544,Michael Kidd-Gilchrist,2012-13,19,CHA,NBA,2.1,78,77,2025,281,613,279,604,2,9,140,187,131,324,455,117,54,70,101,164,704,0.458,0.462,0.222,0.46,0.749,0.506
1545,Carl Landry,2015-16,32,PHI,NBA,2.1,36,12,569,139,250,133,237,6,13,67,91,49,97,146,32,12,9,22,69,351,0.556,0.561,0.462,0.568,0.736,0.605
1546,Jeremy Lin,2018-19,30,TOT,NBA,2.1,74,4,1436,238,541,183,354,55,187,176,210,22,157,179,231,47,13,124,144,707,0.44,0.517,0.294,0.491,0.838,0.558
1547,Jeremy Lin,2016-17,28,BRK,NBA,2.1,36,33,883,175,400,117,244,58,156,115,141,11,124,135,184,42,14,86,79,523,0.438,0.48,0.372,0.51,0.816,0.566
1548,Ian Mahinmi,2014-15,28,IND,NBA,2.1,61,6,1146,117,212,117,212,0,0,31,102,105,251,356,33,30,46,59,172,265,0.552,0.552,,0.552,0.304,0.516
1549,Alfonzo McKinnie,2018-19,26,GSW,NBA,2.1,72,5,1003,134,275,92,157,42,118,27,48,81,166,247,31,18,15,30,134,337,0.487,0.586,0.356,0.564,0.563,0.569
1550,Jameer Nelson,2012-13,30,ORL,NBA,2.1,56,56,1977,306,780,185,425,121,355,89,102,23,186,209,413,71,6,154,161,822,0.392,0.435,0.341,0.47,0.873,0.498
1551,Ivan Rabb,2018-19,21,MEM,NBA,2.1,49,13,721,116,212,113,197,3,15,49,69,70,136,206,54,17,14,35,90,284,0.547,0.574,0.2,0.554,0.71,0.586
1552,Andre Roberson,2014-15,23,OKC,NBA,2.1,67,65,1286,92,201,71,116,21,85,23,48,60,195,255,70,53,29,46,141,228,0.458,0.612,0.247,0.51,0.479,0.513
1553,Henry Sims,2013-14,23,TOT,NBA,2.1,46,25,875,130,274,130,273,0,1,90,121,104,133,237,52,28,20,41,116,350,0.474,0.476,0,0.474,0.744,0.535
1554,Henry Sims,2014-15,24,PHI,NBA,2.1,73,32,1399,238,502,234,480,4,22,106,137,121,238,359,79,39,30,99,135,586,0.474,0.488,0.182,0.478,0.774,0.521
1555,Marreese Speights,2013-14,26,GSW,NBA,2.1,79,3,982,195,442,187,411,8,31,110,134,101,189,290,32,10,34,66,148,508,0.441,0.455,0.258,0.45,0.821,0.507
1556,Jason Terry,2016-17,39,MIL,NBA,2.1,74,0,1365,105,243,32,72,73,171,24,29,15,91,106,98,46,20,36,95,307,0.432,0.444,0.427,0.582,0.828,0.6
1557,Evan Turner,2012-13,24,PHI,NBA,2.1,82,82,2892,441,1053,383,894,58,159,154,208,56,461,517,354,71,17,187,197,1094,0.419,0.428,0.365,0.446,0.74,0.478
1558,Dion Waiters,2015-16,24,OKC,NBA,2.1,78,15,2152,282,706,196,466,86,240,112,157,36,166,202,154,81,15,120,143,762,0.399,0.421,0.358,0.46,0.713,0.492
1559,T.J. Warren,2018-19,25,PHO,NBA,2.1,43,36,1360,297,611,220,431,77,180,101,124,31,143,174,64,51,29,52,119,772,0.486,0.51,0.428,0.549,0.815,0.58
1560,Andrew Wiggins,2017-18,22,MIN,NBA,2.1,82,82,2979,569,1300,457,962,112,338,202,314,82,276,358,160,91,51,138,163,1452,0.438,0.475,0.331,0.481,0.643,0.505
1561,Andrew Wiggins,2014-15,19,MIN,NBA,2.1,82,82,2969,497,1137,458,1011,39,126,354,466,134,240,374,170,86,50,177,190,1387,0.437,0.453,0.31,0.454,0.76,0.517
1562,Alan Williams,2016-17,24,PHO,NBA,2.1,47,0,708,138,267,138,266,0,1,70,112,94,198,292,23,27,32,37,125,346,0.517,0.519,0,0.517,0.625,0.547
1563,Derrick Williams,2014-15,23,SAC,NBA,2.1,74,6,1462,217,485,168,329,49,156,134,196,41,161,202,50,34,4,56,67,617,0.447,0.511,0.314,0.498,0.684,0.54
1564,Mo Williams,2014-15,32,TOT,NBA,2.1,68,33,1980,341,860,222,512,119,348,163,187,22,152,174,424,46,14,172,162,964,0.397,0.434,0.342,0.466,0.872,0.512
1565,Arron Afflalo,2012-13,27,ORL,NBA,2,64,64,2307,397,905,325,665,72,240,191,223,29,210,239,206,40,11,138,137,1057,0.439,0.489,0.3,0.478,0.857,0.527
1566,OG Anunoby,2018-19,21,TOR,NBA,2,67,6,1352,183,404,116,202,67,202,36,62,58,139,197,47,46,22,55,140,469,0.453,0.574,0.332,0.536,0.581,0.544
1567,Lonzo Ball,2017-18,20,LAL,NBA,2,52,50,1780,203,564,113,269,90,295,32,71,69,291,360,376,88,43,136,117,528,0.36,0.42,0.305,0.44,0.451,0.444
1568,Matt Barnes,2016-17,36,TOT,NBA,2,74,18,1777,185,473,98,210,87,263,70,89,70,314,384,195,48,26,107,185,527,0.391,0.467,0.331,0.483,0.787,0.514
1569,Bismack Biyombo,2018-19,26,CHO,NBA,2,54,32,783,89,156,89,156,0,0,58,91,81,166,247,33,11,41,34,103,236,0.571,0.571,,0.571,0.637,0.602
1570,Devin Booker,2016-17,20,PHO,NBA,2,78,78,2730,606,1431,459,1026,147,405,367,441,46,203,249,268,72,21,241,242,1726,0.423,0.447,0.363,0.475,0.832,0.531
1571,Robert Covington,2015-16,25,PHI,NBA,2,67,49,1903,274,712,104,230,170,482,140,177,65,354,419,97,105,40,143,232,858,0.385,0.452,0.353,0.504,0.791,0.543
1572,Glen Davis,2013-14,28,TOT,NBA,2,68,44,1662,271,593,267,582,4,11,95,137,108,243,351,77,58,29,76,159,641,0.457,0.459,0.364,0.46,0.693,0.491
1573,Tim Frazier,2018-19,28,TOT,NBA,2,59,19,1120,116,261,79,160,37,101,41,54,41,127,168,248,30,5,76,112,310,0.444,0.494,0.366,0.515,0.759,0.544
1574,Gerald Henderson,2015-16,28,POR,NBA,2,72,0,1431,232,529,184,393,48,136,112,146,30,181,211,75,39,19,68,87,624,0.439,0.468,0.353,0.484,0.767,0.526
1575,Gerald Henderson,2016-17,29,PHI,NBA,2,72,41,1667,234,553,173,380,61,173,133,165,34,151,185,112,40,15,62,129,662,0.423,0.455,0.353,0.478,0.806,0.529
1576,Brandon Ingram,2018-19,21,LAL,NBA,2,52,52,1760,362,729,331,635,31,94,195,289,41,226,267,154,28,31,129,149,950,0.497,0.521,0.33,0.518,0.675,0.555
1577,Reggie Jackson,2017-18,27,DET,NBA,2,45,45,1201,246,577,194,408,52,169,112,134,29,96,125,238,27,4,99,87,656,0.426,0.475,0.308,0.471,0.836,0.516
1578,Jonas Jerebko,2012-13,25,DET,NBA,2,49,2,892,142,316,117,233,25,83,68,88,68,117,185,43,38,8,42,90,377,0.449,0.502,0.301,0.489,0.773,0.531
1579,Tyler Johnson,2015-16,23,MIA,NBA,2,36,5,863,118,243,91,172,27,71,51,64,28,81,109,79,24,14,47,66,314,0.486,0.529,0.38,0.541,0.797,0.579
1580,Jon Leuer,2013-14,24,MEM,NBA,2,49,0,642,121,246,98,197,23,49,37,47,37,121,158,20,18,13,27,63,302,0.492,0.497,0.469,0.539,0.787,0.566
