,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3701,Metta World Peace,2013-14,34,NYK,NBA,0.3,29,1,388,56,141,39,87,17,54,10,16,18,41,59,17,24,8,19,44,139,0.397,0.448,0.315,0.457,0.625,0.469
3702,Antoine Wright,2009-10,25,TOR,NBA,0.3,67,10,1392,162,399,104,226,58,173,53,77,38,152,190,71,30,11,58,134,435,0.406,0.46,0.335,0.479,0.688,0.502
3703,Chris Wright,2013-14,25,MIL,NBA,0.3,8,0,126,21,35,21,34,0,1,6,15,10,10,20,5,7,5,5,17,48,0.6,0.618,0,0.6,0.4,0.577
3704,Tony Wroten,2014-15,21,PHI,NBA,0.3,30,15,895,175,434,138,292,37,142,120,180,22,64,86,157,48,8,113,72,507,0.403,0.473,0.261,0.446,0.667,0.494
3705,James Young,2016-17,21,BOS,NBA,0.3,29,0,220,25,58,13,23,12,35,6,9,6,20,26,4,10,2,4,15,68,0.431,0.565,0.343,0.534,0.667,0.549
3706,James Young,2014-15,19,BOS,NBA,0.3,31,0,332,36,102,19,36,17,66,16,29,9,33,42,13,8,2,5,22,105,0.353,0.528,0.258,0.436,0.552,0.457
3707,Tyler Zeller,2018-19,29,TOT,NBA,0.3,6,1,93,16,30,16,29,0,1,14,18,11,13,24,4,1,3,4,20,46,0.533,0.552,0,0.533,0.778,0.607
3708,Jeff Adrien,2010-11,24,GSW,NBA,0.2,23,0,196,23,54,23,54,0,0,11,19,23,35,58,10,4,5,9,28,57,0.426,0.426,,0.426,0.579,0.457
3709,Solomon Alabi,2011-12,23,TOR,NBA,0.2,14,0,122,13,36,13,36,0,0,7,8,15,32,47,3,2,9,5,11,33,0.361,0.361,,0.361,0.875,0.418
3710,Cole Aldrich,2010-11,22,OKC,NBA,0.2,18,0,142,8,15,8,15,0,0,2,4,13,22,35,4,5,7,8,30,18,0.533,0.533,,0.533,0.5,0.537
3711,Malik Allen,2010-11,32,ORL,NBA,0.2,18,0,178,11,31,11,31,0,0,1,2,12,20,32,4,1,4,3,30,23,0.355,0.355,,0.355,0.5,0.361
3712,Chris Andersen,2016-17,38,CLE,NBA,0.2,12,0,114,9,22,9,19,0,3,10,14,9,22,31,5,5,7,5,20,28,0.409,0.474,0,0.409,0.714,0.497
3713,Joel Anthony,2013-14,31,TOT,NBA,0.2,33,0,186,12,32,12,32,0,0,4,8,15,23,38,2,3,12,3,17,28,0.375,0.375,,0.375,0.5,0.394
3714,Chucky Atkins,2009-10,35,DET,NBA,0.2,40,11,644,57,157,35,84,22,73,25,27,5,24,29,91,17,0,32,53,161,0.363,0.417,0.301,0.433,0.926,0.477
3715,Jeff Ayres,2015-16,28,LAC,NBA,0.2,17,0,107,12,23,12,22,0,1,6,6,4,18,22,5,0,3,6,18,30,0.522,0.545,0,0.522,1,0.585
3716,Andrea Bargnani,2015-16,30,BRK,NBA,0.2,46,0,634,127,279,124,263,3,16,47,57,28,69,97,18,4,9,26,61,304,0.455,0.471,0.188,0.461,0.825,0.5
3717,Kent Bazemore,2013-14,24,TOT,NBA,0.2,67,15,911,147,343,104,215,43,128,66,109,10,107,117,91,43,13,79,102,403,0.429,0.484,0.336,0.491,0.606,0.515
3718,Malik Beasley,2016-17,20,DEN,NBA,0.2,22,1,165,33,73,24,45,9,28,8,10,5,12,17,11,7,0,8,10,83,0.452,0.533,0.321,0.514,0.8,0.536
3719,Michael Beasley,2018-19,30,LAL,NBA,0.2,26,2,277,75,153,72,136,3,17,28,39,13,47,60,25,9,10,27,42,181,0.49,0.529,0.176,0.5,0.718,0.532
3720,Rodrigue Beaubois,2010-11,22,DAL,NBA,0.2,28,26,496,94,223,69,140,25,83,23,30,7,45,52,64,20,8,47,76,236,0.422,0.493,0.301,0.478,0.767,0.5
3721,Jabari Bird,2017-18,23,BOS,NBA,0.2,13,1,115,15,26,12,19,3,7,6,13,6,13,19,8,3,1,8,7,39,0.577,0.632,0.429,0.635,0.462,0.615
3722,Eric Bledsoe,2011-12,22,LAC,NBA,0.2,40,1,464,49,126,43,96,6,30,28,44,22,43,65,66,31,14,47,58,132,0.389,0.448,0.2,0.413,0.636,0.454
3723,Joel Bolomboy,2016-17,23,UTA,NBA,0.2,12,0,53,9,16,8,12,1,4,3,6,4,13,17,2,1,2,2,1,22,0.563,0.667,0.25,0.594,0.5,0.59
3724,Elton Brand,2015-16,36,PHI,NBA,0.2,17,1,225,31,72,31,71,0,1,8,9,9,54,63,18,9,8,11,32,70,0.431,0.437,0,0.431,0.889,0.461
3725,Lorenzo Brown,2017-18,27,TOR,NBA,0.2,14,0,139,14,34,12,22,2,12,2,2,1,14,15,13,5,0,3,7,32,0.412,0.545,0.167,0.441,1,0.459
3726,Kobe Bryant,2014-15,36,LAL,NBA,0.2,35,35,1207,266,713,212,529,54,184,196,241,26,173,199,197,47,7,128,65,782,0.373,0.401,0.293,0.411,0.813,0.477
3727,Reggie Bullock,2013-14,22,LAC,NBA,0.2,43,0,395,43,121,21,48,22,73,7,9,11,43,54,12,9,1,13,26,115,0.355,0.438,0.301,0.446,0.778,0.46
3728,Dwight Buycks,2017-18,28,DET,NBA,0.2,29,0,427,82,198,67,153,15,45,36,41,12,29,41,59,19,2,39,39,215,0.414,0.438,0.333,0.452,0.878,0.498
3729,Isaiah Canaan,2013-14,22,HOU,NBA,0.2,22,0,252,31,87,13,32,18,55,21,29,7,17,24,22,8,4,21,25,101,0.356,0.406,0.327,0.46,0.724,0.506
3730,Anthony Carter,2010-11,35,TOT,NBA,0.2,33,0,463,45,106,33,66,12,40,8,8,7,44,51,69,27,6,39,49,110,0.425,0.5,0.3,0.481,1,0.502
3731,Michael Carter-Williams,2016-17,25,CHI,NBA,0.2,45,19,846,112,306,97,242,15,64,58,77,24,129,153,113,38,23,66,102,297,0.366,0.401,0.234,0.391,0.753,0.437
3732,Ian Clark,2014-15,23,TOT,NBA,0.2,30,0,192,19,55,9,25,10,30,9,9,4,12,16,12,9,3,9,20,57,0.345,0.36,0.333,0.436,1,0.483
3733,Victor Claver,2013-14,25,POR,NBA,0.2,21,0,184,17,42,14,24,3,18,10,11,9,30,39,12,3,3,11,16,47,0.405,0.583,0.167,0.44,0.909,0.502
3734,Jason Collins,2011-12,33,ATL,NBA,0.2,30,10,308,16,40,16,40,0,0,7,15,12,36,48,10,4,3,10,34,39,0.4,0.4,,0.4,0.467,0.418
3735,Bonzie Colson,2018-19,23,MIL,NBA,0.2,8,2,98,13,39,8,18,5,21,8,9,8,22,30,3,5,1,3,3,39,0.333,0.444,0.238,0.397,0.889,0.454
3736,Quinn Cook,2016-17,23,TOT,NBA,0.2,14,0,188,33,66,22,40,11,26,2,5,1,6,7,26,4,0,13,13,79,0.5,0.55,0.423,0.583,0.4,0.579
3737,Jack Cooley,2014-15,23,UTA,NBA,0.2,16,0,87,9,22,9,22,0,0,9,21,10,15,25,1,6,3,3,23,27,0.409,0.409,,0.409,0.429,0.432
3738,Bryce Cotton,2014-15,22,UTA,NBA,0.2,15,0,159,29,69,22,49,7,20,15,18,3,15,18,15,4,0,12,6,80,0.42,0.449,0.35,0.471,0.833,0.52
3739,Jamal Crawford,2018-19,38,PHO,NBA,0.2,64,0,1211,174,438,107,236,67,202,93,110,8,77,85,229,33,12,99,75,508,0.397,0.453,0.332,0.474,0.845,0.522
3740,Jordan Crawford,2017-18,29,NOP,NBA,0.2,5,0,53,12,27,4,13,8,14,1,1,2,2,4,13,1,1,5,7,33,0.444,0.308,0.571,0.593,1,0.601
