,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3501,Mike James,2012-13,37,DAL,NBA,0.4,45,23,862,101,271,53,146,48,125,23,29,9,63,72,139,26,3,55,95,273,0.373,0.363,0.384,0.461,0.793,0.481
3502,Amile Jefferson,2018-19,25,ORL,NBA,0.4,12,0,68,10,16,10,16,0,0,7,8,6,15,21,3,3,3,1,8,27,0.625,0.625,,0.625,0.875,0.692
3503,Yi Jianlian,2010-11,23,WAS,NBA,0.4,63,11,1112,145,347,142,334,3,13,62,91,79,169,248,25,27,32,51,115,355,0.418,0.425,0.231,0.422,0.681,0.459
3504,Stanley Johnson,2016-17,20,DET,NBA,0.4,77,1,1371,129,365,84,211,45,154,36,53,36,153,189,105,56,24,71,121,339,0.353,0.398,0.292,0.415,0.679,0.436
3505,Derrick Jones,2017-18,20,TOT,NBA,0.4,20,8,245,21,53,18,35,3,18,16,24,21,17,38,9,4,13,7,24,61,0.396,0.514,0.167,0.425,0.667,0.48
3506,Viacheslav Kravtsov,2012-13,25,DET,NBA,0.4,25,0,224,33,46,33,46,0,0,11,37,24,21,45,9,5,9,14,32,77,0.717,0.717,,0.717,0.297,0.618
3507,Carl Landry,2013-14,30,SAC,NBA,0.4,18,1,233,31,60,31,60,0,0,14,17,15,42,57,5,3,1,9,34,76,0.517,0.517,,0.517,0.824,0.563
3508,Acie Law,2010-11,26,TOT,NBA,0.4,51,0,726,81,186,75,150,6,36,47,64,12,51,63,84,32,0,43,61,215,0.435,0.5,0.167,0.452,0.734,0.502
3509,Courtney Lee,2018-19,33,TOT,NBA,0.4,34,6,428,53,129,37,74,16,55,14,21,9,45,54,37,21,3,14,32,136,0.411,0.5,0.291,0.473,0.667,0.492
3510,Damion Lee,2017-18,25,ATL,NBA,0.4,15,11,404,62,152,47,92,15,60,22,29,11,60,71,29,19,1,14,25,161,0.408,0.511,0.25,0.457,0.759,0.489
3511,Malcolm Lee,2012-13,22,MIN,NBA,0.4,16,12,289,29,76,21,52,8,24,12,20,15,24,39,20,12,6,10,30,78,0.382,0.404,0.333,0.434,0.6,0.46
3512,Josh Magette,2017-18,28,ATL,NBA,0.4,18,0,216,15,46,7,24,8,22,8,8,2,17,19,57,8,1,9,16,46,0.326,0.292,0.364,0.413,1,0.464
3513,Ray McCallum,2013-14,22,SAC,NBA,0.4,45,10,897,113,300,91,241,22,59,32,43,18,61,79,120,22,9,39,69,280,0.377,0.378,0.373,0.413,0.744,0.439
3514,JaVale McGee,2014-15,27,TOT,NBA,0.4,23,0,256,42,79,42,79,0,0,22,33,18,43,61,3,2,20,18,30,106,0.532,0.532,,0.532,0.667,0.567
3515,Ben McLemore,2016-17,23,SAC,NBA,0.4,61,26,1176,180,419,115,249,65,170,70,93,19,110,129,51,29,6,62,108,495,0.43,0.462,0.382,0.507,0.753,0.538
3516,Jordan McRae,2015-16,24,TOT,NBA,0.4,22,1,195,34,78,24,56,10,22,21,28,4,16,20,25,3,1,15,17,99,0.436,0.429,0.455,0.5,0.75,0.548
3517,Josh McRoberts,2014-15,27,MIA,NBA,0.4,17,4,296,28,53,20,34,8,19,8,13,7,38,45,33,12,3,22,41,72,0.528,0.588,0.421,0.604,0.615,0.613
3518,Mike Miller,2014-15,34,CLE,NBA,0.4,52,15,701,37,114,5,16,32,98,3,4,4,87,91,46,14,4,23,74,109,0.325,0.313,0.327,0.465,0.75,0.471
3519,Elijah Millsap,2014-15,27,UTA,NBA,0.4,47,5,924,81,238,53,148,28,90,58,86,28,122,150,58,56,16,67,124,248,0.34,0.358,0.311,0.399,0.674,0.45
3520,Timofey Mozgov,2017-18,31,BRK,NBA,0.4,31,13,359,52,93,48,75,4,18,23,30,32,66,98,11,5,13,33,39,131,0.559,0.64,0.222,0.581,0.767,0.617
3521,Maurice Ndour,2016-17,24,NYK,NBA,0.4,32,4,331,39,86,38,79,1,7,19,26,22,42,64,8,15,8,12,30,98,0.453,0.481,0.143,0.459,0.731,0.503
3522,Jusuf Nurki_,2015-16,21,DEN,NBA,0.4,32,3,547,101,242,101,239,0,3,61,99,65,110,175,40,24,44,55,91,263,0.417,0.423,0,0.417,0.616,0.46
3523,Kelly Oubre,2015-16,20,WAS,NBA,0.4,63,9,671,90,211,65,132,25,79,31,49,25,108,133,13,22,7,34,100,236,0.427,0.492,0.316,0.486,0.633,0.507
3524,Georgios Papagiannis,2016-17,19,SAC,NBA,0.4,22,0,355,56,102,56,100,0,2,12,14,24,62,86,20,3,17,24,44,124,0.549,0.56,0,0.549,0.857,0.573
3525,Sasha Pavlovi_,2011-12,28,BOS,NBA,0.4,45,7,527,50,128,33,70,17,58,3,8,4,68,72,18,20,15,20,54,120,0.391,0.471,0.293,0.457,0.375,0.456
3526,Johan Petro,2012-13,27,ATL,NBA,0.4,31,8,352,48,110,47,106,1,4,11,12,33,79,112,16,10,9,24,48,108,0.436,0.443,0.25,0.441,0.917,0.468
3527,Johan Petro,2010-11,25,NJN,NBA,0.4,77,1,893,129,290,129,286,0,4,15,28,62,150,212,44,34,34,46,178,273,0.445,0.451,0,0.445,0.536,0.452
