,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1601,Bradley Beal,2012-13,19,WAS,NBA,3,56,46,1745,282,687,191,451,91,236,125,159,43,168,211,137,50,29,90,113,780,0.41,0.424,0.386,0.477,0.786,0.515
1602,Marco Belinelli,2012-13,26,CHI,NBA,3,73,27,1882,241,610,162,389,79,221,141,168,13,127,140,148,44,6,82,140,702,0.395,0.416,0.357,0.46,0.839,0.513
1603,Trevor Booker,2011-12,24,WAS,NBA,3,50,32,1261,181,341,180,339,1,2,56,93,119,206,325,40,48,43,58,138,419,0.531,0.531,0.5,0.532,0.602,0.549
1604,Jaylen Brown,2018-19,22,BOS,NBA,3,74,25,1913,368,792,273,516,95,276,133,202,65,248,313,100,69,32,99,186,964,0.465,0.529,0.344,0.525,0.658,0.547
1605,Chase Budinger,2011-12,23,HOU,NBA,3,58,9,1298,208,471,120,252,88,219,54,70,38,179,217,74,29,7,55,65,558,0.442,0.476,0.402,0.535,0.771,0.556
1606,Jordan Clarkson,2017-18,25,TOT,NBA,3,81,2,1888,430,954,318,636,112,318,152,190,57,160,217,221,58,6,127,107,1124,0.451,0.5,0.352,0.509,0.8,0.542
1607,Torrey Craig,2018-19,28,DEN,NBA,3,75,37,1503,160,362,99,174,61,188,49,70,89,174,263,72,37,46,44,175,430,0.442,0.569,0.324,0.526,0.7,0.547
1608,Dante Cunningham,2016-17,29,NOP,NBA,3,66,35,1649,174,359,103,178,71,181,16,27,56,221,277,37,39,28,28,100,435,0.485,0.579,0.392,0.584,0.593,0.586
1609,Derrick Favors,2011-12,20,UTA,NBA,3,65,9,1376,222,445,222,445,0,0,126,194,158,267,425,43,38,65,103,145,570,0.499,0.499,,0.499,0.649,0.537
1610,Rudy Fernández,2009-10,24,POR,NBA,3,62,2,1441,160,423,62,157,98,266,85,98,35,129,164,127,62,11,72,87,503,0.378,0.395,0.368,0.494,0.867,0.54
1611,Yogi Ferrell,2017-18,24,DAL,NBA,3,82,21,2282,311,730,177,371,134,359,82,103,26,223,249,201,64,9,78,153,838,0.426,0.477,0.373,0.518,0.796,0.54
1612,Jeff Foster,2010-11,34,IND,NBA,3,56,3,940,80,167,80,164,0,3,27,48,160,190,350,46,24,31,26,127,187,0.479,0.488,0,0.479,0.563,0.497
1613,Channing Frye,2015-16,32,TOT,NBA,3,70,32,1200,152,347,61,112,91,235,30,35,35,199,234,71,29,28,43,127,425,0.438,0.545,0.387,0.569,0.857,0.586
1614,Francisco García,2010-11,29,SAC,NBA,3,58,34,1386,207,475,126,251,81,224,65,76,24,109,133,71,51,49,45,126,560,0.436,0.502,0.362,0.521,0.855,0.551
1615,Pau Gasol,2013-14,33,LAL,NBA,3,60,60,1884,425,885,421,871,4,14,187,254,124,456,580,201,27,92,141,124,1041,0.48,0.483,0.286,0.482,0.736,0.522
1616,Manu Ginóbili,2016-17,39,SAS,NBA,3,69,0,1291,171,439,82,212,89,227,86,107,28,129,157,183,82,16,96,119,517,0.39,0.387,0.392,0.491,0.804,0.532
1617,Tyler Hansbrough,2013-14,28,TOR,NBA,3,64,4,978,93,196,93,194,0,2,126,185,120,167,287,17,28,19,47,132,312,0.474,0.479,0,0.474,0.681,0.562
1618,Juan Hernangómez,2018-19,23,DEN,NBA,3,70,25,1358,138,314,72,133,66,181,66,86,64,201,265,55,27,24,37,94,408,0.439,0.541,0.365,0.545,0.767,0.58
1619,Nenê Hilário,2014-15,32,WAS,NBA,3,67,58,1693,307,601,306,596,1,5,122,202,84,261,345,123,66,22,124,180,737,0.511,0.513,0.2,0.512,0.604,0.534
1620,Kirk Hinrich,2010-11,30,TOT,NBA,3,72,51,2157,278,623,203,435,75,188,106,126,21,161,182,288,75,17,121,185,737,0.446,0.467,0.399,0.506,0.841,0.543
1621,Ersan _lyasova,2018-19,31,MIL,NBA,3,67,7,1231,167,381,109,221,58,160,61,74,94,208,302,52,32,20,48,172,453,0.438,0.493,0.363,0.514,0.824,0.548
1622,James Johnson,2013-14,26,MEM,NBA,3,52,4,956,143,308,121,221,22,87,76,90,60,106,166,111,42,57,66,102,384,0.464,0.548,0.253,0.5,0.844,0.552
1623,Terrence Jones,2014-15,23,HOU,NBA,3,33,24,889,158,299,145,262,13,37,57,94,78,142,220,36,18,59,37,78,386,0.528,0.553,0.351,0.55,0.606,0.567
1624,Tyus Jones,2018-19,22,MIN,NBA,3,68,23,1560,185,446,145,320,40,126,58,69,23,111,134,327,81,5,47,78,468,0.415,0.453,0.317,0.46,0.841,0.491
1625,Jason Kidd,2011-12,38,DAL,NBA,3,48,48,1379,99,273,20,50,79,223,22,28,15,183,198,264,82,10,91,83,299,0.363,0.4,0.354,0.507,0.786,0.524
1626,Zach LaVine,2016-17,21,MIN,NBA,3,47,47,1749,326,710,206,400,120,310,117,140,19,141,160,139,41,10,85,104,889,0.459,0.515,0.387,0.544,0.836,0.576
1627,David Lee,2015-16,32,TOT,NBA,3,55,5,903,178,335,178,334,0,1,71,93,101,204,305,84,22,28,66,114,427,0.531,0.533,0,0.531,0.763,0.568
1628,Alex Len,2016-17,23,PHO,NBA,3,77,34,1560,230,463,227,451,3,12,150,208,156,354,510,44,38,98,102,242,613,0.497,0.503,0.25,0.5,0.721,0.553
1629,Meyers Leonard,2018-19,26,POR,NBA,3,61,2,878,132,242,82,131,50,111,43,51,49,184,233,75,13,9,43,105,357,0.545,0.626,0.45,0.649,0.843,0.675
1630,Rashard Lewis,2010-11,31,TOT,NBA,3,57,52,1824,252,582,165,338,87,244,77,96,71,219,290,92,52,30,87,159,668,0.433,0.488,0.357,0.508,0.802,0.535
1631,Boban Marjanovi_,2018-19,30,TOT,NBA,3,58,12,681,160,260,156,250,4,10,98,131,87,178,265,54,16,27,59,90,422,0.615,0.624,0.4,0.623,0.748,0.664
1632,Antonio McDyess,2010-11,36,SAS,NBA,3,73,16,1387,169,344,169,343,0,1,52,77,122,273,395,84,36,39,72,163,390,0.491,0.493,0,0.491,0.675,0.516
1633,Jodie Meeks,2012-13,25,LAL,NBA,3,78,10,1663,205,530,83,188,122,342,86,96,37,134,171,69,58,5,52,103,618,0.387,0.441,0.357,0.502,0.896,0.54
1634,Salah Mejri,2016-17,30,DAL,NBA,3,73,11,905,88,137,87,134,1,3,36,61,97,211,308,14,32,61,40,152,213,0.642,0.649,0.333,0.646,0.59,0.65
1635,Brad Miller,2010-11,34,HOU,NBA,3,60,5,1015,132,296,92,189,40,107,78,94,44,178,222,145,28,21,54,98,382,0.446,0.487,0.374,0.514,0.83,0.566
1636,Darius Miller,2017-18,27,NOP,NBA,3,82,3,1944,216,487,69,129,147,358,58,67,18,146,164,111,28,17,58,160,637,0.444,0.535,0.411,0.594,0.866,0.617
1637,Anthony Morrow,2010-11,25,NJN,NBA,3,58,47,1856,279,620,169,360,110,260,96,107,37,135,172,68,19,7,54,135,764,0.45,0.469,0.423,0.539,0.897,0.573
1638,Nerlens Noel,2015-16,21,PHI,NBA,3,67,62,1965,306,587,305,585,1,2,134,227,154,388,542,122,118,100,158,192,747,0.521,0.521,0.5,0.522,0.59,0.544
1639,Tony Parker,2016-17,34,SAS,NBA,3,63,63,1587,265,569,242,500,23,69,85,117,9,104,113,285,34,2,89,92,638,0.466,0.484,0.333,0.486,0.726,0.514
1640,J.J. Redick,2013-14,29,LAC,NBA,3,35,34,987,181,398,108,213,73,185,97,106,9,65,74,78,28,3,42,65,532,0.455,0.507,0.395,0.546,0.915,0.598
1641,Derrick Rose,2018-19,30,MIN,NBA,3,51,13,1392,363,753,309,607,54,146,137,160,33,107,140,220,31,12,82,57,917,0.482,0.509,0.37,0.518,0.856,0.557
1642,Derrick Rose,2016-17,28,NYK,NBA,3,64,64,2082,460,977,447,917,13,60,221,253,66,180,246,283,44,17,147,84,1154,0.471,0.487,0.217,0.477,0.874,0.53
1643,Ricky Rubio,2012-13,22,MIN,NBA,3,57,47,1691,185,514,158,422,27,92,211,264,44,185,229,418,137,5,172,143,608,0.36,0.374,0.293,0.386,0.799,0.482
1644,Thabo Sefolosha,2013-14,29,OKC,NBA,3,61,61,1584,141,340,93,188,48,152,53,69,50,170,220,94,79,17,55,90,383,0.415,0.495,0.316,0.485,0.768,0.517
1645,Craig Smith,2009-10,26,LAC,NBA,3,75,2,1232,226,397,225,392,1,5,132,208,97,190,287,84,33,25,88,194,585,0.569,0.574,0.2,0.571,0.635,0.599
1646,Derrick Williams,2012-13,21,MIN,NBA,3,78,56,1916,338,786,273,590,65,196,192,272,96,334,430,46,44,37,101,127,933,0.43,0.463,0.332,0.471,0.706,0.515
1647,Steven Adams,2013-14,20,OKC,NBA,2.9,81,20,1197,93,185,93,185,0,0,79,136,142,190,332,43,40,57,71,203,265,0.503,0.503,,0.503,0.581,0.541
1648,Lou Amundson,2009-10,27,PHO,NBA,2.9,79,0,1168,152,276,152,275,0,1,67,123,128,218,346,31,24,73,57,169,371,0.551,0.553,0,0.551,0.545,0.562
1649,Carmelo Anthony,2014-15,30,NYK,NBA,2.9,40,40,1428,358,806,297,627,61,179,189,237,72,192,264,122,40,17,89,87,966,0.444,0.474,0.341,0.482,0.797,0.531
1650,Marco Belinelli,2014-15,28,SAS,NBA,2.9,62,9,1388,199,470,113,240,86,230,84,99,26,131,157,94,31,3,61,85,568,0.423,0.471,0.374,0.515,0.848,0.553
1651,Marco Belinelli,2011-12,25,NOH,NBA,2.9,66,55,1966,286,686,179,402,107,284,101,129,19,153,172,101,48,5,69,115,780,0.417,0.445,0.377,0.495,0.783,0.525
1652,Jordan Bell,2017-18,23,GSW,NBA,2.9,57,13,809,116,185,116,181,0,4,30,44,60,147,207,102,35,56,51,92,262,0.627,0.641,0,0.627,0.682,0.641
1653,Bismack Biyombo,2017-18,25,ORL,NBA,2.9,82,25,1495,183,352,183,351,0,1,102,157,144,324,468,66,21,95,84,158,468,0.52,0.521,0,0.52,0.65,0.556
1654,Bismack Biyombo,2016-17,24,ORL,NBA,2.9,81,27,1793,179,339,179,339,0,0,125,234,157,410,567,74,25,91,95,202,483,0.528,0.528,,0.528,0.534,0.546
1655,Bogdan Bogdanovi_,2017-18,25,SAC,NBA,2.9,78,53,2175,344,772,215,443,129,329,100,119,31,192,223,258,72,16,125,172,917,0.446,0.485,0.392,0.529,0.84,0.556
1656,Bojan Bogdanovi_,2016-17,27,TOT,NBA,2.9,81,54,2083,376,845,232,453,144,392,217,243,37,240,277,111,34,7,131,146,1113,0.445,0.512,0.367,0.53,0.893,0.585
1657,Trevor Booker,2017-18,30,TOT,NBA,2.9,68,7,1158,177,343,169,310,8,33,66,93,117,201,318,82,28,21,59,119,428,0.516,0.545,0.242,0.528,0.71,0.557
1658,Mikal Bridges,2018-19,22,PHO,NBA,2.9,82,56,2417,242,563,137,250,105,313,95,118,56,208,264,173,129,38,70,201,684,0.43,0.548,0.335,0.523,0.805,0.556
1659,Miles Bridges,2018-19,20,CHO,NBA,2.9,80,25,1696,237,511,172,311,65,200,58,77,67,256,323,95,55,49,50,111,597,0.464,0.553,0.325,0.527,0.753,0.548
1660,Vince Carter,2011-12,35,DAL,NBA,2.9,61,40,1542,223,542,149,337,74,205,95,115,32,173,205,139,56,25,84,134,615,0.411,0.442,0.361,0.48,0.826,0.519
1661,Willie Cauley-Stein,2016-17,23,SAC,NBA,2.9,75,21,1421,255,481,255,479,0,2,101,151,85,254,339,80,53,44,69,147,611,0.53,0.532,0,0.53,0.669,0.558
1662,Mario Chalmers,2010-11,24,MIA,NBA,2.9,70,28,1579,155,388,72,157,83,231,54,62,12,134,146,177,76,7,91,158,447,0.399,0.459,0.359,0.506,0.871,0.538
