,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2401,Brandon Jennings,2016-17,27,TOT,NBA,1.7,81,13,1802,192,535,113,283,79,252,114,152,29,167,196,395,70,4,128,116,577,0.359,0.399,0.313,0.433,0.75,0.479
2402,Wesley Johnson,2014-15,27,LAL,NBA,1.7,76,59,2245,286,691,195,432,91,259,90,112,67,252,319,124,59,45,87,162,753,0.414,0.451,0.351,0.48,0.804,0.509
2403,Wesley Johnson,2017-18,30,LAC,NBA,1.7,74,40,1486,150,368,90,191,60,177,43,58,29,187,216,61,76,62,55,146,403,0.408,0.471,0.339,0.489,0.741,0.512
2404,James Jones,2011-12,31,MIA,NBA,1.7,51,10,666,57,150,11,36,46,114,25,30,6,43,49,19,17,9,10,45,185,0.38,0.306,0.404,0.533,0.833,0.567
2405,Enes Kanter,2011-12,19,UTA,NBA,1.7,66,0,874,117,236,117,235,0,1,70,105,107,171,278,8,18,23,54,87,304,0.496,0.498,0,0.496,0.667,0.539
2406,Brandon Knight,2015-16,24,PHO,NBA,1.7,52,50,1870,371,895,251,544,120,351,156,183,36,166,202,263,61,20,177,124,1018,0.415,0.461,0.342,0.482,0.852,0.522
2407,Shane Larkin,2014-15,22,NYK,NBA,1.7,76,22,1865,187,432,152,316,35,116,61,78,29,147,176,226,93,9,83,150,470,0.433,0.481,0.302,0.473,0.782,0.504
2408,Caris LeVert,2018-19,24,BRK,NBA,1.7,40,25,1063,207,483,159,329,48,154,85,123,35,116,151,156,42,14,69,77,547,0.429,0.483,0.312,0.478,0.691,0.509
2409,Rashard Lewis,2013-14,34,MIA,NBA,1.7,60,6,971,98,236,52,102,46,134,26,33,24,86,110,57,53,8,35,90,268,0.415,0.51,0.343,0.513,0.788,0.535
2410,Shawn Marion,2014-15,36,CLE,NBA,1.7,57,24,1101,119,267,107,221,12,46,26,34,64,138,202,51,27,27,33,58,276,0.446,0.484,0.261,0.468,0.765,0.489
2411,Boban Marjanovi_,2016-17,28,DET,NBA,1.7,35,0,293,72,132,72,132,0,0,47,58,46,84,130,9,6,12,10,25,191,0.545,0.545,,0.545,0.81,0.606
2412,Jason Maxiell,2011-12,28,DET,NBA,1.7,65,42,1466,183,383,183,381,0,2,58,106,126,207,333,41,32,50,71,151,424,0.478,0.48,0,0.478,0.547,0.493
2413,Patrick McCaw,2016-17,21,GSW,NBA,1.7,71,20,1074,106,245,65,122,41,123,29,37,21,79,100,77,32,15,36,62,282,0.433,0.533,0.333,0.516,0.784,0.54
2414,E'Twaun Moore,2013-14,24,ORL,NBA,1.7,79,3,1506,195,456,138,295,57,161,52,68,29,107,136,112,60,13,55,106,499,0.428,0.468,0.354,0.49,0.765,0.513
2415,E'Twaun Moore,2018-19,29,NOP,NBA,1.7,53,36,1463,256,532,180,356,76,176,45,59,35,92,127,102,40,8,59,112,633,0.481,0.506,0.432,0.553,0.763,0.567
2416,Markieff Morris,2012-13,23,PHO,NBA,1.7,82,32,1837,266,653,221,519,45,134,93,127,131,265,396,108,77,64,104,209,670,0.407,0.426,0.336,0.442,0.732,0.473
2417,Anthony Morrow,2011-12,26,NJN,NBA,1.7,62,18,1636,272,658,166,372,106,286,97,104,31,96,127,61,46,9,70,86,747,0.413,0.446,0.371,0.494,0.933,0.531
