,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3301,DeAndre Liggins,2012-13,24,OKC,NBA,0.6,39,1,290,21,47,14,28,7,19,9,18,13,40,53,15,18,3,14,33,58,0.447,0.5,0.368,0.521,0.5,0.528
3302,Jamaal Magloire,2010-11,32,MIA,NBA,0.6,18,0,158,13,22,13,22,0,0,9,18,17,44,61,3,4,2,5,26,35,0.591,0.591,,0.591,0.5,0.585
3303,Jamaal Magloire,2009-10,31,MIA,NBA,0.6,36,0,359,28,56,28,56,0,0,21,59,41,80,121,1,9,11,17,59,77,0.5,0.5,,0.5,0.356,0.47
3304,Jarell Martin,2016-17,22,MEM,NBA,0.6,42,3,558,58,151,49,126,9,25,40,50,42,120,162,8,17,9,28,91,165,0.384,0.389,0.36,0.414,0.8,0.477
3305,Patrick McCaw,2017-18,22,GSW,NBA,0.6,57,10,961,92,225,73,145,19,80,26,34,16,66,82,81,43,10,41,67,229,0.409,0.503,0.238,0.451,0.765,0.477
3306,K.J. McDaniels,2014-15,21,TOT,NBA,0.6,62,15,1352,172,434,129,284,43,150,100,133,65,135,200,72,44,70,105,126,487,0.396,0.454,0.287,0.446,0.752,0.494
3307,Mikki Moore,2009-10,34,GSW,NBA,0.6,23,20,406,54,90,54,90,0,0,7,11,26,43,69,36,5,13,21,60,115,0.6,0.6,,0.6,0.636,0.606
3308,Timofey Mozgov,2010-11,24,TOT,NBA,0.6,45,14,524,63,133,63,133,0,0,37,52,46,75,121,15,15,25,35,84,163,0.474,0.474,,0.474,0.712,0.523
3309,Shabazz Napier,2016-17,25,POR,NBA,0.6,53,2,512,73,183,39,91,34,92,38,49,8,53,61,67,32,2,41,38,218,0.399,0.429,0.37,0.492,0.776,0.533
3310,Gary Neal,2014-15,30,TOT,NBA,0.6,54,1,1193,188,503,138,339,50,164,117,135,14,115,129,100,23,1,65,88,543,0.374,0.407,0.305,0.423,0.867,0.483
3311,Jameer Nelson,2017-18,35,TOT,NBA,0.6,50,0,1013,95,244,54,120,41,124,16,20,13,91,104,179,27,4,67,81,247,0.389,0.45,0.331,0.473,0.8,0.489
3312,Andrew Nicholson,2013-14,24,ORL,NBA,0.6,76,5,1174,180,420,152,331,28,89,47,57,53,202,255,25,18,23,51,150,435,0.429,0.459,0.315,0.462,0.825,0.489
3313,Jermaine O'Neal,2010-11,32,BOS,NBA,0.6,24,10,431,50,109,50,108,0,1,29,43,25,63,88,12,2,30,27,65,129,0.459,0.463,0,0.459,0.674,0.504
3314,Fabricio Oberto,2009-10,34,WAS,NBA,0.6,57,20,650,35,56,35,56,0,0,13,17,34,71,105,51,11,9,36,121,83,0.625,0.625,,0.625,0.765,0.654
3315,Jahlil Okafor,2017-18,22,TOT,NBA,0.6,28,0,353,77,138,76,134,1,4,21,29,21,64,85,12,3,18,21,51,176,0.558,0.567,0.25,0.562,0.724,0.584
3316,Nikola Pekovi_,2010-11,25,MIN,NBA,0.6,65,11,887,136,263,136,263,0,0,87,114,90,103,193,27,18,35,91,181,359,0.517,0.517,,0.517,0.763,0.573
3317,Dexter Pittman,2011-12,23,MIA,NBA,0.6,35,6,301,44,94,44,94,0,0,18,28,27,44,71,9,8,8,17,73,106,0.468,0.468,,0.468,0.643,0.498
3318,Leon Powe,2010-11,27,TOT,NBA,0.6,30,3,328,59,119,59,117,0,2,40,72,24,39,63,7,10,4,12,44,158,0.496,0.504,0,0.496,0.556,0.524
