,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4401,Isaiah Taylor,2016-17,22,HOU,NBA,0,4,0,52,1,7,1,5,0,2,1,2,1,2,3,3,1,1,0,6,3,0.143,0.2,0,0.143,0.5,0.19
4402,Hasheem Thabeet,2013-14,26,OKC,NBA,0,23,0,192,13,23,13,23,0,0,1,5,9,31,40,1,4,9,14,47,27,0.565,0.565,,0.565,0.2,0.536
4403,Adonis Thomas,2013-14,20,TOT,NBA,0,6,1,37,6,14,5,9,1,5,1,1,0,3,3,3,0,0,1,6,14,0.429,0.556,0.2,0.464,1,0.485
4404,Khyri Thomas,2018-19,22,DET,NBA,0,26,0,195,22,69,12,34,10,35,7,11,4,16,20,8,7,5,4,22,61,0.319,0.353,0.286,0.391,0.636,0.413
4405,Malcolm Thomas,2011-12,23,SAS,NBA,0,3,0,15,0,3,0,3,0,0,1,2,1,2,3,1,1,1,0,0,1,0,0,,0,0.5,0.129
4406,Trey Thompkins,2011-12,21,LAC,NBA,0,24,0,119,24,61,20,48,4,13,5,7,4,20,24,3,3,3,6,10,57,0.393,0.417,0.308,0.426,0.714,0.445
4407,Sindarius Thornwell,2018-19,24,LAC,NBA,0,64,1,313,17,49,14,34,3,15,25,34,5,39,44,18,14,7,20,41,62,0.347,0.412,0.2,0.378,0.735,0.485
4408,Mike Tobey,2016-17,22,CHO,NBA,0,2,0,25,1,4,1,4,0,0,0,0,2,1,3,1,0,0,1,2,2,0.25,0.25,,0.25,,0.25
4409,Ronny Turiaf,2014-15,32,MIN,NBA,0,2,0,19,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,,,,,,
4410,Edwin Ubiles,2011-12,25,WAS,NBA,0,4,0,52,5,18,4,13,1,5,3,3,2,8,10,1,1,1,1,1,14,0.278,0.308,0.2,0.306,1,0.362
4411,Ekpe Udoh,2013-14,26,MIL,NBA,0,42,14,804,57,143,57,143,0,0,30,47,61,87,148,31,15,44,38,96,144,0.399,0.399,,0.399,0.638,0.44
4412,Ime Udoka,2010-11,33,SAS,NBA,0,20,0,130,5,21,5,13,0,8,4,8,5,14,19,13,8,1,5,14,14,0.238,0.385,0,0.238,0.5,0.285
4413,Tyler Ulis,2018-19,23,CHI,NBA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4414,Greivis Vásquez,2016-17,30,BRK,NBA,0,3,0,39,2,8,1,5,1,3,2,3,0,2,2,5,1,1,1,6,7,0.25,0.2,0.333,0.313,0.667,0.376
4415,Rashad Vaughn,2016-17,20,MIL,NBA,0,41,2,458,57,156,31,75,26,81,2,5,4,45,49,23,19,10,14,32,142,0.365,0.413,0.321,0.449,0.4,0.449
