,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2001,Rashard Lewis,2012-13,33,MIA,NBA,1.2,55,9,792,103,249,52,118,51,131,28,45,19,102,121,30,21,14,33,67,285,0.414,0.441,0.389,0.516,0.622,0.53
2002,Trey Lyles,2018-19,23,DEN,NBA,1.2,64,2,1120,207,495,156,295,51,200,81,116,44,202,246,87,30,23,68,93,546,0.418,0.529,0.255,0.47,0.698,0.5
2003,Kenyon Martin,2013-14,36,NYK,NBA,1.2,32,15,633,63,123,63,122,0,1,11,19,36,98,134,50,25,27,26,85,137,0.512,0.516,0,0.512,0.579,0.521
2004,Kenyon Martin,2012-13,35,NYK,NBA,1.2,18,11,431,56,93,56,93,0,0,17,40,34,61,95,8,16,17,16,64,129,0.602,0.602,,0.602,0.425,0.583
2005,Kevin Martin,2015-16,32,TOT,NBA,1.2,55,13,1095,156,419,107,283,49,136,153,172,14,96,110,58,26,3,54,83,514,0.372,0.378,0.36,0.431,0.89,0.52
2006,Nazr Mohammed,2012-13,35,CHI,NBA,1.2,63,12,693,66,180,66,178,0,2,34,47,73,122,195,26,21,32,24,97,166,0.367,0.371,0,0.367,0.723,0.414
2007,Anthony Morrow,2016-17,31,TOT,NBA,1.2,49,7,714,98,252,57,119,41,133,34,37,12,19,31,25,24,2,6,44,271,0.389,0.479,0.308,0.47,0.919,0.505
2008,Semi Ojeleye,2017-18,23,BOS,NBA,1.2,73,0,1150,65,188,25,63,40,125,25,41,37,124,161,20,21,4,25,91,195,0.346,0.397,0.32,0.452,0.61,0.473
2009,Jahlil Okafor,2016-17,21,PHI,NBA,1.2,50,33,1134,242,471,242,471,0,0,106,158,81,159,240,58,20,49,91,122,590,0.514,0.514,,0.514,0.671,0.546
2010,Jahlil Okafor,2015-16,20,PHI,NBA,1.2,53,48,1591,397,781,396,775,1,6,133,194,122,251,373,65,22,61,124,140,928,0.508,0.511,0.167,0.509,0.686,0.536
2011,Josh Okogie,2018-19,20,MIN,NBA,1.2,74,52,1757,196,508,136,293,60,215,118,162,41,177,218,91,88,33,63,166,570,0.386,0.464,0.279,0.445,0.728,0.492
2012,Jabari Parker,2017-18,22,MIL,NBA,1.2,31,3,743,160,332,129,251,31,81,40,54,42,109,151,59,25,10,45,50,391,0.482,0.514,0.383,0.529,0.741,0.55
2013,Nikola Peković,2014-15,29,MIN,NBA,1.2,31,29,815,139,328,139,328,0,0,108,129,89,145,234,27,19,12,42,59,386,0.424,0.424,,0.424,0.837,0.502
2014,Ivan Rabb,2017-18,20,MEM,NBA,1.2,36,5,516,86,152,86,152,0,0,29,36,53,105,158,32,12,13,35,55,201,0.566,0.566,,0.566,0.806,0.599
2015,Willie Reed,2015-16,25,BRK,NBA,1.2,39,2,426,76,133,76,133,0,0,30,55,49,73,122,10,6,30,16,47,182,0.571,0.571,,0.571,0.545,0.579
2016,Austin Rivers,2018-19,26,TOT,NBA,1.2,76,15,2028,232,572,128,245,104,327,50,95,25,137,162,167,47,23,68,207,618,0.406,0.522,0.318,0.497,0.526,0.503
