,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2101,Brian Roberts,2012-13,27,NOH,NBA,2.2,78,5,1324,213,511,154,358,59,153,70,77,17,80,97,219,37,3,71,108,555,0.417,0.43,0.386,0.475,0.909,0.509
2102,Nate Robinson,2009-10,25,TOT,NBA,2.2,56,2,1115,215,493,128,270,87,223,50,67,28,82,110,163,49,5,73,116,567,0.436,0.474,0.39,0.524,0.746,0.543
2103,Dennis Schröder,2015-16,22,ATL,NBA,2.2,80,6,1621,329,781,252,542,77,239,144,182,25,179,204,349,70,9,183,138,879,0.421,0.465,0.322,0.471,0.791,0.51
2104,Alexey Shved,2014-15,26,TOT,NBA,2.2,42,9,767,133,335,86,196,47,139,121,150,23,76,99,106,30,6,48,48,434,0.397,0.439,0.338,0.467,0.807,0.541
2105,Jason Smith,2011-12,25,NOH,NBA,2.2,40,29,947,181,348,180,339,1,9,33,47,72,124,196,34,21,41,40,102,396,0.52,0.531,0.111,0.522,0.702,0.537
2106,Lance Stephenson,2015-16,25,TOT,NBA,2.2,69,13,1372,228,474,198,396,30,78,87,111,40,183,223,133,43,9,94,135,573,0.481,0.5,0.385,0.513,0.784,0.548
2107,Rodney Stuckey,2013-14,27,DET,NBA,2.2,73,5,1950,372,853,348,765,24,88,244,292,39,130,169,152,54,10,125,131,1012,0.436,0.455,0.273,0.45,0.836,0.516
2108,Jeff Teague,2018-19,30,MIN,NBA,2.2,42,41,1264,176,416,141,311,35,105,123,153,16,90,106,343,43,18,97,90,510,0.423,0.453,0.333,0.465,0.804,0.528
2109,Garrett Temple,2018-19,32,TOT,NBA,2.2,75,55,2040,208,493,118,229,90,264,80,107,28,188,216,106,76,30,70,204,586,0.422,0.515,0.341,0.513,0.748,0.543
2110,Garrett Temple,2016-17,30,SAC,NBA,2.2,65,21,1728,183,432,101,212,82,220,58,74,32,152,184,168,84,28,78,141,506,0.424,0.476,0.373,0.519,0.784,0.545
2111,Hasheem Thabeet,2012-13,25,OKC,NBA,2.2,66,4,770,64,106,64,106,0,0,32,53,69,126,195,11,30,60,41,148,160,0.604,0.604,,0.604,0.604,0.619
2112,Al Thornton,2009-10,26,TOT,NBA,2.2,75,46,2079,320,676,309,645,11,31,153,211,116,178,294,90,45,35,102,206,804,0.473,0.479,0.355,0.482,0.725,0.523
2113,Beno Udrih,2012-13,30,TOT,NBA,2.2,66,9,1457,210,476,176,374,34,102,84,103,34,107,141,302,41,3,108,90,538,0.441,0.471,0.333,0.477,0.816,0.516
2114,Anderson Varejão,2010-11,28,CLE,NBA,2.2,31,31,994,114,216,114,214,0,2,54,81,98,203,301,45,27,38,40,87,282,0.528,0.533,0,0.528,0.667,0.56
2115,John Wall,2010-11,20,WAS,NBA,2.2,69,64,2606,398,972,364,857,34,115,301,393,35,282,317,574,121,35,261,175,1131,0.409,0.425,0.296,0.427,0.766,0.494
