,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
101,Gordon Hayward,2016-17,26,UTA,NBA,10.4,73,73,2516,545,1156,396,782,149,374,362,429,49,345,394,252,73,20,140,117,1601,0.471,0.506,0.398,0.536,0.844,0.595
102,Kyrie Irving,2014-15,22,CLE,NBA,10.4,75,75,2730,578,1235,421,857,157,378,315,365,55,182,237,389,114,20,186,146,1628,0.468,0.491,0.415,0.532,0.863,0.583
103,LeBron James,2014-15,30,CLE,NBA,10.4,69,69,2493,624,1279,504,940,120,339,375,528,51,365,416,511,109,49,272,135,1743,0.488,0.536,0.354,0.535,0.71,0.577
104,Damian Lillard,2016-17,26,POR,NBA,10.4,75,75,2694,661,1488,447,909,214,579,488,545,46,322,368,440,68,20,197,152,2024,0.444,0.492,0.37,0.516,0.895,0.586
105,Karl-Anthony Towns,2018-19,23,MIN,NBA,10.4,77,77,2545,681,1314,539,959,142,355,376,450,263,691,954,259,67,125,240,292,1880,0.518,0.562,0.4,0.572,0.836,0.622
106,Chris Bosh,2010-11,26,MIA,NBA,10.3,77,77,2795,524,1056,518,1031,6,25,384,471,141,500,641,144,59,49,138,172,1438,0.496,0.502,0.24,0.499,0.815,0.569
107,Kobe Bryant,2010-11,32,LAL,NBA,10.3,82,82,2779,740,1639,625,1283,115,356,483,583,83,336,419,388,99,12,243,172,2078,0.451,0.487,0.323,0.487,0.828,0.548
108,Tyson Chandler,2014-15,32,DAL,NBA,10.3,75,75,2286,293,440,293,440,0,0,185,257,294,570,864,84,42,91,105,169,771,0.666,0.666,,0.666,0.72,0.697
109,Goran Dragi_,2013-14,27,PHO,NBA,10.3,76,75,2668,552,1093,430,794,122,299,316,416,69,176,245,447,104,22,213,206,1542,0.505,0.542,0.408,0.561,0.76,0.604
110,Andre Drummond,2017-18,24,DET,NBA,10.3,78,78,2625,466,881,466,870,0,11,239,395,399,848,1247,237,114,127,200,250,1171,0.529,0.536,0,0.529,0.605,0.555
111,David Lee,2009-10,26,NYK,NBA,10.3,81,81,3019,686,1258,686,1250,0,8,268,330,228,721,949,295,85,40,189,257,1640,0.545,0.549,0,0.545,0.812,0.584
112,Hassan Whiteside,2015-16,26,MIA,NBA,10.3,73,43,2125,413,682,413,682,0,0,214,329,238,627,865,30,44,269,137,201,1040,0.606,0.606,,0.606,0.65,0.629
113,Deron Williams,2009-10,25,UTA,NBA,10.3,76,76,2802,494,1053,398,794,96,259,335,418,50,253,303,798,96,16,252,208,1419,0.469,0.501,0.371,0.515,0.801,0.574
114,Clint Capela,2017-18,23,HOU,NBA,10.2,74,74,2034,441,676,441,675,0,1,144,257,241,561,802,68,58,137,103,185,1026,0.652,0.653,0,0.652,0.56,0.65
115,Marc Gasol,2014-15,30,MEM,NBA,10.2,81,81,2687,530,1072,527,1055,3,17,350,440,115,515,630,307,70,131,176,208,1413,0.494,0.5,0.176,0.496,0.795,0.558
116,Kyle Lowry,2017-18,31,TOR,NBA,10.2,78,78,2510,403,944,165,348,238,596,223,261,66,368,434,537,85,19,183,192,1267,0.427,0.474,0.399,0.553,0.854,0.598
