,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
901,Marco Belinelli,2017-18,31,TOT,NBA,3.7,80,2,1947,337,764,188,369,149,395,148,163,20,131,151,148,66,12,94,91,971,0.441,0.509,0.377,0.539,0.908,0.581
902,Andray Blatche,2013-14,27,BRK,NBA,3.7,73,7,1618,321,674,306,620,15,54,164,221,120,270,390,112,75,38,110,166,821,0.476,0.494,0.278,0.487,0.742,0.532
903,Eric Bledsoe,2012-13,23,LAC,NBA,3.7,76,12,1553,253,568,222,490,31,78,106,134,78,147,225,233,109,55,137,112,643,0.445,0.453,0.397,0.473,0.791,0.513
904,Dewayne Dedmon,2017-18,28,ATL,NBA,3.7,62,46,1542,250,477,200,336,50,141,67,86,100,389,489,90,40,51,86,162,617,0.524,0.595,0.355,0.577,0.779,0.599
905,Randy Foye,2012-13,29,UTA,NBA,3.7,82,72,2249,293,738,115,304,178,434,118,144,17,110,127,167,66,27,92,190,882,0.397,0.378,0.41,0.518,0.819,0.55
906,Channing Frye,2016-17,33,CLE,NBA,3.7,74,15,1398,238,520,101,185,137,335,63,74,37,253,290,45,33,37,53,138,676,0.458,0.546,0.409,0.589,0.851,0.612
907,Marc Gasol,2015-16,31,MEM,NBA,3.7,52,52,1791,328,707,326,704,2,3,203,245,58,304,362,196,50,70,118,141,861,0.464,0.463,0.667,0.465,0.829,0.528
908,Pau Gasol,2012-13,32,LAL,NBA,3.7,49,42,1655,270,579,262,551,8,28,125,178,111,310,421,200,24,61,104,93,673,0.466,0.475,0.286,0.473,0.702,0.512
909,Manu Ginóbili,2014-15,37,SAS,NBA,3.7,70,0,1587,251,589,162,331,89,258,147,204,28,183,211,293,67,20,154,138,738,0.426,0.489,0.345,0.502,0.721,0.544
910,Aaron Gordon,2016-17,21,ORL,NBA,3.7,80,72,2298,393,865,316,598,77,267,156,217,116,289,405,150,65,40,89,172,1019,0.454,0.528,0.288,0.499,0.719,0.53
911,Kyle Korver,2016-17,35,TOT,NBA,3.7,67,22,1753,239,515,77,156,162,359,38,42,7,179,186,110,34,21,69,107,678,0.464,0.494,0.451,0.621,0.905,0.635
912,Wesley Matthews,2015-16,29,DAL,NBA,3.7,78,78,2644,331,854,142,329,189,525,126,146,27,211,238,151,78,17,78,179,977,0.388,0.432,0.36,0.498,0.863,0.532
913,Timofey Mozgov,2015-16,29,CLE,NBA,3.7,76,48,1326,203,359,202,352,1,7,68,95,110,227,337,33,22,57,71,159,475,0.565,0.574,0.143,0.567,0.716,0.593
914,Lucas Nogueira,2016-17,24,TOR,NBA,3.7,57,6,1088,103,156,100,144,3,12,44,67,82,162,244,42,52,89,46,137,253,0.66,0.694,0.25,0.67,0.657,0.682
915,Kelly Oubre,2017-18,22,WAS,NBA,3.7,81,11,2231,318,790,192,421,126,369,191,233,59,304,363,98,80,35,90,234,953,0.403,0.456,0.341,0.482,0.82,0.534
916,Ricky Rubio,2018-19,28,UTA,NBA,3.7,68,67,1899,295,730,216,476,79,254,195,228,33,210,243,416,91,10,180,180,864,0.404,0.454,0.311,0.458,0.855,0.52
917,Dennis Schröder,2016-17,23,ATL,NBA,3.7,79,78,2485,548,1214,448,920,100,294,218,255,42,206,248,499,74,16,258,149,1414,0.451,0.487,0.34,0.493,0.855,0.533
918,J.R. Smith,2013-14,28,NYK,NBA,3.7,74,37,2421,396,955,207,475,189,480,90,138,35,261,296,219,65,20,108,196,1071,0.415,0.436,0.394,0.514,0.652,0.527
919,J.R. Smith,2014-15,29,TOT,NBA,3.7,70,51,2080,315,755,152,329,163,426,54,72,30,188,218,195,82,22,97,163,847,0.417,0.462,0.383,0.525,0.75,0.538
920,Deron Williams,2015-16,31,DAL,NBA,3.7,65,63,2106,321,775,224,493,97,282,179,206,19,171,190,378,61,14,150,155,918,0.414,0.454,0.344,0.477,0.869,0.53
921,Chris Andersen,2014-15,36,MIA,NBA,3.6,60,20,1132,120,207,116,194,4,13,76,114,76,223,299,43,26,61,40,88,320,0.58,0.598,0.308,0.589,0.667,0.622
922,Marvin Bagley,2018-19,19,SAC,NBA,3.6,62,4,1567,356,706,326,610,30,96,181,262,162,309,471,62,33,59,98,120,923,0.504,0.534,0.313,0.525,0.691,0.562
923,Harrison Barnes,2018-19,26,TOT,NBA,3.6,77,77,2533,431,1027,257,586,174,441,229,278,57,304,361,115,50,13,98,122,1265,0.42,0.439,0.395,0.504,0.824,0.55
924,Trevor Booker,2014-15,27,UTA,NBA,3.6,79,5,1564,226,464,197,380,29,84,86,148,139,258,397,83,43,41,88,144,567,0.487,0.518,0.345,0.518,0.581,0.536
925,Chris Bosh,2014-15,30,MIA,NBA,3.6,44,44,1556,343,745,280,577,63,168,179,232,46,264,310,95,41,25,95,69,928,0.46,0.485,0.375,0.503,0.772,0.548
926,Elton Brand,2013-14,34,ATL,NBA,3.6,73,15,1414,179,332,179,330,0,2,61,94,97,264,361,74,40,88,60,192,419,0.539,0.542,0,0.539,0.649,0.561
927,Caron Butler,2012-13,32,LAC,NBA,3.6,78,78,1879,305,720,177,390,128,330,75,90,41,182,223,78,51,11,72,139,813,0.424,0.454,0.388,0.513,0.833,0.535
928,Omri Casspi,2015-16,27,SAC,NBA,3.6,69,21,1880,299,622,187,348,112,274,103,159,58,352,410,95,56,17,94,154,813,0.481,0.537,0.409,0.571,0.648,0.587
