,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
401,Mike Conley,2014-15,27,MEM,NBA,6.8,70,70,2225,393,882,286,605,107,277,214,249,29,180,209,375,89,14,156,139,1107,0.446,0.473,0.386,0.506,0.859,0.558
402,Goran Dragi_,2014-15,28,TOT,NBA,6.8,78,78,2640,502,1002,412,743,90,259,181,234,81,193,274,350,78,15,173,195,1275,0.501,0.555,0.347,0.546,0.774,0.577
403,Danilo Gallinari,2016-17,28,DEN,NBA,6.8,63,63,2134,335,750,209,426,126,324,349,387,39,286,325,135,40,15,82,93,1145,0.447,0.491,0.389,0.531,0.902,0.622
404,Marcin Gortat,2016-17,32,WAS,NBA,6.8,82,82,2556,390,674,390,672,0,2,103,159,238,611,849,121,40,61,119,213,883,0.579,0.58,0,0.579,0.648,0.593
405,Tobias Harris,2016-17,24,DET,NBA,6.8,82,48,2567,511,1063,402,749,109,314,190,226,63,353,416,142,60,39,96,133,1321,0.481,0.537,0.347,0.532,0.841,0.568
406,Dwight Howard,2017-18,32,CHO,NBA,6.8,81,81,2463,506,911,505,904,1,7,334,582,255,757,1012,105,48,131,208,249,1347,0.555,0.559,0.143,0.556,0.574,0.577
407,Greg Monroe,2014-15,24,DET,NBA,6.8,69,57,2137,423,853,423,853,0,0,252,336,229,475,704,142,78,34,149,148,1098,0.496,0.496,,0.496,0.75,0.549
408,Dirk Nowitzki,2015-16,37,DAL,NBA,6.8,75,75,2364,498,1112,372,770,126,342,250,280,52,437,489,132,52,52,84,161,1372,0.448,0.483,0.368,0.504,0.893,0.555
409,Thabo Sefolosha,2012-13,28,OKC,NBA,6.8,81,81,2229,224,466,116,208,108,258,57,69,58,259,317,125,103,44,64,177,613,0.481,0.558,0.419,0.597,0.826,0.617
410,Josh Smith,2011-12,26,ATL,NBA,6.8,66,66,2329,504,1101,476,992,28,109,203,322,136,496,632,257,93,115,164,172,1239,0.458,0.48,0.257,0.47,0.63,0.499
411,Tristan Thompson,2014-15,23,CLE,NBA,6.8,82,15,2194,267,488,267,488,0,0,159,248,274,383,657,39,34,61,83,189,693,0.547,0.547,,0.547,0.641,0.58
412,Hedo Türko_lu,2010-11,31,TOT,NBA,6.8,81,72,2540,322,722,195,412,127,310,106,156,45,311,356,343,72,34,132,247,877,0.446,0.473,0.41,0.534,0.679,0.555
413,Russell Westbrook,2018-19,30,OKC,NBA,6.8,73,73,2630,630,1473,511,1062,119,411,296,451,109,698,807,784,142,33,325,245,1675,0.428,0.481,0.29,0.468,0.656,0.501
414,Harrison Barnes,2014-15,22,GSW,NBA,6.7,82,82,2318,316,656,229,441,87,215,108,150,117,336,453,116,61,19,71,146,827,0.482,0.519,0.405,0.548,0.72,0.573
415,Willie Cauley-Stein,2018-19,25,SAC,NBA,6.7,81,81,2213,412,741,411,739,1,2,140,254,181,497,678,194,96,51,84,227,965,0.556,0.556,0.5,0.557,0.551,0.566
416,Jae Crowder,2016-17,26,BOS,NBA,6.7,72,72,2335,333,720,176,326,157,394,176,217,48,367,415,155,73,23,80,161,999,0.463,0.54,0.398,0.572,0.811,0.613
417,Ed Davis,2015-16,26,POR,NBA,6.7,81,0,1684,206,337,206,337,0,0,114,204,224,375,599,88,57,72,64,202,526,0.611,0.611,,0.611,0.559,0.616
418,Andre Drummond,2016-17,23,DET,NBA,6.7,81,81,2409,483,911,481,904,2,7,137,355,345,770,1115,90,124,89,152,237,1105,0.53,0.532,0.286,0.531,0.386,0.518
419,Danny Granger,2011-12,28,IND,NBA,6.7,62,62,2062,391,941,268,618,123,323,254,291,79,228,307,109,62,40,110,144,1159,0.416,0.434,0.381,0.481,0.873,0.542
420,Tobias Harris,2017-18,25,TOT,NBA,6.7,80,80,2668,562,1221,379,776,183,445,179,216,58,379,437,192,71,35,105,164,1486,0.46,0.488,0.411,0.535,0.829,0.565
421,Brendan Haywood,2009-10,30,TOT,NBA,6.7,77,67,2355,276,491,276,490,0,1,152,245,278,437,715,43,26,158,99,209,704,0.562,0.563,0,0.562,0.62,0.588
422,George Hill,2009-10,23,SAS,NBA,6.7,78,43,2276,353,738,278,550,75,188,183,237,42,163,205,226,69,26,101,222,964,0.478,0.505,0.399,0.529,0.772,0.572
423,Andre Iguodala,2010-11,27,PHI,NBA,6.7,67,67,2469,338,759,277,578,61,181,208,300,61,326,387,422,101,38,138,109,945,0.445,0.479,0.337,0.486,0.693,0.53
424,Andre Iguodala,2009-10,26,PHI,NBA,6.7,82,82,3193,496,1120,402,817,94,303,315,430,82,447,529,472,141,55,218,145,1401,0.443,0.492,0.31,0.485,0.733,0.535
