,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4101,Elliot Williams,2014-15,25,TOT,NBA,0.1,13,0,119,14,37,6,19,8,18,1,4,0,8,8,12,4,0,4,12,37,0.378,0.316,0.444,0.486,0.25,0.477
4102,D.J. Wilson,2017-18,21,MIL,NBA,0.1,22,0,71,9,16,7,11,2,5,1,2,2,8,10,3,3,1,4,7,21,0.563,0.636,0.4,0.625,0.5,0.622
4103,Metta World Peace,2015-16,36,LAL,NBA,0.1,35,5,590,55,177,29,93,26,84,40,57,19,70,89,27,22,11,15,67,176,0.311,0.312,0.31,0.384,0.702,0.435
4104,Tony Wroten,2012-13,19,MEM,NBA,0.1,35,0,272,33,86,29,70,4,16,21,29,13,15,28,43,8,4,29,34,91,0.384,0.414,0.25,0.407,0.724,0.461
4105,James Young,2015-16,20,BOS,NBA,0.1,29,0,199,11,36,5,10,6,26,1,4,4,22,26,9,6,1,5,17,29,0.306,0.5,0.231,0.389,0.25,0.384
4106,James Young,2017-18,22,PHI,NBA,0.1,6,0,61,5,14,2,4,3,10,4,6,0,2,2,2,0,0,1,4,17,0.357,0.5,0.3,0.464,0.667,0.511
4107,Nick Young,2015-16,30,LAL,NBA,0.1,54,2,1033,126,372,49,135,77,237,63,76,14,83,97,34,23,7,30,50,392,0.339,0.363,0.325,0.442,0.829,0.483
4108,Jordan Adams,2015-16,21,MEM,NBA,0,2,0,15,2,6,2,5,0,1,3,5,0,2,2,3,3,0,2,2,7,0.333,0.4,0,0.333,0.6,0.427
4109,Maurice Ager,2010-11,26,MIN,NBA,0,4,0,29,6,11,3,7,3,4,0,0,0,2,2,1,1,0,4,4,15,0.545,0.429,0.75,0.682,,0.682
4110,Alexis Ajinça,2009-10,21,CHA,NBA,0,6,0,30,5,10,5,10,0,0,0,1,1,3,4,0,1,1,2,5,10,0.5,0.5,,0.5,0,0.479
4111,Josh Akognon,2012-13,26,DAL,NBA,0,3,0,9,2,4,1,2,1,2,0,0,0,1,1,1,0,0,0,3,5,0.5,0.5,0.5,0.625,,0.625
4112,DeVaughn Akoon-Purcell,2018-19,25,DEN,NBA,0,7,0,22,3,10,3,6,0,4,1,2,1,3,4,6,2,0,2,4,7,0.3,0.5,0,0.3,0.5,0.322
4113,Cole Aldrich,2017-18,29,MIN,NBA,0,21,0,49,5,15,5,15,0,0,2,6,3,12,15,3,2,1,1,11,12,0.333,0.333,,0.333,0.333,0.34
4114,Cliff Alexander,2015-16,20,POR,NBA,0,8,0,36,5,10,5,10,0,0,0,0,2,4,6,0,1,2,1,1,10,0.5,0.5,,0.5,,0.5
4115,Joe Alexander,2009-10,23,CHI,NBA,0,8,0,29,1,6,1,5,0,1,2,3,2,3,5,2,1,1,0,9,4,0.167,0.2,0,0.167,0.667,0.273
4116,Grayson Allen,2018-19,23,UTA,NBA,0,38,2,416,67,178,35,79,32,99,45,60,3,20,23,25,6,6,33,47,211,0.376,0.443,0.323,0.466,0.75,0.516
4117,Morris Almond,2011-12,26,WAS,NBA,0,4,0,67,6,17,5,14,1,3,1,3,1,7,8,2,7,0,1,6,14,0.353,0.357,0.333,0.382,0.333,0.382
4118,Antonio Anderson,2009-10,24,OKC,NBA,0,1,0,15,1,3,1,3,0,0,0,0,1,0,1,0,0,0,1,1,2,0.333,0.333,,0.333,,0.333
4119,Thanasis Antetokounmpo,2015-16,23,NYK,NBA,0,2,0,6,3,4,3,3,0,1,0,0,0,1,1,0,0,0,0,2,6,0.75,1,0,0.75,,0.75
4120,Darrell Arthur,2017-18,29,DEN,NBA,0,19,1,141,22,47,14,24,8,23,2,3,3,12,15,9,8,3,15,22,54,0.468,0.583,0.348,0.553,0.667,0.559
4121,Jamel Artis,2017-18,25,ORL,NBA,0,15,1,279,31,79,23,50,8,29,7,12,4,34,38,18,2,3,8,11,77,0.392,0.46,0.276,0.443,0.583,0.457
4122,Chris Babb,2013-14,23,BOS,NBA,0,14,0,132,8,30,2,3,6,27,0,0,4,13,17,3,6,0,3,13,22,0.267,0.667,0.222,0.367,,0.367
4123,Cameron Bairstow,2015-16,25,CHI,NBA,0,18,2,103,13,40,12,35,1,5,7,8,4,24,28,6,2,3,4,19,34,0.325,0.343,0.2,0.338,0.875,0.391
4124,Renaldo Balkman,2009-10,25,DEN,NBA,0,13,1,91,6,18,6,11,0,7,2,6,4,19,23,7,8,2,6,16,14,0.333,0.545,0,0.333,0.333,0.339
4125,Marcus Banks,2010-11,29,TOR,NBA,0,3,0,22,0,2,0,2,0,0,6,8,0,1,1,3,1,0,2,4,6,0,0,,0,0.75,0.543
4126,Earl Barron,2014-15,33,PHO,NBA,0,16,1,143,12,39,10,35,2,4,6,12,14,14,28,5,4,2,5,26,32,0.308,0.286,0.5,0.333,0.5,0.361
4127,Earl Barron,2011-12,30,GSW,NBA,0,2,0,9,2,4,2,4,0,0,0,0,1,0,1,0,0,0,0,5,4,0.5,0.5,,0.5,,0.5
4128,Earl Barron,2012-13,31,TOT,NBA,0,12,2,159,18,51,18,51,0,0,3,7,22,39,61,5,5,6,11,24,39,0.353,0.353,,0.353,0.429,0.361
