,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1001,Marcin Gortat,2012-13,28,PHO,NBA,3.4,61,61,1876,295,566,295,563,0,3,90,138,128,388,516,75,40,98,99,127,680,0.521,0.524,0,0.521,0.652,0.543
1002,Danny Green,2016-17,29,SAS,NBA,3.4,68,68,1807,176,449,58,138,118,311,27,32,31,193,224,124,70,57,76,120,497,0.392,0.42,0.379,0.523,0.844,0.537
1003,Tyler Hansbrough,2014-15,29,TOR,NBA,3.4,74,8,1058,86,165,85,158,1,7,97,139,106,159,265,21,30,15,20,141,270,0.521,0.538,0.143,0.524,0.698,0.597
1004,Maurice Harkless,2018-19,25,POR,NBA,3.4,60,53,1415,189,388,156,268,33,120,49,73,77,192,269,74,67,53,45,163,460,0.487,0.582,0.275,0.53,0.671,0.547
1005,Josh Hart,2017-18,22,LAL,NBA,3.4,63,23,1461,176,375,98,178,78,197,66,94,42,221,263,80,47,16,47,107,496,0.469,0.551,0.396,0.573,0.702,0.596
1006,Willy Hernangómez,2016-17,22,NYK,NBA,3.4,72,22,1324,246,465,242,450,4,15,91,125,170,332,502,96,41,36,100,150,587,0.529,0.538,0.267,0.533,0.728,0.564
1007,Jrue Holiday,2015-16,25,NOP,NBA,3.4,65,23,1831,410,935,323,676,87,259,182,216,27,168,195,391,88,22,167,148,1089,0.439,0.478,0.336,0.485,0.843,0.529
1008,Jrue Holiday,2014-15,24,NOP,NBA,3.4,40,37,1303,238,534,187,399,51,135,65,76,32,103,135,274,63,23,91,110,592,0.446,0.469,0.378,0.493,0.855,0.522
1009,Jonas Jerebko,2017-18,30,UTA,NBA,3.4,74,19,1134,159,341,94,184,65,157,46,57,53,193,246,42,24,12,27,127,429,0.466,0.511,0.414,0.562,0.807,0.586
1010,Cory Joseph,2016-17,25,TOR,NBA,3.4,80,22,2003,299,661,251,526,48,135,94,122,51,184,235,265,66,13,108,140,740,0.452,0.477,0.356,0.489,0.77,0.518
1011,Kyle Korver,2017-18,36,CLE,NBA,3.4,73,4,1574,222,484,58,108,164,376,64,72,9,156,165,88,31,27,55,130,672,0.459,0.537,0.436,0.628,0.889,0.652
1012,Alex Len,2014-15,21,PHO,NBA,3.4,69,44,1518,179,353,178,350,1,3,73,104,142,312,454,32,34,105,74,213,432,0.507,0.509,0.333,0.508,0.702,0.542
1013,Boban Marjanović,2015-16,27,SAS,NBA,3.4,54,4,508,105,174,105,174,0,0,87,114,73,121,194,21,12,23,29,54,297,0.603,0.603,,0.603,0.763,0.662
1014,Greg Monroe,2017-18,27,TOT,NBA,3.4,51,14,1040,218,386,218,386,0,0,88,119,109,241,350,114,44,23,94,95,524,0.565,0.565,,0.565,0.739,0.598
1015,Mike Muscala,2016-17,25,ATL,NBA,3.4,70,3,1237,170,337,124,227,46,110,49,64,76,164,240,95,30,41,55,97,435,0.504,0.546,0.418,0.573,0.766,0.596
1016,Pablo Prigioni,2013-14,36,NYK,NBA,3.4,66,27,1283,88,191,23,51,65,140,11,12,36,93,129,228,67,2,60,132,252,0.461,0.451,0.464,0.631,0.917,0.642
1017,Andre Roberson,2015-16,24,OKC,NBA,3.4,70,70,1553,136,274,104,171,32,103,33,54,79,172,251,47,53,42,35,133,337,0.496,0.608,0.311,0.555,0.611,0.566
1018,Tony Snell,2016-17,25,MIL,NBA,3.4,80,80,2336,246,541,102,186,144,355,47,58,22,226,248,96,55,14,55,125,683,0.455,0.548,0.406,0.588,0.81,0.603
1019,Dwyane Wade,2016-17,35,CHI,NBA,3.4,60,59,1792,414,955,369,810,45,145,223,281,63,207,270,228,86,41,138,112,1096,0.434,0.456,0.31,0.457,0.794,0.508
1020,T.J. Warren,2017-18,24,PHO,NBA,3.4,65,65,2142,529,1063,509,973,20,90,193,255,125,208,333,85,65,41,85,149,1271,0.498,0.523,0.222,0.507,0.757,0.541
1021,Al-Farouq Aminu,2014-15,24,DAL,NBA,3.3,74,3,1366,147,357,113,233,34,124,84,118,114,228,342,59,70,62,55,137,412,0.412,0.485,0.274,0.459,0.712,0.504
1022,J.J. Barea,2017-18,33,DAL,NBA,3.3,69,10,1603,303,690,188,377,115,313,80,102,15,186,201,434,35,3,143,83,801,0.439,0.499,0.367,0.522,0.784,0.545
1023,Will Barton,2016-17,26,DEN,NBA,3.3,60,19,1705,295,666,208,431,87,235,143,190,58,201,259,206,48,28,97,110,820,0.443,0.483,0.37,0.508,0.753,0.547
1024,Aaron Brooks,2014-15,30,CHI,NBA,3.3,82,21,1885,344,817,223,504,121,313,145,174,32,134,166,261,54,15,157,189,954,0.421,0.442,0.387,0.495,0.833,0.534
1025,Wilson Chandler,2017-18,30,DEN,NBA,3.3,74,71,2346,281,631,193,385,88,246,88,114,102,296,398,159,43,39,92,156,738,0.445,0.501,0.358,0.515,0.772,0.542
1026,Jamal Crawford,2015-16,35,LAC,NBA,3.3,79,5,2126,379,939,262,595,117,344,245,271,20,125,145,183,52,12,113,122,1120,0.404,0.44,0.34,0.466,0.904,0.529
1027,Wayne Ellington,2016-17,29,MIA,NBA,3.3,62,13,1500,231,555,82,161,149,394,37,43,18,114,132,70,35,4,30,70,648,0.416,0.509,0.378,0.55,0.86,0.565
1028,Dorian Finney-Smith,2018-19,25,DAL,NBA,3.3,81,26,1985,228,528,149,274,79,254,73,103,138,251,389,95,69,36,74,186,608,0.432,0.544,0.311,0.507,0.709,0.53
1029,Evan Fournier,2017-18,25,ORL,NBA,3.3,57,57,1837,368,802,241,467,127,335,150,173,23,157,180,165,47,16,95,138,1013,0.459,0.516,0.379,0.538,0.867,0.577
1030,Langston Galloway,2015-16,24,NYK,NBA,3.3,82,7,2033,231,588,154,364,77,224,86,114,43,245,288,207,77,22,61,177,625,0.393,0.423,0.344,0.458,0.754,0.49
1031,Taj Gibson,2012-13,27,CHI,NBA,3.3,65,5,1459,214,441,214,437,0,4,89,131,125,220,345,61,27,90,76,166,517,0.485,0.49,0,0.485,0.679,0.518
1032,Shai Gilgeous-Alexander,2018-19,20,LAC,NBA,3.3,82,73,2174,341,716,290,577,51,139,156,195,57,175,232,270,96,45,141,175,889,0.476,0.503,0.367,0.512,0.8,0.554
1033,Jerian Grant,2017-18,25,CHI,NBA,3.3,74,26,1686,209,503,148,316,61,187,140,188,31,141,172,342,63,8,89,132,619,0.416,0.468,0.326,0.476,0.745,0.528
1034,Jeff Green,2013-14,27,BOS,NBA,3.3,82,82,2805,482,1171,347,775,135,396,283,356,54,326,380,138,57,47,165,180,1382,0.412,0.448,0.341,0.469,0.795,0.52
1035,Devin Harris,2012-13,29,ATL,NBA,3.3,58,34,1421,194,443,117,213,77,230,112,154,6,110,116,197,64,13,88,103,577,0.438,0.549,0.335,0.525,0.727,0.565
1036,Gerald Henderson,2012-13,25,CHA,NBA,3.3,68,58,2133,382,855,349,755,33,100,258,313,55,195,250,177,68,34,108,149,1055,0.447,0.462,0.33,0.466,0.824,0.531
1037,John Henson,2013-14,23,MIL,NBA,3.3,70,23,1856,344,639,344,638,0,1,91,177,171,326,497,113,41,116,114,185,779,0.538,0.539,0,0.538,0.514,0.543
1038,J.J. Hickson,2013-14,25,DEN,NBA,3.3,69,52,1859,332,654,332,646,0,8,150,290,206,426,632,96,47,51,128,177,814,0.508,0.514,0,0.508,0.517,0.521
1039,Jrue Holiday,2012-13,22,PHI,NBA,3.3,78,78,2926,555,1288,464,1041,91,247,182,242,89,240,329,625,123,32,292,170,1383,0.431,0.446,0.368,0.466,0.752,0.496
1040,Jaren Jackson,2018-19,19,MEM,NBA,3.3,58,56,1515,298,589,247,447,51,142,151,197,73,199,272,64,52,82,98,220,798,0.506,0.553,0.359,0.549,0.766,0.591
1041,Brandon Jennings,2014-15,25,DET,NBA,3.3,41,41,1173,218,543,142,332,76,211,120,143,21,83,104,272,44,4,90,64,632,0.401,0.428,0.36,0.471,0.839,0.522
1042,Jonas Jerebko,2018-19,31,GSW,NBA,3.3,73,6,1218,163,355,94,167,69,188,64,80,72,216,288,96,27,18,43,137,459,0.459,0.563,0.367,0.556,0.8,0.588
1043,Chris Kaman,2014-15,32,POR,NBA,3.3,74,13,1398,283,549,283,549,0,0,72,102,149,335,484,65,18,54,108,140,638,0.515,0.515,,0.515,0.706,0.537
1044,Frank Kaminsky,2015-16,22,CHO,NBA,3.3,81,3,1708,215,525,147,323,68,202,108,148,69,266,335,98,38,43,58,126,606,0.41,0.455,0.337,0.474,0.73,0.513
