,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
201,LaMarcus Aldridge,2009-10,24,POR,NBA,8.8,78,78,2922,579,1169,574,1153,5,16,230,304,192,435,627,160,67,48,104,231,1393,0.495,0.498,0.313,0.497,0.757,0.535
202,DeMar DeRozan,2013-14,24,TOR,NBA,8.8,79,79,3017,604,1407,540,1197,64,210,519,630,51,292,343,313,86,28,176,197,1791,0.429,0.451,0.305,0.452,0.824,0.532
203,Al Horford,2012-13,26,ATL,NBA,8.8,74,74,2756,576,1060,573,1054,3,6,134,208,195,562,757,240,78,78,147,163,1289,0.543,0.544,0.5,0.545,0.644,0.56
204,Klay Thompson,2014-15,24,GSW,NBA,8.8,77,77,2455,602,1299,363,754,239,545,225,256,27,220,247,222,87,60,149,122,1668,0.463,0.481,0.439,0.555,0.879,0.591
205,John Wall,2016-17,26,WAS,NBA,8.8,78,78,2836,647,1435,558,1163,89,272,422,527,59,267,326,831,157,49,322,151,1805,0.451,0.48,0.327,0.482,0.801,0.541
206,Joel Embiid,2018-19,24,PHI,NBA,8.7,64,64,2154,580,1199,501,936,79,263,522,649,160,711,871,234,46,122,226,211,1761,0.484,0.535,0.3,0.517,0.804,0.593
207,Montrezl Harrell,2018-19,25,LAC,NBA,8.7,82,5,2158,546,888,543,871,3,17,266,414,184,351,535,162,71,110,132,255,1361,0.615,0.623,0.176,0.617,0.643,0.636
208,Gordon Hayward,2014-15,24,UTA,NBA,8.7,76,76,2618,484,1087,364,757,120,330,375,462,54,319,373,313,108,30,206,131,1463,0.445,0.481,0.364,0.5,0.812,0.567
209,Al Horford,2014-15,28,ATL,NBA,8.7,76,76,2318,519,965,508,929,11,36,107,141,131,413,544,244,68,98,100,121,1156,0.538,0.547,0.306,0.544,0.759,0.563
210,Kevin Love,2014-15,26,CLE,NBA,8.7,75,75,2532,413,952,269,560,144,392,258,321,142,589,731,168,51,39,122,140,1228,0.434,0.48,0.367,0.509,0.804,0.562
211,Tristan Thompson,2015-16,24,CLE,NBA,8.7,82,34,2269,247,420,247,420,0,0,149,242,268,470,738,62,38,51,61,202,643,0.588,0.588,,0.588,0.616,0.611
212,LaMarcus Aldridge,2014-15,29,POR,NBA,8.6,71,71,2512,659,1415,622,1310,37,105,306,362,177,549,726,124,48,68,122,125,1661,0.466,0.475,0.352,0.479,0.845,0.528
213,Marcin Gortat,2014-15,30,WAS,NBA,8.6,82,82,2453,439,775,439,772,0,3,123,175,180,537,717,97,49,110,100,191,1001,0.566,0.569,0,0.566,0.703,0.587
214,Kawhi Leonard,2014-15,23,SAS,NBA,8.6,64,64,2033,394,822,327,630,67,192,202,252,85,376,461,161,148,48,97,128,1057,0.479,0.519,0.349,0.52,0.802,0.567
215,Kemba Walker,2017-18,27,CHO,NBA,8.6,80,80,2736,588,1363,357,762,231,601,363,420,32,216,248,444,91,24,179,98,1770,0.431,0.469,0.384,0.516,0.864,0.572
216,Bradley Beal,2016-17,23,WAS,NBA,8.5,77,77,2684,637,1322,414,770,223,552,282,342,53,187,240,267,83,21,156,169,1779,0.482,0.538,0.404,0.566,0.825,0.604
217,Draymond Green,2014-15,24,GSW,NBA,8.5,79,79,2490,339,765,228,436,111,329,132,200,114,533,647,291,123,99,133,253,921,0.443,0.523,0.337,0.516,0.66,0.54
218,Kevin Love,2015-16,27,CLE,NBA,8.5,77,77,2424,409,977,251,538,158,439,258,314,149,613,762,186,58,41,142,159,1234,0.419,0.467,0.36,0.499,0.822,0.553
219,Marc Gasol,2009-10,25,MEM,NBA,8.4,69,69,2469,378,651,378,650,0,1,252,376,208,432,640,165,69,109,135,254,1008,0.581,0.582,0,0.581,0.67,0.617
220,Joe Johnson,2009-10,28,ATL,NBA,8.4,76,76,2886,635,1386,506,1036,129,350,220,269,74,279,353,369,82,5,145,145,1619,0.458,0.488,0.369,0.505,0.818,0.538
221,Tim Duncan,2012-13,36,SAS,NBA,8.3,69,69,2078,490,976,488,969,2,7,245,300,124,562,686,184,50,183,147,117,1227,0.502,0.504,0.286,0.503,0.817,0.554
222,Derrick Favors,2014-15,23,UTA,NBA,8.3,74,74,2280,482,918,481,912,1,6,222,332,196,411,607,112,60,123,121,210,1187,0.525,0.527,0.167,0.526,0.669,0.558
223,Pau Gasol,2011-12,31,LAL,NBA,8.3,65,65,2430,459,917,452,890,7,27,204,261,183,495,678,237,37,88,142,127,1129,0.501,0.508,0.259,0.504,0.782,0.547
224,Dwight Howard,2016-17,31,ATL,NBA,8.3,74,74,2199,388,613,388,611,0,2,226,424,296,644,940,104,64,92,170,203,1002,0.633,0.635,0,0.633,0.533,0.627
225,Paul Millsap,2014-15,29,ATL,NBA,8.3,73,73,2390,443,930,366,714,77,216,255,337,139,431,570,223,130,69,166,201,1218,0.476,0.513,0.356,0.518,0.757,0.565
226,Paul Pierce,2009-10,32,BOS,NBA,8.3,71,71,2411,409,867,300,604,109,263,369,433,39,271,310,218,84,31,166,196,1296,0.472,0.497,0.414,0.535,0.852,0.613
227,Karl-Anthony Towns,2015-16,20,MIN,NBA,8.3,82,82,2627,625,1153,595,1065,30,88,223,275,229,629,858,161,58,138,183,245,1503,0.542,0.559,0.341,0.555,0.811,0.59
228,Eric Bledsoe,2018-19,29,MIL,NBA,8.2,78,78,2272,470,971,346,594,124,377,177,236,82,280,362,430,116,29,165,156,1241,0.484,0.582,0.329,0.548,0.75,0.577
229,Mike Conley,2013-14,26,MEM,NBA,8.2,73,73,2446,463,1030,358,739,105,291,225,276,41,172,213,441,110,13,150,141,1256,0.45,0.484,0.361,0.5,0.815,0.545
230,Danilo Gallinari,2018-19,30,LAC,NBA,8.2,68,68,2059,409,884,248,512,161,372,367,406,54,363,417,178,49,23,99,129,1346,0.463,0.484,0.433,0.554,0.904,0.633
231,Marc Gasol,2011-12,27,MEM,NBA,8.2,65,65,2370,357,740,356,728,1,12,237,317,120,459,579,204,62,121,121,201,952,0.482,0.489,0.083,0.483,0.748,0.541
232,Draymond Green,2016-17,26,GSW,NBA,8.2,76,76,2471,272,650,191,387,81,263,151,213,98,501,599,533,154,106,184,217,776,0.418,0.494,0.308,0.481,0.709,0.522
233,Wesley Matthews,2013-14,27,POR,NBA,8.2,82,82,2780,445,1009,244,498,201,511,252,301,51,238,289,197,76,14,110,176,1343,0.441,0.49,0.393,0.541,0.837,0.588
234,Victor Oladipo,2017-18,25,IND,NBA,8.2,75,75,2552,640,1342,479,908,161,434,294,368,47,343,390,323,177,57,219,175,1735,0.477,0.528,0.371,0.537,0.799,0.577
