,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2001,Trevor Booker,2012-13,25,WAS,NBA,2.3,48,14,887,108,220,108,215,0,5,40,72,98,141,239,40,32,16,31,95,256,0.491,0.502,0,0.491,0.556,0.509
2002,Earl Boykins,2010-11,34,MIL,NBA,2.3,57,0,862,156,352,129,281,27,71,69,82,15,40,55,141,38,3,52,43,408,0.443,0.459,0.38,0.482,0.841,0.526
2003,Corey Brewer,2017-18,31,TOT,NBA,2.3,72,18,1208,142,316,111,206,31,110,65,90,43,111,154,65,79,14,49,139,380,0.449,0.539,0.282,0.498,0.722,0.534
2004,Corey Brewer,2011-12,25,DEN,NBA,2.3,59,17,1287,201,463,168,336,33,127,90,130,43,107,150,88,72,17,56,113,525,0.434,0.5,0.26,0.47,0.692,0.505
2005,Derrick Brown,2011-12,24,CHA,NBA,2.3,65,17,1443,212,409,206,385,6,24,94,141,95,141,236,67,48,12,55,96,524,0.518,0.535,0.25,0.526,0.667,0.556
2006,Caron Butler,2011-12,31,LAC,NBA,2.3,63,63,1871,287,705,195,448,92,257,87,107,44,186,230,78,52,9,77,123,753,0.407,0.435,0.358,0.472,0.813,0.501
2007,Earl Clark,2012-13,25,LAL,NBA,2.3,59,36,1363,170,386,135,282,35,104,53,76,82,243,325,65,36,44,62,102,428,0.44,0.479,0.337,0.486,0.697,0.51
2008,Ian Clark,2016-17,25,GSW,NBA,2.3,77,0,1137,211,433,150,270,61,163,44,58,22,99,121,90,39,8,55,77,527,0.487,0.556,0.374,0.558,0.759,0.575
2009,Jamal Crawford,2011-12,31,POR,NBA,2.3,60,6,1613,283,737,203,477,80,260,191,206,16,102,118,191,55,14,111,74,837,0.384,0.426,0.308,0.438,0.927,0.506
2010,Jae Crowder,2013-14,23,DAL,NBA,2.3,78,8,1254,130,296,80,145,50,151,46,61,46,148,194,60,59,21,41,100,356,0.439,0.552,0.331,0.524,0.754,0.551
2011,DeMar DeRozan,2009-10,20,TOR,NBA,2.3,77,65,1664,255,512,251,496,4,16,148,194,66,157,223,53,43,18,62,176,662,0.498,0.506,0.25,0.502,0.763,0.554
2012,Mike Dunleavy,2009-10,29,IND,NBA,2.3,67,15,1486,229,558,154,322,75,236,133,158,25,211,236,103,38,15,72,105,666,0.41,0.478,0.318,0.478,0.842,0.531
2013,John Henson,2015-16,25,MIL,NBA,2.3,57,1,960,164,291,164,290,0,1,69,117,87,134,221,54,18,109,64,131,397,0.564,0.566,0,0.564,0.59,0.58
2014,Mario Hezonja,2017-18,22,ORL,NBA,2.3,75,30,1657,273,617,183,350,90,267,86,105,41,240,281,106,81,31,86,134,722,0.442,0.523,0.337,0.515,0.819,0.544
2015,Danuel House,2018-19,25,HOU,NBA,2.3,39,13,979,118,252,44,74,74,178,56,71,25,115,140,40,21,11,35,80,366,0.468,0.595,0.416,0.615,0.789,0.646
2016,Joe Ingles,2015-16,28,UTA,NBA,2.3,81,2,1241,124,291,43,81,81,210,13,18,19,132,151,96,55,4,65,98,342,0.426,0.531,0.386,0.565,0.722,0.572
2017,Jarrett Jack,2013-14,30,CLE,NBA,2.3,80,31,2252,286,698,223,513,63,185,125,149,22,201,223,324,56,22,133,133,760,0.41,0.435,0.341,0.455,0.839,0.498
2018,Al Jefferson,2016-17,32,IND,NBA,2.3,66,1,931,235,471,235,470,0,1,65,85,75,203,278,57,19,16,33,125,535,0.499,0.5,0,0.499,0.765,0.526
2019,Richard Jefferson,2014-15,34,DAL,NBA,2.3,74,18,1244,144,324,78,169,66,155,78,114,25,158,183,61,32,11,52,115,432,0.444,0.462,0.426,0.546,0.684,0.577
2020,Ivan Johnson,2012-13,28,ATL,NBA,2.3,69,5,1035,185,356,184,343,1,13,81,131,76,190,266,46,56,14,71,131,452,0.52,0.536,0.077,0.521,0.618,0.546
2021,Tyler Johnson,2018-19,26,TOT,NBA,2.3,57,22,1529,217,526,127,266,90,260,95,127,34,139,173,166,54,27,77,97,619,0.413,0.477,0.346,0.498,0.748,0.532
2022,Terrence Jones,2016-17,25,TOT,NBA,2.3,54,12,1270,231,492,212,417,19,75,103,170,65,241,306,59,40,54,48,67,584,0.47,0.508,0.253,0.489,0.606,0.515
2023,Frank Kaminsky,2016-17,23,CHO,NBA,2.3,75,16,1954,320,802,204,448,116,354,118,156,57,279,336,162,46,34,76,139,874,0.399,0.455,0.328,0.471,0.756,0.502
2024,Enes Kanter,2012-13,20,UTA,NBA,2.3,70,2,1078,206,379,205,378,1,1,93,117,135,169,304,31,28,32,101,116,506,0.544,0.542,1,0.545,0.795,0.588
2025,Kyle Korver,2018-19,37,TOT,NBA,2.3,70,0,1334,201,483,63,135,138,348,60,73,9,153,162,81,25,12,59,106,600,0.416,0.467,0.397,0.559,0.822,0.582
2026,Joffrey Lauvergne,2015-16,24,DEN,NBA,2.3,59,15,1041,195,380,182,327,13,53,62,69,77,213,290,56,13,15,54,115,465,0.513,0.557,0.245,0.53,0.899,0.567
2027,Caris LeVert,2017-18,23,BRK,NBA,2.3,71,10,1864,320,735,235,490,85,245,133,187,53,207,260,299,82,22,153,159,858,0.435,0.48,0.347,0.493,0.711,0.525
2028,Brook Lopez,2013-14,25,BRK,NBA,2.3,17,17,533,129,229,129,228,0,1,94,115,39,63,102,16,9,30,28,52,352,0.563,0.566,0,0.563,0.817,0.629
2029,Trey Lyles,2015-16,20,UTA,NBA,2.3,80,33,1382,191,436,142,308,49,128,57,82,59,240,299,59,26,18,65,114,488,0.438,0.461,0.383,0.494,0.695,0.517
2030,Shelvin Mack,2013-14,23,ATL,NBA,2.3,73,11,1490,209,501,147,317,62,184,64,74,21,139,160,271,50,2,89,100,544,0.417,0.464,0.337,0.479,0.865,0.51
2031,Ian Mahinmi,2012-13,26,IND,NBA,2.3,80,2,1322,149,329,149,327,0,2,104,171,115,196,311,27,39,66,92,201,402,0.453,0.456,0,0.453,0.608,0.497
2032,Doug McDermott,2017-18,26,TOT,NBA,2.3,81,4,1768,237,508,145,292,92,216,64,81,40,160,200,79,19,16,56,122,630,0.467,0.497,0.426,0.557,0.79,0.579
2033,Eric Moreland,2017-18,26,DET,NBA,2.3,67,3,805,66,122,66,122,0,0,11,29,81,197,278,78,31,51,42,116,143,0.541,0.541,,0.541,0.379,0.531
2034,Victor Oladipo,2018-19,26,IND,NBA,2.3,36,36,1147,249,588,175,372,74,216,103,141,21,181,202,186,60,11,82,72,675,0.423,0.47,0.343,0.486,0.73,0.519
2035,Zaza Pachulia,2018-19,34,DET,NBA,2.3,68,3,878,85,193,85,189,0,4,97,124,99,166,265,91,31,17,57,151,267,0.44,0.45,0,0.44,0.782,0.539
2036,Elfrid Payton,2014-15,20,ORL,NBA,2.3,82,63,2489,301,708,290,666,11,42,118,214,107,242,349,533,142,20,203,193,731,0.425,0.435,0.262,0.433,0.551,0.456
2037,Pablo Prigioni,2014-15,37,TOT,NBA,2.3,67,3,1197,91,228,34,62,57,166,35,41,30,89,119,171,79,1,62,88,274,0.399,0.548,0.343,0.524,0.854,0.557
2038,Rajon Rondo,2016-17,30,CHI,NBA,2.3,69,42,1843,229,561,179,428,50,133,30,50,73,282,355,461,99,11,169,144,538,0.408,0.418,0.376,0.453,0.6,0.461
2039,Kevin Séraphin,2011-12,22,WAS,NBA,2.3,57,21,1176,203,382,203,381,0,1,47,70,103,177,280,33,19,76,66,133,453,0.531,0.533,0,0.531,0.671,0.549
2040,Kyle Singler,2012-13,24,DET,NBA,2.3,82,74,2293,275,642,205,442,70,200,100,124,109,221,330,77,57,37,98,217,720,0.428,0.464,0.35,0.483,0.806,0.517
2041,Jason Smith,2016-17,30,WAS,NBA,2.3,74,3,1068,174,329,137,251,37,78,35,51,64,194,258,37,21,54,58,168,420,0.529,0.546,0.474,0.585,0.686,0.598
2042,Josh Smith,2014-15,29,TOT,NBA,2.3,83,35,2300,414,987,342,759,72,228,127,255,152,378,530,277,87,116,206,228,1027,0.419,0.451,0.316,0.456,0.498,0.467
2043,Tiago Splitter,2010-11,26,SAS,NBA,2.3,60,6,738,101,191,101,190,0,1,76,140,72,129,201,26,29,17,32,91,278,0.529,0.532,0,0.529,0.543,0.55
2044,Anthony Tolliver,2016-17,31,SAC,NBA,2.3,65,9,1477,155,351,65,121,90,230,61,82,51,186,237,77,34,20,56,109,461,0.442,0.537,0.391,0.57,0.744,0.595
2045,Evan Turner,2010-11,22,PHI,NBA,2.3,78,14,1797,225,529,211,485,14,44,101,125,42,264,306,159,49,14,80,138,565,0.425,0.435,0.318,0.439,0.808,0.484
2046,Greivis Vásquez,2011-12,25,NOH,NBA,2.3,66,26,1706,225,523,182,388,43,135,96,117,23,150,173,359,60,8,148,126,589,0.43,0.469,0.319,0.471,0.821,0.513
2047,Marvin Williams,2012-13,26,UTA,NBA,2.3,73,51,1727,199,470,145,304,54,166,77,99,55,208,263,77,37,38,60,98,529,0.423,0.477,0.325,0.481,0.778,0.515
